, EXG Channel 1, EXG Channel 3
1000,-2350.641189,-19455.89641
1001,-2268.802828,-19630.33283
1002,-2375.892994,-19672.158
1003,-2197.851316,-19784.07264
1004,-2243.522975,-19863.68763
1005,-1041.008632,-410.5512575
1006,-818.4247467,-590.5769518
1007,-1053.178267,-519.277629
1008,-1234.791549,-591.8653473
1009,-1082.005416,-745.9510954
1010,-1315.360213,-820.2778671
1011,-1292.256981,-1026.649287
1012,-1374.016804,-1032.88931
1013,-1164.380452,-1167.06383
1014,-1260.454742,-1247.150048
1015,-1498.000098,-1417.300536
1016,-1264.723838,-1577.5459
1017,-1028.708102,-1499.649394
1018,-1229.305115,-1581.837435
1019,-1073.575681,-1735.193903
1020,-1312.1252,-1795.739143
1021,-1280.278082,-1987.977481
1022,-1414.519921,-2034.668262
1023,-1651.089162,-2135.63995
1024,-1757.608993,-2248.349315
1025,-1523.408978,-2396.2287
1026,-1752.677935,-2543.429292
1027,-1569.69772,-2478.323244
1028,-1738.973072,-2556.640489
1029,-1630.037266,-2692.262351
1030,-1809.122375,-2785.613993
1031,-1752.625576,-2989.879849
1032,-1921.667184,-3022.026159
1033,-2152.678935,-3122.130191
1034,-2266.13254,-3236.316817
1035,-2035.810801,-3366.465335
1036,-2271.575964,-3529.751237
1037,-2515.746552,-3470.240079
1038,-2760.567883,-3564.680033
1039,-2592.365883,-3684.684073
1040,-2802.552,-3762.376754
1041,-2735.418926,-3931.719424
1042,-2968.424043,-3990.030075
1043,-3114.577463,-4095.059555
1044,-3337.011753,-4226.09817
1045,-3448.5337,-4345.72635
1046,-3285.963989,-4531.50401
1047,-3065.113547,-4430.524841
1048,-3254.984527,-4537.082071
1049,-3059.286782,-4679.398354
1050,-3270.628529,-4743.242186
1051,-3235.83437,-4923.740977
1052,-3359.585789,-4972.144632
1053,-3183.290645,-5073.456652
1054,-3269.704774,-5197.26604
1055,-3032.883089,-5330.073628
1056,-3246.975532,-5521.621954
1057,-3006.135324,-5433.14901
1058,-3215.853954,-5520.112904
1059,-3052.899033,-5636.485501
1060,-3295.846674,-5719.279406
1061,-3274.811607,-5932.790295
1062,-3333.481288,-5955.216605
1063,-3186.278825,-6069.457459
1064,-3254.244027,-6181.848932
1065,-3489.766097,-6313.953418
1066,-3286.614731,-6490.467347
1067,-3061.227791,-6416.946523
1068,-3278.785251,-6514.849624
1069,-3511.120926,-6616.270101
1070,-3295.068775,-6699.164984
1071,-3251.52699,-6887.375449
1072,-3397.571953,-6945.839435
1073,-3192.588037,-7042.383083
1074,-3216.37006,-7149.02633
1075,-3056.279903,-7306.902466
1076,-3296.338471,-7466.426029
1077,-3504.546182,-7387.714225
1078,-3264.491353,-7472.3893
1079,-3485.248298,-7582.770577
1080,-3335.231561,-7691.313693
1081,-3289.932023,-7877.168022
1082,-3373.591715,-7904.729214
1083,-3193.279918,-8017.548906
1084,-3233.251969,-8135.625028
1085,-3069.627606,-8268.021226
1086,-3276.730176,-8438.674731
1087,-3428.484096,-8352.445728
1088,-3254.561919,-8457.40976
1089,-3052.992531,-8571.284104
1090,-2816.180196,-8656.142434
1091,-2774.287706,-8841.993022
1092,-2880.469076,-8895.557739
1093,-2710.681358,-9011.833099
1094,-2743.981427,-9098.666096
1095,-2552.46489,-9264.216507
1096,-2759.541281,-9417.973144
1097,-2990.098633,-9332.952129
1098,-2752.871169,-9449.334075
1099,-2526.106075,-9565.759031
1100,-2307.144283,-9632.871536
1101,-2224.673879,-9818.030242
1102,-2384.732247,-9884.142324
1103,-2250.088369,-9994.875152
1104,-2246.956203,-10096.2227
1105,-2004.315234,-10229.24346
1106,-1819.250024,-10415.24178
1107,-2023.732794,-10330.77427
1108,-2225.874387,-10423.47517
1109,-2041.942367,-10545.38282
1110,-1865.589254,-10628.34876
1111,-1769.531794,-10810.14903
1112,-1901.077165,-10877.04275
1113,-1736.641244,-10980.07887
1114,-1808.409924,-11080.13989
1115,-2050.776011,-11215.02686
1116,-2275.134479,-11386.21517
1117,-2055.637881,-11302.52556
1118,-2258.374117,-11396.63266
1119,-2067.710278,-11535.5232
1120,-2311.529315,-11602.44123
1121,-2277.812247,-11809.50453
1122,-2485.023274,-11844.07803
1123,-2677.764628,-11939.61939
1124,-2752.543928,-12041.41199
1125,-2520.404598,-12211.09125
1126,-2721.197957,-12362.43939
1127,-2527.510408,-12285.43298
1128,-2730.452339,-12374.66699
1129,-2561.640735,-12511.67262
1130,-2787.781265,-12582.28567
1131,-2730.491608,-12770.69435
1132,-2900.292416,-12839.28598
1133,-2657.494371,-12931.45395
1134,-2730.826329,-13023.87435
1135,-2974.89781,-13177.8423
1136,-2739.545906,-13324.84467
1137,-2974.045113,-13268.26186
1138,-3205.440203,-13351.75138
1139,-3010.965405,-13472.58568
1140,-2768.692816,-13552.64198
1141,-2762.991339,-13753.21655
1142,-2881.469499,-13787.65916
1143,-3116.520341,-13898.06288
1144,-3261.486344,-14030.44038
1145,-3495.856524,-14161.81932
1146,-3707.155262,-14323.47463
1147,-3502.539725,-14249.70323
1148,-3701.453784,-14340.0854
1149,-3499.566505,-14464.08739
1150,-3269.343873,-14542.92448
1151,-3257.658556,-14751.21073
1152,-3375.886143,-14805.89741
1153,-3153.077863,-14890.09939
1154,-3218.017486,-14998.54153
1155,-3012.682019,-15140.69887
1156,-3226.142419,-15302.87776
1157,-3022.921865,-15230.48265
1158,-3205.466382,-15321.64271
1159,-3071.462027,-15462.12644
1160,-3294.763973,-15526.47516
1161,-3229.803781,-15712.24347
1162,-3413.057009,-15765.21354
1163,-3628.578094,-15868.36185
1164,-3770.047289,-16001.87254
1165,-3539.452538,-16127.30505
1166,-3767.176916,-16294.36451
1167,-3992.44231,-16221.8759
1168,-4211.723864,-16303.03173
1169,-4050.855807,-16457.40171
1170,-4252.417716,-16503.21922
1171,-4235.201086,-16718.43924
1172,-4454.028242,-16757.30615
