, EXG Channel 1, EXG Channel 3
12200,1976.524037,-1512.413672
12201,2062.328562,-1336.468209
12202,2231.209354,-1400.624323
12203,2245.396664,-1438.217797
12204,2107.512163,-1338.951502
12205,2179.860528,-1451.819813
12206,2288.005345,-1545.685692
12207,2100.713025,-1530.664384
12208,2276.237749,-1477.516666
12209,2151.328831,-1554.223884
12210,2051.193009,-1497.89912
12211,2013.620105,-1331.464223
12212,2213.456049,-1418.067216
12213,2360.174194,-1417.367855
12214,2503.980827,-1340.473642
12215,2566.811146,-1467.202022
12216,2745.770969,-1550.61488
12217,2585.873417,-1520.936904
12218,2674.224813,-1498.475065
12219,2733.466698,-1547.970771
12220,2947.267429,-1485.448993
12221,3056.109737,-1345.163476
12222,3225.36078,-1424.65318
12223,3230.127282,-1427.065415
12224,3468.377609,-1336.348532
12225,3572.208452,-1478.234726
12226,3780.907959,-1540.52089
12227,3995.215446,-1525.312587
12228,3761.548367,-1497.383014
12229,3711.979733,-1547.974511
12230,3869.84278,-1483.594003
12231,3997.762318,-1352.430102
12232,4207.740871,-1419.79879
12233,4203.036077,-1413.777551
12234,4438.178546,-1334.269148
12235,4567.911936,-1486.69812
12236,4766.513713,-1532.547424
12237,4963.483024,-1501.683899
12238,5125.652566,-1505.37518
12239,5171.614067,-1560.181544
12240,5301.521361,-1477.456827
12241,5479.940769,-1354.804938
12242,5634.235951,-1443.408778
12243,5613.857236,-1406.71288
12244,5820.06784,-1337.492941
12245,6042.10944,-1497.046423
12246,6257.593126,-1540.793903
12247,6363.009686,-1504.866554
12248,6132.891772,-1519.156712
12249,6151.623061,-1562.507762
12250,6252.878982,-1463.282606
12251,6429.985684,-1351.996273
12252,6653.895365,-1458.230002
12253,6627.682406,-1401.641575
12254,6813.918204,-1325.151271
12255,6973.896165,-1504.155973
12256,7178.878211,-1527.012372
12257,7319.180558,-1492.835296
12258,7173.217873,-1525.787554
12259,7155.674002,-1560.70887
12260,7210.278411,-1460.593618
12261,7413.373678,-1344.393057
12262,7185.808246,-1460.851671
12263,-2194.554594,566.8865555
12264,-2396.406345,637.6548124
12265,-2298.843575,453.5900262
12266,-2058.216542,424.4244164
12267,-1990.939481,482.5443317
12268,-2211.139181,431.0346896
12269,-2074.118596,387.3470483
12270,-2060.772763,517.2543432
12271,-1961.672894,602.6904877
12272,-2074.430878,500.3462555
12273,-2196.347877,584.0489564
12274,-2001.760882,635.7212841
12275,-2189.730124,446.2822617
12276,-2054.53087,436.8334045
12277,-2022.248054,495.1403147
12278,-2107.732817,436.9512113
12279,-2138.433656,389.9013999
12280,-2148.037719,518.9971366
12281,-1967.512748,611.6026693
12282,-2159.433194,477.4505879
12283,-2307.473394,585.1746663
12284,-2546.312755,643.2871017
12285,-2361.946907,427.2573906
12286,-2588.083697,423.16781
12287,-2578.427276,490.9366672
12288,-2711.954794,411.6694876
12289,-2626.701904,392.4258324
12290,-2632.786722,524.1245394
12291,-2481.481589,593.6623692
12292,-2568.636218,472.813112
12293,-2602.089623,597.0413688
12294,-2537.467891,634.6890717
12295,-2663.661466,433.3534276
12296,-2574.54526,433.6301802
12297,-2496.082158,501.933843
12298,-2679.342866,413.5413076
12299,-2536.615194,385.3779909
12300,-2588.098657,529.5268249
12301,-2425.906676,604.8988986
12302,-2477.016149,460.6790066
12303,-2596.749046,595.6632157
12304,-2475.707184,645.9779597
12305,-2288.54389,412.0229082
12306,-2365.163221,439.8103648
12307,-2516.365506,509.5950281
12308,-2556.773255,402.6712883
12309,-2417.763044,382.5001379
12310,-2567.287984,546.0964516
12311,-2467.122243,613.8503492
12312,-2505.467437,461.4737353
12313,-2632.343543,613.2500952
12314,-2558.637595,652.5283945
12315,-2668.753339,408.5055323
12316,-2498.847814,446.2897415
12317,-2572.996941,510.7151281
12318,-2574.879981,392.3846935
12319,-2476.485083,373.8964981
12320,-2525.9303,551.9550049
12321,-2464.094794,595.163939
12322,-2514.287991,455.0392375
12323,-2614.251777,625.3916804
12324,-2600.941473,652.7957974
12325,-2702.141296,887.4296408
12326,-2941.872623,931.1902102
12327,-3065.212654,1014.995758
12328,-3100.721134,882.4462241
12329,-3013.796509,861.4261164
12330,-3104.287129,1056.07108
12331,-3043.68579,1095.626131
