, EXG Channel 1, EXG Channel 3
12200,-1888.898181,4414.86401
12201,-1709.601767,4580.506049
12202,-1593.038435,4758.586995
12203,-1387.426216,4562.53583
12204,-1447.397381,4330.117877
12205,-1522.434734,4527.261093
12206,-1670.768516,4553.462832
12207,-1535.597312,4522.408573
12208,-1659.848008,4311.975622
12209,-1541.885954,4216.686711
12210,-1457.745685,4407.578685
12211,-1258.466985,4563.455845
12212,-1149.753703,4745.912474
12213,-934.2157892,4546.214906
12214,-972.6825302,4342.261332
12215,-1042.005316,4487.498477
12216,-1185.249094,4534.890489
12217,-1076.769556,4521.873767
12218,-1204.509579,4333.420209
12219,-1077.556805,4208.582348
12220,-917.6686019,4402.133391
12221,-764.3981519,4570.565395
12222,-659.6603837,4766.021916
12223,-453.4983987,4531.4984
12224,-475.8536507,4333.603464
12225,-610.6134658,4515.192436
12226,-674.4404684,4537.194268
12227,-629.0979213,4490.00608
12228,-664.1033849,4325.398123
12229,-598.1109802,4213.519016
12230,-380.5946589,4422.033398
12231,-300.4953516,4556.596869
12232,-149.6558366,4764.069689
12233,-341.6716501,4539.834637
12234,-466.122431,4324.223795
12235,-523.2681023,4533.394529
12236,-730.1088792,4517.873944
12237,-533.2143662,4518.270374
12238,-519.3374674,4365.746034
12239,-515.2217075,4232.852429
12240,-422.8760978,4402.262417
12241,-637.8418074,4631.864225
12242,-646.155605,4762.986988
12243,-443.4006688,5005.081931
12244,-472.0688719,4816.259992
12245,-448.6215691,5029.495998
12246,-249.3821389,5006.944402
12247,-24.65529046,5027.517591
12248,-157.0888878,4823.708003
12249,-2.120523275,4739.653752
12250,18.51624468,4878.329242
12251,236.778676,5062.450127
12252,398.6134969,5259.466186
12253,562.4136351,5495.678268
12254,512.2484871,5301.710226
12255,456.2397453,5501.336736
12256,226.8249323,5493.602623
12257,433.4282256,5493.666202
12258,381.002308,5336.538045
12259,403.7913884,5202.956298
12260,581.1823231,5385.261461
12261,809.4078479,5588.575513
12262,843.7419995,5768.12624
12263,65.40150048,132.3587993
12264,6.354090025,-79.58320111
12265,14.06015388,126.4235781
12266,-205.1858712,114.3848401
12267,-114.8822468,77.18966514
12268,-82.15999218,-44.55903802
12269,-57.89365131,-192.8909501
12270,-43.14722579,-40.89393607
12271,-125.4661637,-283.6732816
12272,-101.1661638,-123.5700344
12273,48.01470558,103.3371757
12274,51.28711804,-78.92871861
12275,29.3526048,116.5465023
12276,212.2673717,80.56492485
12277,24.44772601,94.41003448
12278,-162.0797843,-66.26354741
12279,-35.30278563,-173.4079412
12280,61.75883792,-3.930634853
12281,226.1854094,195.4864406
12282,469.8642009,412.3389297
12283,461.3016999,544.8922038
12284,591.0986678,446.9273945
12285,449.9585834,612.659191
12286,257.7034163,582.2276251
12287,406.3532198,577.6630772
12288,332.9763827,396.8950128
12289,429.2283179,301.4752054
12290,529.7306494,462.9341663
12291,288.8212539,676.3384676
12292,364.178368,850.2082865
12293,483.1034467,1064.541953
12294,543.016644,912.8983595
12295,442.0991836,1101.432326
12296,203.1102267,1071.341091
12297,355.0287028,1073.674789
12298,396.4387451,926.8687558
12299,355.2624465,791.3011223
12300,507.2893797,965.9133113
12301,739.4044005,1161.422191
12302,926.5508643,1372.257181
12303,895.9341733,1536.438789
12304,968.278798,1383.086062
12305,1021.058136,1622.733241
12306,1154.318251,1538.701429
12307,1378.566393,1543.963468
12308,1381.160013,1404.09121
12309,1378.156874,1269.87742
12310,1405.817174,1438.790002
12311,1299.192626,1664.842645
12312,1344.615581,1808.340736
12313,1422.225985,2047.679373
12314,1450.335073,1881.966276
12315,1442.256889,2078.720543
12316,1569.723899,2007.995295
12317,1455.067916,2073.110693
12318,1317.499436,1879.499812
12319,1437.492256,1774.827492
12320,1389.253157,1873.934841
12321,1338.581252,1679.157112
12322,1322.94847,1825.38533
12323,1476.404045,2036.457804
12324,1435.49515,1868.025799
12325,1504.490694,2103.267376
12326,1564.014942,1995.502159
12327,1484.955327,2089.923413
12328,1397.609963,1873.450524
12329,1374.463722,1758.725353
12330,1381.614411,1882.070994
12331,1229.920329,1657.17585
12332,1397.697851,1865.998774
12333,1309.976627,1995.563868
12334,1119.314658,1917.536465
12335,919.3235076,2090.964976
12336,718.4366514,2042.720266
12337,872.4045927,2032.250416
12338,898.2491714,1893.279474
12339,859.6384442,1761.586377
