, EXG Channel 1, EXG Channel 3
12200,-626.7941429,-52.13607533
12201,-643.3469401,-41.64191606
12202,-654.7498951,-65.71191217
12203,-632.1908186,-61.36988832
12204,-626.2406377,-42.49461325
12205,-644.7120036,-51.05150435
12206,-620.1446008,-69.62758743
12207,-631.0725885,-49.58172366
12208,-652.4984753,-44.46554052
12209,-643.0926269,-58.17975366
12210,-610.7387524,-46.7169603
12211,-652.6630309,-56.05549049
12212,-656.7208224,-59.79913034
12213,-629.7524038,-64.08131579
12214,-636.5253626,-49.76497876
12215,-646.5707339,-50.74109265
12216,-638.9375981,-68.58041544
12217,-635.7923422,-51.36939584
12218,-651.0324345,-49.49570596
12219,-639.1545123,-57.45795297
12220,-635.3173749,-70.92159281
12221,-623.6675866,-42.02338585
12222,-643.4853164,-55.0531973
12223,-632.1833388,-67.29388985
12224,-626.1247008,-44.49545972
12225,-658.1532041,-49.27879177
12226,-626.0386831,-66.59826846
12227,-636.0466554,-49.47326656
12228,-665.707802,-53.01495182
12229,-647.4496104,-62.67511341
12230,-634.3936196,-38.0142131
12231,-641.3909725,-55.2439322
12232,-661.2348816,-61.14549433
12233,-626.341615,-61.64290102
12234,-647.0868401,-49.33863017
12235,-645.0448547,-47.65193529
12236,-641.0992603,-67.80251625
12237,-629.9618382,-54.7427856
12238,-648.5678405,-49.75749896
12239,-632.8714804,-60.68174673
12240,-621.3301491,-61.22029232
12241,-649.3120806,-50.50547895
12242,-650.3442929,-59.39896105
12243,-614.4823923,-52.61104263
12244,-634.7750894,-52.88031542
12245,-655.5838928,-69.87816072
12246,-626.9923576,-54.08830311
12247,-630.3620075,-48.22787988
12248,-659.0694795,-41.15572906
12249,-632.2431772,-63.4455328
12250,-643.0290486,-62.36096181
12251,-669.1784291,-42.70404764
12252,-661.332119,-54.9858791
12253,-631.2969825,-58.08251626
12254,-634.6853318,-44.42440162
12255,-648.287348,-56.36964208
12256,-637.4977366,-65.19580598
12257,-615.6941199,-43.99805303
12258,-648.5641006,-47.75291258
12259,-645.7928347,-67.73519805
12260,-620.3839544,-58.28821076
12261,-647.1204992,-48.60186987
12262,-653.81866,-54.6418083
12263,-616.6047855,-65.51930732
12264,-633.1052241,-58.9969218
12265,-637.7987985,-38.38259325
12266,-635.8951895,-71.92201605
12267,-614.342146,-45.12189297
12268,-650.753812,-50.728003
12269,-639.388256,-53.24869557
12270,-628.5762053,-58.48829541
12271,-643.8948355,-44.55342817
12272,-650.8585292,-56.11345894
12273,-629.6084176,-65.44450932
12274,-634.3880098,-45.82499416
12275,-643.0234388,-49.66587141
12276,-623.426363,-73.63863013
12277,-629.9263091,-54.26594836
12278,-661.0534965,-51.59565979
12279,-635.839091,-59.83839929
12280,-614.3309263,-48.32324733
12281,-634.2907724,-37.61965365
12282,-656.1392679,-58.8697652
12283,-613.9344969,-64.64417073
12284,-634.1673557,-49.14602532
12285,-651.165201,-52.55307418
12286,-629.107271,-55.74694874
12287,-631.0220998,-52.71762978
12288,-655.9223537,-45.25278946
12289,-655.3688485,-52.32120038
12290,-623.3702645,-54.02659476
12291,-650.1890871,-51.65923809
12292,-661.4200067,-56.06858014
12293,-619.0768594,-52.67649088
12294,-635.3304646,-50.6719045
12295,-655.0359974,-52.91958437
12296,-633.7410071,-64.74888793
12297,-626.7436543,-48.49154283
12298,-657.6090486,-54.08643316
12299,-630.8874634,-51.34508649
12300,-631.7738197,-56.33037313
12301,-640.36063,-44.05602148
12302,-645.4618536,-53.40203147
12303,-626.0592526,-61.95892257
12304,-645.0990833,-50.19693721
12305,-649.3214303,-45.77263556
12306,-626.1527501,-62.66202376
12307,-638.2139274,-54.99522885
12308,-647.948887,-46.62159285
12309,-622.8354588,-58.6865101
12310,-609.5849933,-58.01332811
12311,-635.9438082,-50.5110888
12312,-649.8898951,-60.76589448
12313,-623.7853934,-64.47213534
12314,-634.4141891,-56.91379753
12315,-653.6671941,-49.56863401
12316,-637.5070863,-66.22614842
12317,-637.8436773,-49.68457091
12318,-641.8079713,-34.1340669
12319,-642.3315573,-59.4120507
12320,-615.4865554,-42.2496498
12321,-672.6023075,-42.85925349
12322,-656.7301721,-48.91789142
12323,-633.2809994,-48.58504032
12324,-650.3162437,-43.41649859
12325,-648.6407685,-47.81462093
12326,-648.4612533,-69.80523267
12327,-627.8282253,-56.24061553
12328,-638.8571902,-42.4142054
12329,-632.8172518,-65.84093872
12330,-618.1830233,-58.49951511
12331,-624.1668632,-49.13106572
12332,-625.0083407,-47.00680254
12333,-616.7319421,-71.48818765
12334,-632.4208224,-57.69169672
12335,-657.3996142,-55.17848395
12336,-636.2841391,-64.01212764
12337,-620.8159128,-39.23155054
12338,-675.6690255,-51.27776829
12339,-651.5952895,-54.21358976
12340,-640.3007916,-49.52001531
12341,-643.9097951,-31.60589453
12342,-663.7686638,-53.93683716
12343,-649.3102106,-62.12347816
12344,-655.2342121,-45.64921886
12345,-658.8806146,-48.76455552
12346,-638.6963745,-54.49782215
12347,-637.7015611,-54.28838776
12348,-663.2637773,-46.16532505
12349,-643.1692949,-58.40975751
12350,-649.444847,-61.62233157
12351,-638.6440159,-44.78156207
12352,-643.0870171,-45.64921886
12353,-650.005832,-65.25003453
12354,-649.0072787,-55.91150434
12355,-670.754797,-54.59879945
12356,-672.994997,-62.79292026
12357,-676.7573364,-51.67045779
12358,-686.1482252,-47.63510574
12359,-659.4154203,-62.85649856
12360,-632.9331887,-61.79436697
12361,-647.6160359,-44.67310497
12362,-638.6627154,-49.91644471
12363,-638.3597835,-62.62836466
12364,-616.623485,-38.79024234
12365,-638.3859628,-48.36438623
12366,-616.7805608,-66.90681021
12367,-625.1055781,-58.16666401
12368,-647.2644853,-44.06724118
12369,-623.4899413,-48.51398223
12370,-618.6766901,-60.31710649
12371,-634.1972749,-44.16821848
12372,-643.5208455,-48.08389373
12373,-613.4034311,-53.53666787
12374,-637.967094,-49.41155821
12375,-646.7072402,-50.8476798
12376,-629.14467,-64.53571364
12377,-617.6781368,-44.19065788
12378,-655.0733964,-53.21877637
12379,-648.8277635,-61.08004608
12380,-607.6851241,-44.41505187
12381,-633.0229463,-44.32155437
12382,-629.8814303,-44.48610997
12383,-615.8904646,-48.11755283
12384,-644.6428155,-54.35944586
12385,-635.7156743,-48.81691412
12386,-626.6763361,-54.61375905
12387,-605.5159821,-47.60892644
12388,-643.464747,-47.93803763
12389,-649.1045161,-63.27536735
12390,-617.6968363,-53.35341277
12391,-633.2062014,-41.8120815
12392,-634.2795527,-43.33422079
12393,-622.7943199,-69.76035387
12394,-638.5093795,-50.8065409
12395,-639.6201298,-49.60229311
12396,-624.2828001,-61.92526347
12397,-623.3852241,-53.58902647
12398,-635.016313,-59.4868487
12399,-622.8578982,-62.85275866
12400,-615.501515,-62.62088486
12401,-639.8258243,-47.40697184
12402,-641.2731656,-55.40661784
12403,-611.1482715,-49.35171982
12404,-627.0877251,-45.79881486
12405,-634.9340352,-44.06350128
12406,-624.0509263,-64.45717574
12407,-615.5463938,-44.91993837
12408,-644.8372903,-42.3955059
12409,-630.4498951,-49.17968442
12410,-611.9598297,-45.39116576
12411,-628.8305184,-39.80749513
12412,-642.2006608,-58.32747971
12413,-608.4106647,-55.96386294
12414,-613.0631002,-46.63281255
12415,-625.6815227,-47.65754514
12416,-617.4126039,-70.12686407
12417,-613.3248932,-59.99173519
12418,-631.2427539,-47.02176214
12419,-625.3486716,-60.31336659
