, EXG Channel 1, EXG Channel 3
12200,-456.1462478,13.12517889
12201,-464.2094722,13.28973449
12202,-455.244932,11.50206231
12203,-452.6382217,13.69364369
12204,-471.7865095,18.14412464
12205,-461.5466634,13.0429011
12206,-449.971673,13.23737589
12207,-455.581523,21.30808
12208,-460.8398223,17.81501344
12209,-452.4063479,12.05556751
12210,-450.6672944,12.7287495
12211,-466.083162,17.67289724
12212,-462.122608,9.347879939
12213,-456.7483717,14.50520198
12214,-462.3993606,13.61136589
12215,-468.8058092,10.41749133
12216,-447.9596068,8.184771053
12217,-463.7419847,14.80813387
12218,-466.7264248,8.323147351
12219,-453.2440855,10.07342053
12220,-455.2000532,18.08802614
12221,-465.8774675,17.73647554
12222,-453.5881563,8.727056547
12223,-446.8002379,9.590973436
12224,-456.7670712,22.17947669
12225,-451.7892644,15.58977297
12226,-440.6032236,14.07511348
12227,-442.8060247,20.11505191
12228,-450.0651705,16.92117735
12229,-440.0871174,7.810781057
12230,-441.6765749,12.5866333
12231,-456.886748,14.01901498
12232,-443.9092952,13.34957289
12233,-438.0563518,7.294674864
12234,-454.6914268,12.20890341
12235,-454.6652475,11.77133511
12236,-439.2568596,6.954343968
12237,-453.5058785,15.69075026
12238,-460.2264787,11.93215081
12239,-444.5001994,5.248949588
12240,-448.8272636,13.53282799
12241,-460.1142817,15.53367447
12242,-445.8054245,10.55960752
12243,-435.5954976,11.77881491
12244,-458.8165364,16.16197766
12245,-450.7645318,8.899091945
12246,-431.8593375,14.75577528
12247,-434.6193837,14.86797227
12248,-449.4593067,10.98969602
12249,-440.2928119,3.423878409
12250,-435.9358285,14.77447477
12251,-453.3263633,9.729349735
12252,-441.5120193,13.57022699
12253,-435.692735,17.66167754
12254,-449.747279,16.36767216
12255,-448.550511,14.11999228
12256,-444.3543433,18.46201613
12257,-451.4377138,15.59538282
12258,-452.066017,14.15178143
12259,-447.914728,8.646648698
12260,-447.7464325,15.25879182
12261,-462.2834237,13.71421314
12262,-448.5280716,12.15093496
12263,-441.1380293,11.75076566
12264,-459.6467942,18.52746438
12265,-454.8447627,15.65896111
12266,-435.430942,9.963093482
12267,-449.8557361,14.53325123
12268,-454.4782525,11.81060406
12269,-441.9047088,5.789365131
12270,-434.4772675,10.64749517
12271,-453.7190528,15.78985761
12272,-440.5396453,6.941254318
12273,-434.6867019,14.32755673
12274,-455.1065557,13.61697574
12275,-456.6511343,16.5827164
12276,-445.1995607,7.913628306
12277,-448.9619,17.65980759
12278,-455.4394068,13.57209694
12279,-444.9826465,7.60321661
12280,-447.9446472,10.51285878
12281,-466.1803994,14.45471333
12282,-454.9307804,5.564971134
12283,-441.1342894,9.791058084
12284,-460.1928196,14.66788763
12285,-457.3953744,7.075890716
12286,-444.9564672,6.511165823
12287,-461.0829158,17.2184994
12288,-464.5049242,13.47111964
12289,-437.6786219,7.547118111
12290,-445.113543,10.37448248
12291,-463.0987219,13.65437474
12292,-455.5403841,11.98637936
12293,-445.0200455,8.695267397
12294,-464.886394,17.38305499
12295,-458.0760362,21.03319735
12296,-440.6892413,15.70383991
12297,-451.3629158,19.88504806
12298,-461.6775599,16.15262791
12299,-449.9604533,10.03041168
12300,-454.1865403,14.21535973
12301,-459.3588219,16.38824161
12302,-447.0695107,9.678861085
12303,-438.8604303,15.21391302
12304,-454.6951667,23.41177372
12305,-453.8050705,14.60804923
12306,-441.6578754,11.42539436
12307,-450.1100493,21.70263944
12308,-448.0456245,11.24587917
12309,-435.4421617,12.50622545
12310,-445.8016846,15.59912272
12311,-454.3024772,15.54676412
12312,-449.5752436,10.95416697
12313,-437.8917962,14.25649863
12314,-456.8904879,13.80771064
12315,-462.5377369,13.44120044
12316,-443.0902571,9.028118493
12317,-453.2328658,18.68454018
12318,-455.2898108,17.1624009
12319,-453.6068558,10.45302038
12320,-449.560284,10.61009617
