, EXG Channel 1, EXG Channel 3
12200,-211.1267022,-148.8723276
12201,-220.4203536,-172.4561367
12202,-229.0931816,-189.2931663
12203,-219.9304267,-219.4517195
12204,-208.6882875,-246.5585144
12205,-217.7463252,-247.1868176
12206,-202.1995611,-256.3533124
12207,-191.8774372,-246.1957441
12208,-164.5537281,-252.8602459
12209,-171.0873333,-236.479484
12210,-159.6394996,-221.4600458
12211,-136.9083876,-213.5052786
12212,-140.9474796,-197.0235395
12213,-136.6017158,-182.8717581
12214,-120.5650248,-161.9320582
12215,-111.1442168,-163.846887
12216,-102.8865177,-127.3080644
12217,-96.37909181,-100.111512
12218,-94.84573283,-80.4695574
12219,-81.19135809,-47.62949589
12220,-73.09447468,-23.63055787
12221,-67.54446315,13.37201229
12222,-54.6455482,18.90332433
12223,-25.76230084,68.74123114
12224,-24.90212385,99.07929958
12225,-66.57582906,93.98181594
12226,-105.1454173,56.66135428
12227,-138.7297189,5.993189679
12228,-152.5037704,-25.52294725
12229,-150.7572372,-29.10203151
12230,-138.7858174,-29.3937437
12231,-135.7527585,-29.4423624
12232,-151.4902576,-57.71974597
12233,-147.8027162,-56.35094258
12234,-153.5920813,-60.25539814
12235,-152.0026238,-71.4975374
12236,-160.8961059,-78.22561742
12237,-163.3270409,-60.25913804
12238,-167.0033626,-64.11123499
12239,-168.1290725,-162.8184145
12240,-161.3112348,-124.2787455
12241,-163.472897,-126.8929355
12242,-149.9755981,-132.1175758
12243,-155.4620313,-130.913328
12244,-154.2690032,-125.6101499
12245,-149.6128278,-136.4708193
12246,-148.1280875,-122.0609848
12247,-145.04267,-115.0187532
12248,-146.6545669,-125.0790841
12249,-143.7972833,-129.9746131
12250,-144.2086723,-108.1784762
12251,-129.7876181,-113.679869
12252,-140.4500729,-108.1074181
12253,-140.8053634,-95.27582132
12254,-136.8148901,-103.3839244
12255,-147.3053095,-92.85610605
12256,-150.0055173,-87.11535962
12257,-137.529211,-87.87455931
12258,-149.8970602,-71.03378981
12259,-132.2671718,-98.62677168
12260,-134.3615158,-79.57946121
12261,-139.2084261,-62.9406463
12262,-155.3311348,-81.77852238
12263,-146.0692726,-105.0220006
12264,-147.064086,-107.9727817
12265,-151.9072564,-95.05890712
12266,-138.4510964,-109.8352518
12267,-138.2304423,-100.0292342
12268,-152.3822237,-110.4186762
12269,-156.2904191,-105.0182607
12270,-129.194844,-118.4968601
12271,-139.3898112,-106.7760137
12272,-152.8796304,-119.6824084
12273,-158.1753287,-100.747295
12274,-154.5812849,-103.2305885
12275,-143.8215927,-135.7228393
12276,-136.259515,-113.0403461
12277,-152.595398,-85.95599063
12278,-151.4622083,-115.400223
12279,-158.4894803,-110.6542899
12280,-141.3195996,-76.09387445
12281,-148.5525661,-70.36434772
12282,-143.3017466,-142.4995381
12283,-144.6069717,-106.3122661
12284,-142.9651556,-97.343986
12285,-147.8532048,-97.1158521
12286,-148.3543514,-101.8617851
12287,-142.8641783,-105.3324123
12288,-135.9341437,-101.7832472
12289,-144.3376989,-104.3151595
12290,-144.1694034,-87.35845311
12291,-140.033074,-90.12223918
12292,-134.726156,-107.7670872
12293,-143.4775219,-121.380323
12294,-148.0140205,-99.70012297
12295,-165.1876411,-96.9662561
12296,-150.7591071,-99.13165818
12297,-138.9559829,-111.77252
12298,-149.6820159,-99.34109257
12299,-149.5137204,-123.6915812
12300,-141.3457789,-97.54594059
12301,-138.2267024,-98.76514798
12302,-156.0136666,-96.08737961
12303,-158.725094,-91.82015376
12304,-138.1481645,-102.0824392
12305,-134.1053326,-120.4864869
12306,-142.8230394,-110.725348
12307,-151.5070871,-86.01956893
12308,-144.2890802,-151.0863484
12309,-127.8896189,-125.7335666
12310,-140.9269101,-114.0314196
12311,-141.1625238,-113.9454019
12312,-138.2603615,-113.0216466
12313,-139.6890032,-76.39680634
12314,-141.9142437,-105.8821776
12315,-141.790827,-105.3959906
12316,-152.6365369,-63.75220459
12317,-150.0485261,-120.9801537
12318,-144.0235473,-72.58958819
12319,-157.2852325,-118.1864484
12320,-134.8196535,-131.4256943
12321,-143.9188301,-103.9075104
12322,-166.1300959,-65.40524038
12323,-136.7905808,-164.4340513
12324,-140.6351979,-123.5719044
12325,-149.9101498,-111.3798305
12326,-147.8232856,-128.6955673
12327,-140.9530894,-110.6094111
12328,-156.7616465,-123.0595381
12329,-149.6857558,-141.8001768
12330,-143.0549132,-151.1349671
12331,-141.1999228,-124.9033088
12332,-162.3677566,-139.8554288
12333,-159.0916042,-116.1145439
12334,-160.9391148,-132.1549748
12335,-141.4579759,-121.2232472
