, EXG Channel 1, EXG Channel 3
12200,-92.41479786,194.499107
12201,-90.70192368,199.0019466
12202,-90.72062318,189.3978835
12203,-84.52360895,182.4229701
12204,-91.97348966,186.948249
12205,-90.23443618,188.3955903
12206,-89.29946119,195.5574987
12207,-88.297168,184.9885415
12208,-79.33262781,183.8254326
12209,-78.56968822,177.082393
12210,-79.39994601,184.259261
12211,-86.79372822,185.8823775
12212,-78.19195832,167.6391456
12213,-78.93245851,168.2337897
12214,-76.11257395,169.2211232
12215,-75.69370515,174.9020313
12216,-77.14104644,185.3587916
12217,-82.69853777,156.5092033
12218,-84.47499025,166.3787993
12219,-78.77912262,174.0044553
12220,-90.65330498,173.192897
12221,-84.05612145,190.9798612
12222,-83.29692176,190.6432702
12223,-88.08773361,194.6262636
12224,-99.67768357,197.7939589
12225,-91.28534807,197.9248554
12226,-87.06300102,195.2171678
12227,-93.23383595,197.3638704
12228,-91.71917646,196.668249
12229,-85.28280864,206.9417542
12230,-92.40357816,203.6394225
12231,-90.17833768,197.2067946
12232,-85.58948044,204.7127738
12233,-78.09098102,186.7649939
12234,-82.44048467,188.4965676
12235,-86.17664473,187.4793148
12236,-84.39645235,183.9451094
12237,-77.54869553,186.1927892
12238,-80.2526432,183.6384376
12239,-76.03777595,181.9629624
12240,-86.83486712,183.1597304
12241,-87.35845311,179.5021082
12242,-83.42033846,180.9344899
12243,-86.03826843,181.4505961
12244,-93.15155815,187.509234
12245,-113.4779144,190.9910809
12246,-76.08265475,185.0595996
12247,-82.82195447,181.454336
12248,-80.62289329,186.8584914
12249,-78.96237771,182.7595611
12250,-79.50840311,196.4288954
12251,-71.7518506,175.8370063
12252,-73.12813378,172.4860559
12253,-77.61601373,182.5576065
12254,-83.37919956,180.3847246
12255,-80.64533269,188.8406384
12256,-80.334921,185.456029
12257,-84.60588675,184.8987839
12258,-89.31442079,188.0178604
12259,-90.88143887,187.1801228
12260,-88.2522892,185.2727739
12261,-85.15752199,188.8238089
12262,-85.79704488,190.611481
12263,-88.02228536,192.9489185
12264,-87.49495946,191.8493879
12265,-85.31085789,196.4719043
12266,-85.44923419,199.9761905
12267,-97.28227765,186.7967831
12268,-93.92010759,196.0044168
12269,-88.51969205,193.9586915
12270,-87.13592907,188.5657558
12271,-88.07090406,195.0170832
12272,-89.67532114,198.6410462
12273,-87.68943426,188.4797381
12274,-83.41472861,189.1043014
12275,-94.63068858,193.5061636
12276,-94.30157738,193.827795
12277,-89.94459393,194.2878027
12278,-91.93048081,190.3309885
12279,-97.30471705,192.2607769
12280,-86.24957278,196.3297881
12281,-96.62031536,202.7063175
