, EXG Channel 1, EXG Channel 3
12200,8393.537878,1532.072456
12201,8286.369175,1564.231856
12202,8264.268236,1394.530156
12203,8246.372815,1195.810571
12204,8141.126421,1312.143899
12205,8165.888298,1482.511302
12206,7957.153262,1701.779766
12207,8041.680611,1775.530594
12208,8268.969291,1657.15341
12209,8479.359233,1722.367916
12210,8391.823134,1525.533241
12211,8278.498556,1574.219259
12212,8252.470722,1403.806977
12213,8248.753261,1192.951418
12214,8129.658017,1299.834019
12215,8169.095262,1478.451641
12216,7974.848599,1700.222098
12217,8023.02412,1761.410601
12218,8260.900457,1660.824122
12219,8504.081841,1722.227669
12220,8385.64295,1526.776758
12221,8269.494747,1566.602953
12222,8256.339649,1422.998274
12223,8255.049383,1184.617051
12224,8115.781119,1297.857482
12225,8169.441203,1486.453157
12226,7961.020318,1703.099951
12227,8018.291276,1756.064414
12228,8253.336509,1648.970509
12229,8016.496124,1728.392895
12230,7892.757795,1534.348185
12231,7772.54432,1566.047577
12232,7763.981819,1407.120529
12233,7761.203074,1204.799421
12234,7594.012716,1294.800113
12235,7687.476556,1476.491933
12236,7478.935994,1704.238751
12237,7514.818465,1758.46356
12238,7753.300665,1654.799143
12239,7526.57297,1725.911471
12240,7405.415171,1503.87735
12241,7265.978611,1569.258282
12242,7289.999989,1410.406031
12243,7283.380366,1201.11375
12244,7111.092524,1299.177666
12245,7192.431609,1485.794934
12246,6999.890339,1697.482621
12247,7022.582182,1753.057535
12248,7262.006837,1653.959536
12249,7056.233802,1728.968839
12250,6902.744568,1520.001929
12251,6767.751009,1563.474526
12252,6787.52386,1426.246377
12253,6793.072002,1196.941891
12254,6622.022067,1298.158544
12255,6709.004661,1471.173795
12256,6510.408493,1232.912249
12257,6538.003345,1268.579675
12258,6764.671201,1165.038675
12259,6579.587293,1239.853503
12260,6418.786554,1027.935812
12261,6276.582468,1066.176289
12262,6314.220821,927.4260009
12263,-13292.52072,-3187.464374
12264,-13488.07448,-3122.808983
12265,-13387.0336,-2947.392716
12266,-13565.28097,-2703.721404
12267,-13553.55826,-2651.344105
12268,-13343.27864,-2767.226775
12269,-13508.04741,-2680.062797
12270,-13682.02008,-2882.54472
12271,-13833.96286,-2858.175532
12272,-13778.84048,-2989.730253
12273,-13781.55191,-3203.013008
12274,-13996.05574,-3121.875878
12275,-13875.06997,-2921.862289
12276,-14055.666,-2688.352285
12277,-14063.53101,-2650.504498
12278,-13843.89791,-2761.170007
12279,-13990.92834,-2670.894432
12280,-14170.60061,-2902.469037
12281,-14329.6679,-2854.340265
12282,-14270.26333,-3006.367198
12283,-14263.16313,-3200.191253
12284,-14507.02144,-3133.628514
12285,-14356.74104,-2940.260726
12286,-14537.12015,-2702.247883
12287,-14558.69938,-2674.72222
12288,-14339.48888,-2753.94639
12289,-14465.10838,-2664.691808
12290,-14667.58656,-2897.377164
12291,-14839.75847,-2875.966236
12292,-14754.1746,-2989.46098
12293,-14752.34766,-3205.92639
12294,-14510.22279,-3128.54038
12295,-14353.59204,-2922.808483
12296,-14523.26756,-2690.139957
12297,-14561.91943,-2670.168892
12298,-14350.37199,-2751.498626
12299,-14456.97784,-2678.265775
12300,-14672.29136,-2908.378079
12301,-14844.35107,-2858.667329
12302,-14737.82002,-2993.064374
12303,-14747.18099,-3207.270884
12304,-14517.783,-3133.822989
12305,-14350.27288,-2927.814339
12306,-14521.35087,-2683.896194
12307,-14565.0516,-2671.146875
12308,-14350.86753,-2767.847599
12309,-14447.69728,-2671.296471
12310,-14680.11336,-2434.166245
12311,-14865.1206,-2364.286214
12312,-14740.05087,-2499.176926
12313,-14740.33884,-2711.124536
12314,-14545.09362,-2638.84349
12315,-14350.1663,-2437.109546
12316,-14510.19287,-2675.767522
12317,-14578.23661,-2662.898526
12318,-14369.33328,-2776.963605
12319,-14425.25601,-2664.409446
12320,-14192.97269,-2900.000703
12321,-14383.64962,-2863.611477
12322,-14241.32773,-3003.259341
12323,-14242.09815,-3204.862388
12324,-14069.34095,-3152.051261
12325,-13851.3721,-2915.775601
12326,-14005.75891,-2682.93504
12327,-14084.0051,-2691.826652
12328,-13883.78581,-2779.660073
12329,-13912.36239,-2660.12726
12330,-13703.35995,-2419.070139
12331,-13905.34259,-2389.281835
12332,-13735.61845,-2496.538426
12333,-13737.27149,-2706.414132
12334,-13597.72086,-2641.212716
12335,-13356.90497,-2439.781705
12336,-13508.40457,-2681.80559
12337,-13601.29247,-2665.795079
12338,-13403.51908,-2775.151623
12339,-13411.90393,-2671.060858
12340,-13214.53632,-2429.813001
12341,-13429.56,-2381.362597
12342,-13241.23734,-2483.409507
12343,-13237.78354,-2716.57357
12344,-13111.04955,-2652.692339
12345,-13348.14986,-2432.307514
12346,-13496.41445,-2189.017673
12347,-13601.80857,-2196.080474
12348,-13419.8213,-2287.358342
12349,-13387.66377,-2154.257172
12350,-13219.82267,-1924.303814
12351,-13446.95615,-1886.882375
12352,-13227.52126,-1992.037142
12353,-13225.48488,-2230.23137
12354,-13130.77191,-2170.265814
12355,-13347.18684,-1934.15845
12356,-13474.88198,-2178.871324
12357,-13612.15127,-2186.745683
12358,-13428.92609,-2274.818457
12359,-13374.1272,-2155.674595
12360,-13218.3585,-1925.728716
12361,-13444.35505,-1896.78189
12362,-13217.81435,-1983.861721
12363,-13219.50852,-2217.549369
12364,-13136.86047,-2169.525314
12365,-13335.36501,-1938.616411
12366,-13467.51064,-2176.126237
12367,-13619.32814,-2189.752563
12368,-13438.45909,-2279.796264
12369,-13351.41105,-2152.959427
12370,-13230.63659,-1944.446915
12371,-13461.00134,-1914.213564
12372,-13216.76343,-1992.358773
12373,-13219.56462,-2229.143059
12374,-13162.28431,-2178.852625
12375,-13338.58133,-1938.967962
12376,-13468.53911,-2175.389477
12377,-13628.31886,-2197.266022
12378,-13454.11806,-2279.246499
12379,-13351.98326,-2144.888723
12380,-13229.79886,-1935.635711
12381,-12994.245,-1900.028123
12382,-13211.89782,-1984.486284
12383,-13211.13302,-2222.418719
12384,-13163.83076,-2181.859504
12385,-13338.23913,-2420.15284
12386,-13453.76463,-2187.929362
12387,-13637.09079,-2202.688877
12388,-13454.52757,-2282.836803
12389,-13329.32133,-2143.007553
12390,-13243.70193,-1921.981336
12391,-13005.24965,-1903.756803
12392,-13200.60894,-1988.75351
12393,-13199.90771,-2202.245699
12394,-13202.39287,-2176.077619
12395,-13321.16648,-2414.666406
12396,-13429.85171,-2658.148853
12397,-13657.81358,-2697.483251
12398,-13475.57573,-2782.75484
12399,-13322.16317,-2636.792154
12400,-13242.28825,-2442.618419
12401,-13019.86892,-2399.542251
12402,-13206.03553,-2470.196441
12403,-13198.51272,-2713.151562
12404,-13228.8377,-2677.3308
12405,-13316.26721,-2919.016225
12406,-13429.11495,-3148.414208
12407,-13659.92662,-3191.33517
12408,-13484.35702,-3275.701703
12409,-13309.64198,-3109.244366
12410,-13247.62509,-2923.863135
12411,-13033.36996,-2902.186675
12412,-13184.93502,-2977.89347
12413,-13190.28681,-3188.745289
12414,-13246.80605,-3158.575516
12415,-13313.11635,-3376.710791
12416,-13416.80133,-3138.832585
12417,-13187.75303,-3188.941634
12418,-13014.03842,-3267.043835
12419,-12799.04466,-3120.333169
12420,-12765.12564,-2925.430153
