, EXG Channel 1, EXG Channel 3
72200,1520.172095,-3846.855485
72201,1692.246762,-3602.522211
72202,1647.885938,-3518.613815
72203,1578.213472,-3686.058486
72204,1598.960567,-3867.469813
72205,1585.846608,-3881.950706
72206,1535.587962,-4060.267266
72207,1360.366169,-4069.590836
72208,1327.114719,-4113.628158
72209,1349.449402,-4192.912167
72210,1495.584122,-4344.632429
72211,1700.300636,-4562.115091
72212,1619.300013,-4472.42855
72213,1566.846046,-4664.975429
72214,1623.413903,-4836.685456
72215,1542.906946,-4865.033898
72216,1521.07528,-5046.948241
72217,1336.084869,-5054.944148
72218,1298.147324,-5102.044448
72219,1343.826462,-5161.596745
72220,1493.226115,-5318.911896
72221,1659.245884,-5561.167656
72222,1563.087447,-5465.343939
72223,1634.635473,-5621.086463
72224,1625.670932,-5814.46921
72225,1518.259136,-5838.539206
72226,1492.953103,-6021.586739
72227,1318.793442,-6027.043253
72228,1319.820044,-6073.100121
72229,1303.51221,-6143.329833
72230,1452.859505,-6296.183284
72231,1257.004684,-6515.898666
72232,1041.259206,-6446.886292
72233,1105.664023,-6615.733426
72234,1165.059244,-6795.214964
72235,1023.15435,-6841.623383
72236,1115.010033,-6980.966445
72237,1300.473542,-7018.571139
72238,1309.971018,-7077.960751
72239,1321.164538,-7149.963175
72240,1474.644422,-7286.035695
72241,1267.910233,-7502.157033
72242,1031.266193,-7454.200296
72243,1111.083138,-7602.721073
72244,1161.319344,-7796.10008
72245,1004.578267,-7819.27998
72246,1024.493234,-7989.548275
72247,800.9145351,-7995.704151
72248,824.1262242,-8051.473539
72249,867.5315031,-8111.066975
72250,968.3087172,-8269.608814
72251,781.5455932,-8486.807243
72252,540.847502,-8429.126766
72253,579.5666863,-8591.152322
72254,681.368633,-8768.03837
72255,553.2452704,-8798.795308
72256,489.3920885,-8981.218278
72257,425.3911806,-8957.180071
72258,283.2263635,-9033.313214
72259,341.30327,-9095.834992
72260,475.5638084,-9246.986788
72261,243.6675718,-9475.255322
72262,9.046817993,-9404.324379
72263,106.3103961,-9553.320124
72264,176.3269332,-9732.87272
72265,-17.2820777,-9788.032505
72266,-13.39632164,-9956.759961
72267,-184.3995072,-9942.752166
72268,-199.6171601,-10014.23661
72269,-175.6032625,-10094.46682
72270,11.58808001,-10217.80872
72271,236.3055787,-10460.5731
72272,84.80410145,-10388.52393
72273,84.5890572,-10550.34379
72274,161.1092802,-10742.18196
72275,7.969726806,-10763.02068
72276,14.48837243,-10940.22275
72277,-177.6714272,-10942.06278
72278,-208.7275564,-11003.98805
72279,-185.5177373,-11037.21519
72280,-9.991142732,-11206.86827
72281,193.2929893,-11439.97997
72282,32.37444397,-11376.36802
72283,86.54689482,-11523.80796
72284,192.2158981,-11692.35777
72285,6.183924577,-11746.62372
72286,36.66036932,-11917.83821
72287,-126.2721122,-11909.01766
72288,-174.8945515,-11975.43454
72289,-208.9407307,-12039.73651
72290,34.70440164,-12184.41454
72291,235.1387299,-12416.12752
72292,33.02518656,-12353.05785
72293,92.81496715,-12506.54147
72294,184.4182067,-12685.89586
72295,-19.69992302,-12737.33444
72296,2.990050015,-12910.64701
72297,-168.6077797,-12889.19682
72298,-217.5368908,-12959.74255
72299,-216.8824083,-13025.6452
72300,-441.4297415,-13166.38511
72301,-303.1001919,-13391.31766
72302,-376.2283257,-13324.23881
72303,-363.9614538,-13478.00667
72304,-224.405217,-13666.26949
72305,-3.171435162,-13718.41492
72306,39.94587143,-13876.86887
72307,-174.312997,-13865.99885
72308,-209.7485491,-13930.78513
72309,-172.6113426,-14014.11945
72310,20.9602693,-14144.79904
72311,259.7472716,-13906.87969
72312,485.113643,-13823.46496
72313,624.0471864,-13975.61718
72314,693.3830616,-14145.38994
72315,484.1973675,-14219.6868
72316,562.4360745,-14377.22073
72317,390.9579217,-14361.19713
72318,271.3110423,-14437.57337
72319,266.0471331,-14512.39942
72320,57.56267017,-14635.57676
72321,227.3746976,-14868.70342
72322,14.69219698,-14816.19149
72323,104.0458867,-14957.17263
72324,192.7133048,-15114.93657
72325,-13.50290879,-15208.07878
72326,-27.75753747,-15335.24472
72327,-109.0928817,-15328.29412
72328,-203.8245476,-15408.23448
72329,-165.0081259,-15479.18225
72330,70.30824922,-15606.82878
72331,302.5653862,-15843.1007
72332,510.5524425,-15802.32831
72333,611.2230695,-15934.98443
72334,678.602977,-16123.24351
72335,476.8671636,-16168.23077
72336,551.1228772,-16319.79583
72337,358.3385143,-16321.3591
72338,311.3504112,-16398.77877
72339,311.432689,-16488.5719
72340,530.0354513,-16597.7508
72341,763.4332578,-16807.28618
72342,987.7113182,-16752.79209
72343,1125.706147,-16892.89062
72344,1121.345423,-17063.91624
72345,983.53198,-17137.2856
72346,980.467132,-17290.67947
72347,849.32754,-17297.61324
72348,732.7997372,-17380.32113
72349,790.0912646,-17402.87459
72350,1013.933627,-17565.30219
