, EXG Channel 1, EXG Channel 3
2000,273.6185606,508.8414382
2001,147.699869,270.722008
2002,343.3976139,149.268757
2003,474.6138738,264.0575063
2004,606.9932426,381.6306112
2005,615.68851,519.5936506
2006,488.4271943,679.0854241
2007,457.4009843,887.8055007
2008,527.1164594,748.2174748
2009,340.2654477,596.0727347
2010,291.0782835,510.4832543
2011,157.343201,277.8390377
2012,1801.405091,-846.7563588
2013,1946.612317,-738.0823459
2014,2087.357842,-587.7738967
2015,2053.663213,-450.233466
2016,1943.347384,-312.2984758
2017,1897.103521,-84.14213915
2018,2054.15314,-225.3906807
2019,2288.753325,-383.5529198
2020,2347.056495,-466.8161824
2021,2104.288369,-680.3008916
2022,1869.11037,-834.6914416
2023,1905.968954,-753.1391831
2024,2020.782013,-577.8145432
2025,1972.273641,-446.8825157
2026,1991.833317,-318.4805305
2027,1922.428254,-84.02994215
2028,1987.783006,-201.9452479
2029,1819.665153,-397.4765673
2030,1848.056604,-466.9246395
2031,2066.150739,-680.2298335
2032,1906.945068,-856.319283
2033,1988.663752,-749.4404221
2034,2003.475626,-568.8088641
2035,1977.746984,-460.4246934
2036,2026.414302,-331.1176524
2037,2000.111586,-563.9469941
2038,2006.203883,-697.4315033
2039,1867.679859,-893.142338
2040,1863.89882,-951.9653544
2041,2077.822967,-1156.866993
2042,1916.911902,-1346.50984
2043,2078.881359,-1240.390179
2044,2055.787477,-1046.418398
2045,1971.985668,-937.8397523
2046,2044.846399,-833.3319879
2047,2008.17668,-1047.607686
2048,1985.862567,-1166.809517
2049,1886.345699,-1389.193318
2050,1898.580782,-1459.512787
2051,2028.506776,-1635.886469
2052,1851.323406,-1841.573487
2053,2034.292402,-1752.743383
2054,1994.511086,-1522.685307
2055,1923.372579,-1431.658012
2056,2054.54957,-1338.564423
2057,2028.396449,-1541.455865
2058,1909.570478,-1664.573372
2059,1886.523344,-1901.419366
2060,1975.007508,-1942.672332
2061,1994.965484,-2116.573941
2062,1874.774449,-2337.998457
2063,2051.011624,-2236.045045
2064,2017.363744,-2009.711909
2065,1971.742575,-1928.131601
2066,2059.921936,-1837.121136
2067,1912.558658,-2010.975995
2068,1884.975026,-2139.946445
2069,1829.775973,-1905.417319
2070,1818.200982,-1948.831948
2071,2024.907123,-2109.210078
2072,1782.484938,-2353.433024
2073,1564.175757,-2260.066422
2074,1588.804869,-2485.17848
2075,1790.187262,-2406.829446
2076,1611.900621,-2329.088146
2077,1476.209571,-2511.088507
2078,1358.591587,-2630.017326
2079,1250.125138,-2414.54673
2080,1436.321668,-2445.507491
2081,1464.477504,-2578.356218
2082,1263.429833,-2361.574787
2083,1123.434158,-2276.57808
2084,1073.708448,-2473.517472
2085,1316.326978,-2425.01284
2086,1560.022599,-2344.698488
2087,1473.384076,-2496.446799
2088,1328.345146,-2628.061358
2089,1382.281983,-2426.260096
2090,1507.985631,-2445.006345
2091,1448.865292,-2575.427876
2092,1227.868994,-2360.239642
2093,1196.278059,-2271.985483
2094,1032.777113,-2452.562813
2095,837.9862934,-2410.397311
2096,681.7575826,-2344.762066
2097,502.6313343,-2489.905714
2098,387.0029775,-2610.495048
2099,336.1721272,-2439.768615
2100,545.7243316,-2440.163174
2101,476.1472328,-2563.725729
2102,325.6592684,-2361.926337
2103,252.6190223,-2269.12446
2104,90.23256623,-2452.64883
2105,322.6374293,-2402.999788
2106,556.0520653,-2371.390154
2107,581.7881869,-2485.451493
2108,742.0690793,-2601.508068
2109,833.1543427,-2438.526968
2110,1050.597736,-2441.647915
2111,957.3021917,-2551.974963
2112,833.6928883,-2355.878919
2113,648.8371133,-2295.801166
2114,602.2192603,-2424.659419
2115,750.8802836,-2421.721728
2116,802.636759,-2370.601035
2117,1011.654158,-2477.833317
2118,783.1930192,-2586.017403
2119,851.1133423,-2453.262174
2120,647.3860321,-2454.52439
2121,452.2791913,-2546.10706
2122,283.5367752,-2375.715348
2123,294.0402843,-2294.563259
2124,538.2052627,-2428.863067
2125,767.2142966,-2405.165191
2126,620.0099644,-2391.705291
2127,597.0020999,-2453.269654
2128,616.5206377,-2595.47187
2129,441.412912,-2462.686722
2130,616.0344508,-2449.896264
2131,859.3429921,-2536.680642
2132,763.0012993,-2368.248638
