, EXG Channel 1, EXG Channel 3
2000,-619.1853165,-60.07588294
2001,-645.2150202,-51.53021154
2002,-641.9351279,-67.27893025
2003,-616.8067401,-66.12330117
2004,-633.5652318,-39.17358209
2005,-647.5674172,-65.12100798
2006,-616.7469017,-65.50621767
2007,-623.2356281,-56.94932658
2008,-646.1948739,-52.74193913
2009,-641.9201683,-63.87188139
2010,-635.6969748,-51.08890334
2011,-659.9203068,-44.76847242
2012,-655.8512956,-58.09186601
2013,-632.6676558,-60.16377059
2014,-651.0567439,-46.05686795
2015,-656.5955357,-51.76395529
2016,-633.370757,-54.03407456
2017,-636.6394296,-38.81268174
2018,-662.7588908,-44.48237007
2019,-640.1287562,-65.47442852
2020,-627.9965208,-48.17365133
2021,-642.6457089,-51.95469018
2022,-639.5715111,-67.96520189
2023,-620.8159128,-66.22614842
2024,-635.9288486,-46.88338584
2025,-643.8723961,-51.0010157
2026,-639.4854934,-71.30493256
2027,-631.0482791,-40.40213922
2028,-656.1841467,-45.67913806
2029,-631.6653626,-58.9445632
2030,-625.2514342,-53.70122346
2031,-655.088356,-46.01198915
2032,-646.6212225,-61.72330887
2033,-625.4234696,-57.93853011
2034,-640.2671325,-45.34254706
2035,-643.7115804,-61.78314727
2036,-620.3185062,-55.23458245
2037,-636.7329271,-56.38647163
2038,-653.7756512,-52.65031158
2039,-626.2911264,-65.91573672
2040,-625.6366439,-50.04734121
2041,-650.1778674,-53.93309726
2042,-643.8910956,-62.06737966
2043,-624.6829694,-48.25218923
2044,-647.7170132,-42.88543279
2045,-658.4056473,-53.43569057
2046,-628.2283946,-51.17679099
2047,-648.9549201,-52.05192758
2048,-664.883154,-56.38647163
2049,-644.4146816,-68.57480559
2050,-636.5758513,-53.25243547
2051,-660.8964207,-48.71967672
2052,-652.9940121,-55.76938814
2053,-631.5606454,-58.00210841
2054,-653.0089717,-50.877599
2055,-662.8449085,-55.41035774
2056,-642.3165977,-62.42267016
2057,-635.3416843,-52.77746817
2058,-658.9666323,-42.1486725
2059,-638.4570209,-59.56912649
2060,-632.1141506,-50.9037783
2061,-667.4150663,-53.86951896
2062,-657.1527808,-60.08149279
2063,-641.0487716,-46.13166595
2064,-663.4881713,-39.26520963
2065,-663.312396,-49.66587141
2066,-640.9066554,-53.42073097
2067,-637.929695,-35.50661018
2068,-655.3314495,-45.94093106
2069,-637.8661167,-61.43533657
2070,-626.4893411,-52.64283178
2071,-651.9917189,-50.8364601
2072,-656.9358666,-61.36427847
2073,-627.1326039,-58.57805301
2074,-652.6013226,-45.34628696
2075,-657.9830386,-63.30902645
2076,-640.1287562,-52.82608687
2077,-653.7681714,-24.05503651
2078,-674.3712802,-65.63524422
2079,-648.4126346,-75.5758983
2080,-644.9532272,-48.63365902
2081,-663.2039389,-51.93225078
2082,-651.5878097,-55.88158514
2083,-628.1835158,-48.26340893
2084,-644.9681868,-54.56888025
2085,-651.5728501,-60.01791449
2086,-621.6274711,-66.26354741
2087,-618.4111572,-48.05023463
2088,-634.3580906,-48.68227772
2089,-617.9436697,-59.0044016
2090,-610.9724962,-60.66491718
2091,-642.7803453,-46.69265095
2092,-640.9178751,-64.69652933
