, EXG Channel 1, EXG Channel 3
2000,-684.9626769,25.0909888
2001,-680.9834233,18.56112348
2002,-668.6043545,18.23575218
2003,-672.50881,21.65028084
2004,-679.8016149,15.18773372
2005,-671.9291255,11.58247016
2006,-670.2536504,13.71795304
2007,-674.9921036,11.90784146
2008,-673.2119112,4.848780293
2009,-671.0390293,4.710403994
2010,-671.0016304,-3.831527505
2011,-676.4469247,1.064001537
2012,-673.6457396,6.393358974
2013,-674.4946969,8.573720648
2014,-682.8795526,0.727410541
2015,-679.2481098,3.042408614
2016,-677.9653241,7.361993063
2017,-683.1301259,7.952897256
2018,-681.9034387,12.7811081
2019,-678.4440313,9.953743732
2020,-685.3291871,16.37141206
2021,-681.4509108,14.06015388
2022,-670.9268324,14.19479028
2023,-670.081615,20.55636011
2024,-676.8882329,16.77532125
2025,-673.4213456,16.07222006
2026,-671.8692871,21.75312809
2027,-679.9736503,21.1323047
2028,-673.4662244,13.78340129
2029,-671.8543275,20.9378299
2030,-669.5243699,22.22809539
2031,-675.3698335,16.78654095
2032,-673.8065553,19.95797611
2033,-671.5214764,18.46201613
2034,-676.360907,20.23472871
2035,-681.2265168,17.49712194
2036,-684.84674,23.55201997
2037,-690.2209762,26.95158903
2038,-681.9819766,19.41569062
2039,-679.1172133,25.70620235
2040,-682.3671863,23.75023467
2041,-681.7201836,21.92890339
2042,-665.5338966,19.46056942
2043,-672.0076634,25.09285875
2044,-671.4952971,19.05292032
2045,-671.3569208,13.86193919
2046,-660.2718574,16.95857635
2047,-673.6233002,18.86218543
2048,-665.7283714,14.19853018
2049,-668.4248393,17.48216234
2050,-665.3169824,22.92371678
2051,-670.3546277,14.14243168
2052,-666.0500028,21.1734436
2053,-678.3767131,18.56673333
2054,-669.1615996,22.05232009
2055,-665.9901644,17.76639474
2056,-670.1152741,23.09949208
2057,-665.6573133,24.55057326
2058,-670.0329963,19.80838012
2059,-660.810403,23.49218157
2060,-672.0936811,22.44500958
2061,-670.3508878,17.31386684
2062,-655.125755,16.67434395
2063,-656.6478943,22.17199689
2064,-665.9340659,24.12796456
2065,-667.2168516,20.27212771
2066,-666.9961975,25.70246245
2067,-676.884493,21.65963059
2068,-676.2449701,19.97667561
2069,-673.1707723,23.81755287
2070,-671.5887946,23.24534817
2071,-658.3495488,21.4053174
2072,-657.9045007,23.25282797
2073,-675.9382983,22.91249708
2074,-680.4112186,24.00080797
2075,-671.9964437,19.78968062
2076,-674.0945276,27.41159673
2077,-672.8192217,25.70994225
2078,-673.1894718,23.32762597
2079,-662.8673479,19.22121582
2080,-673.4774441,18.36477873
2081,-673.6719189,15.04748747
2082,-660.3017766,14.54634088
2083,-665.4665784,13.62632549
2084,-674.7602298,17.59435934
2085,-676.7012379,12.8783455
2086,-668.4659782,20.8106733
2087,-676.0729347,21.54743359
2088,-671.1213071,18.56299343
2089,-672.4078327,18.50689493
2090,-672.0637619,25.40327045
2091,-686.6531117,20.60123891
2092,-679.4762436,19.07909962
2093,-684.0688408,21.1285648
2094,-678.4402914,22.03736049
2095,-677.1051471,20.53766061
2096,-676.2561898,25.16017695
2097,-694.6303183,25.92311654
2098,-684.5438081,23.64177757
2099,-675.9607377,24.21772216
2100,-681.1292794,22.55720658
2101,-686.5970132,22.87883798
2102,-679.128433,23.72031547
2103,-679.3079482,25.02928045
2104,-687.1205992,20.7657945
2105,-680.4261782,22.35151209
2106,-676.7797758,27.63973062
2107,-682.5878404,24.90212385
2108,-680.7627692,20.7246556
2109,-677.0041698,23.54454017
2110,-681.3237542,28.73552131
2111,-684.9477173,23.38372447
2112,-680.2616226,24.25138126
2113,-686.230503,27.04134663
2114,-686.9186446,18.74250863
2115,-674.9584445,20.7358753
2116,-678.7357435,23.60811847
2117,-688.0630539,20.58253941
2118,-681.2975749,17.75143514
2119,-670.8333349,19.75976142
2120,-676.4581444,22.35525199
2121,-675.2576365,21.4651558
2122,-672.9089793,20.50774141
2123,-680.5159358,23.05835318
2124,-674.8873864,22.00370139
2125,-671.6374133,20.9527895
2126,-682.9917496,26.07645244
2127,-690.0377211,22.00370139
2128,-686.4436773,22.97981528
2129,-683.0366284,26.29710654
2130,-690.9502567,25.63888415
2131,-682.0268554,22.81151978
2132,-678.8105415,22.84143898
2133,-677.3145815,22.42631008
2134,-687.2253164,24.32243936
2135,-675.4072325,20.51896111
2136,-679.7529962,27.44525582
2137,-676.1290332,22.63200458
2138,-682.2774287,21.3604386
2139,-674.8537273,21.1547441
2140,-677.9167054,19.21373602
2141,-670.2835696,17.03711425
2142,-674.1693256,20.27960751
2143,-669.1503799,24.68520966
2144,-671.6411532,23.61185837
2145,-670.8744738,19.75976142
2146,-676.6040005,22.25427469
2147,-688.9157511,21.57735279
2148,-678.8142814,21.0275875
2149,-680.4486176,18.87714503
2150,-686.2566823,21.82418619
2151,-687.1131194,19.93179681
2152,-676.3085484,22.70306268
2153,-681.3461936,22.73298188
2154,-674.7190909,24.01576757
2155,-668.9147662,24.24764136
2156,-667.201892,32.54273946
2157,-675.2239774,27.99502112
2158,-669.7525038,27.69582912
2159,-667.6693795,23.64177757
2160,-674.0085099,24.41593686
2161,-670.0142968,25.24245475
2162,-670.7809763,30.46335509
2163,-670.3995065,30.51197379
2164,-677.3071017,30.82238548
2165,-682.3821459,27.84542512
2166,-678.7432233,30.30627929
2167,-688.1565514,33.51511345
2168,-692.3527192,28.79161981
2169,-690.5762667,34.00130045
2170,-691.0736734,35.05221233
2171,-690.9652163,35.84881103
2172,-681.10684,30.10432469
2173,-691.4663629,36.32377832
2174,-683.6200528,32.36696417
2175,-674.9322652,24.26260096
2176,-678.2906954,29.04593301
2177,-683.7883483,29.7452943
2178,-684.5699874,24.09056556
2179,-679.7380366,26.48784144
2180,-684.4839697,26.73841473
2181,-688.3697257,24.11674486
2182,-692.7678481,24.90212385
2183,-683.0665476,28.18949592
2184,-688.4146045,17.90477104
2185,-685.4900028,18.37225853
2186,-688.1004529,23.35006537
2187,-693.9833156,18.59291263
2188,-684.8243006,15.19708347
2189,-676.7423768,12.8185071
2190,-679.8203144,13.74600229
2191,-672.9538581,8.40916505
2192,-661.7341583,6.834667169
2193,-665.2047854,7.036621767
2194,-669.4121729,6.498076173
2195,-660.4925115,-4.119499801
2196,-661.2030925,4.085840702
2197,-665.8106492,5.002116191
2198,-662.863608,3.154605613
2199,-670.7622768,4.2167372
2200,-673.855174,8.891612145
2201,-674.3862398,8.252089252
2202,-673.8215149,8.742016146
2203,-692.8276865,16.61824545
2204,-699.4136503,11.41978451
2205,-697.4464629,10.94481722
2206,-684.7644622,13.80958059
2207,-686.679291,13.80210079
2208,-682.7748354,12.9868026
2209,-687.5095488,18.77055788
2210,-682.2736888,17.30451709
2211,-671.7346507,16.24986531
2212,-674.6555126,21.86345514
2213,-672.6172671,21.52312424
2214,-676.9256319,14.34999613
2215,-672.8341813,17.85054249
2216,-669.9357589,21.62036164
2217,-671.8019689,20.96587915
2218,-668.3762206,15.82351671
2219,-676.9331117,19.16698727
2220,-684.9626769,19.57463637
2221,-680.8600066,17.41297419
2222,-676.884493,17.2035398
2223,-681.4247315,21.05189685
2224,-689.6749508,22.13272794
2225,-682.4831232,18.28811078
2226,-684.4390909,18.64340128
2227,-684.7831617,23.08266253
2228,-680.8300874,15.35602922
2229,-673.4998835,15.84221621
2230,-674.2964822,18.80421698
2231,-672.6097873,16.37328201
2232,-662.7102721,18.18339358
2233,-662.6429539,21.68767984
2234,-666.7493641,24.62350131
2235,-667.7179982,14.46593303
2236,-665.9452856,22.86574833
2237,-673.7504568,23.74836472
2238,-680.9273248,16.13766831
2239,-674.5246161,21.44084645
2240,-673.3540274,25.92872639
2241,-680.0334887,19.65691417
2242,-677.295882,19.35024237
2243,-677.6586523,23.24347822
2244,-684.0688408,18.70697958
2245,-678.7843622,14.17796073
2246,-678.6347662,21.02197765
2247,-687.2365361,20.74896495
2248,-678.6572056,23.04900343
2249,-674.5956742,18.68080028
2250,-676.3833464,21.75499804
2251,-679.536082,21.92703344
2252,-677.5913341,22.70867253
2253,-676.585301,27.14419388
