, EXG Channel 1, EXG Channel 3
60200,1169.160044,-1104.927263
60201,1086.506385,-1053.391441
60202,848.9778594,-899.5113876
60203,812.7382288,-1136.011441
60204,839.9422611,-1330.484369
60205,1038.022322,-1210.631795
60206,1199.378436,-1404.373572
60207,1211.413434,-1246.751749
60208,1129.32076,-1038.181268
60209,905.8243387,-1142.999444
60210,684.7738119,-1101.106955
60211,648.1171825,-1069.11959
60212,805.927871,-903.6907258
60213,852.3269398,-1126.132495
60214,928.1010528,-1322.071464
60215,1069.14016,-1210.371872
60216,1193.201991,-1438.1056
60217,1219.014781,-1243.888855
60218,1209.30787,-1024.139814
60219,979.3750812,-1179.315743
60220,1166.742199,-1107.698528
60221,1130.564277,-1052.261991
60222,887.347363,-882.2068705
60223,879.7628459,-642.5110725
60224,934.260668,-822.7836001
60225,1082.338267,-712.1947584
60226,1181.036097,-925.6420686
60227,1243.668201,-734.450903
60228,1146.780483,-536.5391373
60229,965.4925726,-663.4451625
60230,1203.004269,-597.1161668
60231,1156.945531,-561.0523116
60232,1319.561991,-399.3895261
60233,1335.735188,-636.6749586
60234,1439.349117,-785.5136271
60235,1543.292156,-701.556613
60236,1675.83982,-920.1612452
60237,1714.405669,-740.5338503
60238,1639.830194,-526.1366056
60239,1471.089648,-680.7066707
60240,1234.114627,-592.4618613
60241,1142.997574,-558.3988525
60242,1343.869471,-383.4444627
60243,1375.144384,-623.0224538
60244,1428.494057,-812.4913954
60245,1537.482222,-716.1403529
60246,1740.429763,-920.2079939
60247,1788.880167,-732.6407915
60248,1662.78757,-530.1177291
60249,1454.609778,-643.1225461
60250,1258.119175,-581.8835543
60251,1233.534942,-524.5434082
60252,1263.90106,-400.6124734
60253,1299.910687,-630.3133888
60254,1475.214757,-802.638629
60255,1504.449555,-710.2219612
60256,1656.80747,-941.512334
60257,1750.177812,-738.1627538
60258,1668.02156,-531.4547433
60259,1901.27351,-657.9381598
60260,1667.469924,-594.5038467
60261,1619.260744,-539.7965902
60262,1753.659659,-412.8438162
60263,1854.006784,-634.941515
60264,1961.102559,-783.9260396
60265,2018.244491,-720.1495256
60266,2146.210778,-933.2602448
60267,2250.266014,-731.8554125
60268,2136.114918,-538.4726656
60269,1891.394564,-668.1387369
60270,1705.989024,-584.0751357
60271,1676.827154,-534.8954513
60272,1771.452233,-407.3779524
60273,1820.480451,-637.0751279
60274,1988.72733,-785.8240388
60275,2022.805299,-713.146563
60276,2124.06496,-940.1884095
60277,2258.338588,-713.8571439
60278,2125.802144,-519.3673866
60279,2314.384729,-674.3824999
60280,2203.721089,-594.9563746
60281,2185.176795,-534.9459399
60282,2246.771078,-410.8280101
60283,2311.622813,-648.8801221
60284,2409.163144,-781.6746198
60285,2474.521635,-720.6469323
60286,2611.751654,-964.952157
60287,2750.180311,-731.4215841
60288,2589.231847,-548.6751126
60289,2356.355756,-658.67679
60290,2213.394341,-581.9097336
60291,2133.145437,-543.8525117
60292,2228.466137,-415.8263864
60293,2263.593148,-645.7741352
60294,2472.122489,-813.3235232
60295,2451.560519,-731.0232847
60296,2590.054625,-948.3152121
60297,2810.570346,-710.7642467
60298,2575.452185,-545.8047394
60299,2807.196956,-669.9955973
60300,2729.134024,-577.5134812
60301,2671.029069,-536.1427079
60302,-263.8013232,79.34571746
60303,-159.7516966,-131.3378066
60304,-45.23595991,-290.4612
60305,-18.82852633,-234.6656326
60306,144.0422468,-444.2758054
60307,320.0755978,-208.6434087
60308,121.9824469,-42.44599455
60309,347.5339433,-217.1105422
60310,284.329634,-76.40241619
60311,207.4653402,-40.26750282
60312,247.435521,63.6848864
60313,334.2703881,-164.4602306
60314,529.6988603,-308.0966982
60315,501.4065171,-238.1156903
60316,605.8675327,-465.860638
60317,810.5709568,-706.1622998
60318,619.1610071,-547.6765594
60319,385.3611614,-698.5516034
60320,255.5903728,-583.9367594
60321,134.2175296,-526.3198607
60322,230.9332124,-425.5688258
60323,339.695113,-657.5174211
60324,517.9499646,-782.2337348
60325,461.0586064,-730.4211608
60326,667.4393756,-937.3872244
60327,843.4502873,-1179.532657
60328,1069.994727,-1040.625293
60329,835.4020226,-1174.147201
60330,776.6332346,-1054.685447
