, EXG Channel 1, EXG Channel 3
60200,-11782.79416,-2628.102497
60201,-11895.12954,-2834.313101
60202,-12122.48741,-3054.366944
60203,-11988.73176,-3052.409106
60204,-12043.86536,-3107.456694
60205,-12000.26561,-3284.43811
60206,-11758.09586,-3376.542496
60207,-11901.2555,-3369.999541
60208,-12005.32756,-3161.264504
60209,-12241.16752,-3294.059002
60210,-12343.76794,-3133.260134
60211,-12341.107,-3328.681126
60212,-12572.45908,-3542.403319
60213,-12544.19479,-3533.915616
60214,-12525.61683,-3586.895039
60215,-12454.88037,-3761.108928
60216,-12276.49462,-3860.087251
60217,-12419.41863,-3869.792291
60218,-12441.57941,-3657.178979
60219,-12253.95611,-3773.054169
60220,-12367.02451,-3616.051299
60221,-12329.46656,-3801.621395
60222,-12535.95205,-4033.687797
60223,-12607.58609,-4028.210713
60224,-12502.68003,-4067.098193
60225,-12389.76871,-4244.266604
60226,-12307.65546,-4359.999678
60227,-12445.25012,-4374.001863
60228,-12380.75555,-4139.338101
60229,-12282.29894,-4274.597192
60230,-12417.13729,-4121.270644
60231,-12299.13784,-4281.435599
60232,-12500.18925,-4510.540001
60233,-12677.42685,-4528.656076
60234,-12486.42455,-4555.41506
60235,-12335.183,-4718.03152
60236,-12355.79546,-4864.521531
60237,-12471.75479,-4854.09282
60238,-12296.60032,-4625.117446
60239,-12314.69957,-4759.018954
60240,-12468.87694,-4614.253036
60241,-12254.60872,-4772.346087
60242,-12458.48002,-4997.777907
60243,-12235.14254,-5006.473174
60244,-12465.83079,-5066.191897
60245,-12275.36143,-5201.40237
60246,-12373.88348,-5334.496059
60247,-12500.39682,-5355.372181
60248,-12719.01828,-5121.153466
60249,-12816.23511,-5249.153412
60250,-13001.32276,-5110.532151
60251,-13220.62301,-5264.485132
60252,-13403.51347,-5027.397914
60253,-13311.21835,-5036.987018
60254,-13419.88488,-5057.530288
60255,-13197.84328,-5199.850311
60256,-13425.62002,-5350.424293
60257,-13508.27929,-5362.571488
60258,-13621.65622,-5592.40891
