, EXG Channel 1, EXG Channel 3
60200,-114.126787,176.0894495
60201,-121.2924354,177.1702806
60202,-119.9872103,172.9853326
60203,-118.8652403,178.4455865
60204,-128.2262099,179.5077181
60205,-123.5363753,172.8394765
60206,-120.5519352,171.5828701
60207,-123.7158905,169.0359982
60208,-121.3747132,176.669134
60209,-129.1537051,176.81873
60210,-128.6151595,175.8725353
60211,-123.435398,178.8494957
60212,-124.4040321,181.5871024
60213,-118.2070179,174.5860097
60214,-122.8257943,183.0381836
60215,-120.3948594,183.8647015
60216,-121.2924354,179.137468
60217,-124.2095573,180.0761829
60218,-126.4946362,181.4973448
60219,-126.8686262,189.8148824
60220,-118.9175989,188.2067254
60221,-123.173605,184.7622775
60222,-125.2529894,191.6848323
60223,-127.0331818,192.369234
60224,-121.3036551,187.137114
60225,-122.3957058,189.493251
60226,-115.7237243,191.5277565
60227,-123.4204384,180.7568447
60228,-115.5367293,178.68868
60229,-115.585348,178.3109501
60230,-121.2400768,178.9766523
60231,-116.3295881,179.698453
60232,-118.1509194,179.7545515
60233,-115.8247016,175.9323737
60234,-115.1216004,179.2721044
60235,-113.0609156,181.5384837
60236,-116.5876412,182.8698881
60237,-118.1621391,186.389134
60238,-119.2915889,189.5343899
60239,-115.8695804,183.1092417
60240,-114.6765523,189.6690263
60241,-112.3017159,181.639461
60242,-113.4760445,180.3828547
60243,-110.9179529,182.7315118
60244,-112.6906655,178.2137127
60245,-116.8905731,176.1156288
60246,-107.5744823,179.1973064
60247,-113.9846708,177.0468639
60248,-117.5974142,186.91272
60249,-112.0922815,172.3832087
60250,-106.5534896,171.0705038
60251,-112.5560291,174.9076411
60252,-112.5560291,177.0132048
60253,-113.1357136,173.8118504
60254,-113.6518198,175.8874949
60255,-115.8396612,178.0566369
60256,-116.370727,175.9548131
60257,-110.1176143,175.5509039
60258,-116.0939744,175.2404922
60259,-116.2323507,178.4979451
60260,-114.3324815,187.249311
60261,-115.8583607,183.7375449
60262,-114.6279336,177.5031317
60263,-121.4308117,177.2450786
60264,-114.8560675,180.6072487
60265,-127.7923815,187.4063868
60266,-117.8442476,192.3654941
60267,-113.8462946,175.6032625
60268,-117.9938436,188.6555134
60269,-114.8972064,186.6808462
60270,-117.9863638,187.4699651
60271,-119.2018313,179.9939051
60272,-112.8814004,183.3560751
60273,-112.6457867,184.3284491
60274,-116.1014542,182.5033779
60275,-114.500777,178.4942052
60276,-117.7619698,184.4219466
60277,-114.0033703,177.3610155
60278,-118.6595458,177.5330509
60279,-117.1149671,179.5264176
60280,-116.5427624,178.576483
60281,-111.1834858,175.0347977
60282,-115.996737,177.0094649
60283,-112.9075797,172.4019082
60284,-110.8094958,177.005725
60285,-109.7024854,165.4008154
60286,-109.3359752,168.6919274
60287,-113.2965293,175.771558
60288,-112.3204154,172.7684184
60289,-108.8236089,174.8777219
60290,-108.0307501,167.9850863
60291,-108.0831087,169.3090109
60292,-104.9415928,174.2344591
60293,-108.8797074,179.6086954
60294,-108.2925431,174.462593
60295,-103.6139283,168.6133895
60296,-109.2499575,170.6478951
60297,-110.7533973,172.6898805
60298,-112.2456174,173.2733048
60299,-110.9777913,172.4729663
60300,-110.7103884,174.3672256
60301,-109.0274335,176.9140975
60302,-107.8568448,182.7670409
60303,-108.4776682,175.4667562
60304,-106.3870641,179.8723583
60305,-111.9856943,175.3470794
60306,-108.8666178,175.4293572
60307,-111.0806385,180.5754595
60308,-106.203809,183.1223314
60309,-107.7109887,173.6865638
60310,-112.2923661,180.706356
60311,-109.6557367,184.0573064
60312,-103.8214927,176.4391302
60313,-110.2242014,181.9704422
60314,-112.7860329,184.0573064
60315,-112.5990379,173.4060713
60316,-113.7060483,175.4069178
60317,-114.2670333,175.9940821
60318,-115.0224931,179.4235703
60319,-112.6177374,181.0317273
60320,-116.6044708,182.2359751
60321,-120.594944,180.4632625
60322,-112.4868409,186.3723044
60323,-115.1982684,183.6758366
60324,-120.1648555,182.7670409
60325,-114.1548363,185.4261098
60326,-113.0627855,180.8709116
60327,-113.866864,187.2362213
60328,-114.8878567,180.2388685
60329,-111.39853,182.7072025
60330,-116.5483723,179.5320274
60331,-109.2742669,185.3999305
60332,-110.1718428,185.3924507
60333,-105.8784377,181.4842552
60334,-107.0191072,185.231635
60335,-107.2734204,182.1424776
60336,-117.5918044,175.1563445
60337,-114.8205385,182.912897
60338,-119.5926508,182.9054172
60339,-116.3052788,184.2031625
60340,-116.0060868,181.8806846
60341,-121.9899267,183.3878643
60342,-121.529919,185.456029
60343,-113.8369448,183.8142129
60344,-111.6341437,176.9103576
60345,-111.3349517,180.2276488
60346,-114.5512657,183.3467254
60347,-114.5101268,191.0957981
60348,-116.4698344,173.8847785
60349,-118.0966909,178.8438858
60350,-115.9350287,182.3219928
60351,-113.8930433,187.5354133
60352,-117.4384685,172.5608539
60353,-118.6539359,180.1603306
60354,-119.5253326,174.7374757
60355,-119.3869563,181.3944976
60356,-120.0227393,176.7308424
60357,-118.0443323,176.4129509
60358,-116.9560214,183.7992533
60359,-112.6065177,178.4885953
60360,-114.0501191,179.2178758
60361,-119.5515119,181.0354672
60362,-118.8446708,182.2920736
60363,-115.1309502,179.5208077
60364,-113.3956366,178.3614387
60365,-118.2687262,179.9359366
60366,-118.5641783,174.2587685
60367,-115.6881953,181.566533
60368,-111.8510579,182.8418389
60369,-121.5822776,180.1491109
60370,-114.9776143,183.4925815
60371,-110.8412849,164.2133972
60372,-111.5369063,171.6782375
60373,-115.9873873,176.5326277
60374,-112.5616389,175.8183068
60375,-116.2678798,177.8490724
60376,-114.2221545,175.8594457
60377,-111.6678028,179.1916965
60378,-114.2707732,181.0541667
60379,-110.4037166,178.3576988
60380,-115.8078721,178.2604614
60381,-110.2616004,169.6736511
60382,-114.8354981,173.7426623
60383,-113.6312503,179.9695957
60384,-110.3663176,185.8113194
60385,-115.0860714,185.7215618
60386,-117.6703423,191.7540205
60387,-119.6412695,197.939815
60388,-115.811612,194.4168292
60389,-114.6073642,187.0417465
60390,-116.2940591,185.9160366
60391,-118.0705116,187.5017542
60392,-119.6375296,178.8289262
60393,-116.3987763,180.9457096
60394,-117.5394458,180.6839166
60395,-117.5544054,180.818553
60396,-121.4027624,181.0766061
60397,-113.492874,177.9350901
60398,-115.4264023,177.0524738
60399,-124.8659098,187.9505422
60400,-128.1607616,184.8052864
60401,-122.4910733,180.2313887
60402,-121.2232472,182.6062252
60403,-124.4507809,187.3521582
60404,-123.5457251,186.2937665
60405,-119.3046785,184.0498266
60406,-123.0520583,186.2264483
60407,-121.6533357,193.0031471
60408,-119.4318351,179.5507269
60409,-113.4704346,175.4181375
60410,-119.7160675,176.6448247
60411,-118.8184915,177.6321582
60412,-116.821385,169.1799843
60413,-115.5535589,177.8004537
60414,-114.8953365,174.3747054
