, EXG Channel 1, EXG Channel 3
2000,-167.0949901,38.65186604
2001,-159.7386069,32.43615232
2002,-154.9365754,36.79313576
2003,-179.4777989,31.59841473
2004,-179.7208924,32.86998071
2005,-164.0207924,35.66742588
2006,-163.212974,33.5095036
2007,-155.5424392,34.93066559
2008,-160.7147208,38.03478255
2009,-156.3539974,27.25639088
2010,-174.0119351,35.77775293
2011,-157.1524661,35.04099263
2012,-156.296029,36.24150052
2013,-177.7256557,41.03979216
2014,-164.7781221,38.1937283
2015,-170.874159,32.25850707
2016,-163.4167985,36.06946512
2017,-169.1313656,41.43622156
2018,-187.7411078,33.30567906
2019,-163.8581067,28.96365521
2020,-157.6947516,25.52294725
2021,-170.8404999,25.93807614
2022,-199.697568,33.48893415
2023,-178.5446938,31.67508267
2024,-172.0185684,32.47916117
2025,-176.2296958,23.90731047
2026,-165.5971602,26.80199303
2027,-197.0646784,21.2856406
2028,-188.5077873,22.08597919
2029,-186.0170139,23.53706037
2030,-200.9878335,21.3230396
2031,-201.6759751,24.84602536
2032,-203.8301574,9.916344733
2033,-211.5717503,16.55092725
2034,-216.295244,15.62717196
2035,-224.1415541,8.214690253
2036,-242.0930739,-6.931904568
2037,-236.7263174,14.68845708
2038,-219.9977449,19.81585992
2039,-183.2345284,26.96654863
2040,-170.6946438,36.48459402
2041,-157.4479182,41.02483256
2042,-156.9168524,42.87234314
2043,-156.0117966,36.78752591
2044,-147.4287262,45.20978061
2045,-160.6118735,40.60222387
2046,-151.8044092,40.66954207
2047,-148.1280875,48.15308188
2048,-149.567949,37.41956901
2049,-167.5531279,35.01855324
2050,-161.1691186,44.31968442
2051,-155.0207231,31.28987298
2052,-168.2637089,24.11300496
2053,-165.5186223,33.62731045
2054,-188.6424237,36.42101572
2055,-156.4942437,29.8836706
2056,-167.2688955,17.40736434
2057,-162.7585761,23.56323967
2058,-163.9291648,20.41798381
2059,-175.7622083,34.04991915
2060,-187.1950824,7.758422458
2061,-179.4123506,21.3604386
2062,-186.7724737,28.61584451
2063,-183.5598997,22.84891878
2064,-185.6953825,29.9584686
2065,-192.9433087,22.73672178
2066,-192.5393995,21.0799461
2067,-186.7126353,26.68605613
2068,-186.1030316,25.48928815
2069,-191.3650709,22.83021928
2070,-193.9381221,22.75542128
2071,-206.7697188,19.26983452
2072,-196.7879258,20.26090801
2073,-196.4363752,17.82623314
2074,-183.3654249,18.26006153
2075,-203.6469023,10.36513273
2076,-186.611658,15.15594457
2077,-180.4707423,18.50315503
2078,-176.8617389,31.61898418
2079,-167.6915042,33.50015385
2080,-161.4271717,33.24958056
2081,-162.8071948,41.69801456
2082,-139.5786762,39.63358978
2083,-131.8782222,31.19263558
2084,-149.0855019,37.54298571
2085,-142.9632857,42.44973445
2086,-133.9089879,38.0740515
2087,-148.9733049,34.89139664
2088,-156.1501729,34.12845705
2089,-138.6362214,36.44345512
2090,-139.1897266,34.32293184
2091,-145.6896727,32.66615616
2092,-138.1163753,31.31605228
2093,-157.0627085,30.95702188
2094,-153.2218312,18.96690263
2095,-159.661939,24.67025006
2096,-181.4879951,32.65867636
2097,-161.7600228,29.8275721
2098,-167.7700421,27.42281643
2099,-171.3790455,36.89224311
2100,-174.3784453,20.66481721
2101,-181.5216542,26.97402843
2102,-180.0668331,19.49048862
2103,-184.6220313,22.58712578
2104,-175.5976527,19.18381682
2105,-182.314513,21.0575067
2106,-192.7787531,22.75168138
2107,-206.8482567,14.32194688
2108,-169.2884414,16.13205846
2109,-186.6565368,18.98186223
2110,-178.2978604,16.82020005
2111,-174.5579605,28.92251631
2112,-169.7746284,29.307726
2113,-178.799007,27.83420542
2114,-166.3301806,38.2012081
2115,-173.2228162,37.23257401
2116,-158.6372064,29.5882185
2117,-178.4885953,31.13279718
2118,-162.8782529,31.35719118
2119,-173.6940436,35.35514423
2120,-164.1946977,35.80767213
2121,-164.9763368,36.41353592
2122,-173.3088339,34.03495955
2123,-174.4457635,22.44500958
2124,-174.1989301,31.63394378
2125,-173.6379451,30.39977679
2126,-183.3691648,26.69353593
2127,-189.4278027,11.72271641
2128,-183.8740513,24.57675256
2129,-198.2203075,24.19902266
2130,-195.1835087,14.64357828
2131,-195.2022082,18.56673333
2132,-203.6244629,20.13001151
2133,-195.8716503,15.35041937
2134,-192.4159828,19.92057711
2135,-185.4522891,34.21447474
2136,-167.6952441,31.98923427
2137,-156.6737589,27.93518272
2138,-151.6510733,39.96270098
2139,-150.0653557,50.76727195
2140,-149.15656,36.91094261
2141,-143.7785838,42.34127735
2142,-138.7446785,48.75146587
2143,-143.4943514,46.4963062
2144,-141.4261868,43.18649474
2145,-151.6174142,44.42440162
2146,-147.4960444,38.092751
2147,-150.8282953,37.6327433
2148,-149.6165677,39.63732968
2149,-150.577722,30.75506729
2150,-155.3909732,33.11868406
2151,-155.4882106,39.23342049
2152,-173.5444476,31.72744127
2153,-173.4659097,25.42196995
2154,-175.5677335,32.22484797
2155,-188.7247015,30.33993839
2156,-185.7776603,16.44247016
2157,-202.797945,21.1397845
2158,-208.9014618,18.70136973
2159,-180.5455403,20.49652171
2160,-183.1709501,28.00998072
2161,-176.1361983,24.56553286
2162,-147.0883953,32.02289337
2163,-152.8254018,40.79295877
2164,-148.1280875,41.28288566
2165,-151.1087878,41.80273175
2166,-132.8805154,45.67352821
2167,-130.127949,42.25525965
2168,-143.6776065,37.11663711
2169,-134.8963215,38.0964909
2170,-143.2213388,45.02652552
2171,-145.828049,41.62321656
2172,-137.7386454,41.99346665
2173,-137.8994611,39.67098878
2174,-148.221585,36.94460171
2175,-144.4031471,38.1600692
2176,-154.1568062,31.80971907
2177,-155.6340667,33.82178525
2178,-160.6791917,33.47397455
2179,-173.4509501,30.43343589
2180,-173.4995688,24.12422466
2181,-184.3677181,28.13713732
2182,-180.1977296,30.31375909
2183,-195.4490416,15.91888416
2184,-208.4152748,23.12567138
2185,-219.582616,13.71608309
2186,-231.8270485,1.64742593
2187,-233.3566676,10.27163523
2188,-216.6280951,11.76011541
2189,-180.0817927,31.85833777
2190,-177.5872794,29.7677337
2191,-165.4999228,35.65807613
2192,-173.6229855,33.39917655
2193,-173.5444476,28.32039241
2194,-175.586433,30.01830699
2195,-169.5090955,25.07041935
2196,-174.7973141,30.02952669
2197,-162.0554749,28.58966521
2198,-160.5370755,29.644317
2199,-167.9682568,32.95038856
2200,-154.0072102,35.81141203
2201,-151.9502652,28.15209692
2202,-149.6876258,40.14595607
2203,-165.0511348,33.63853015
2204,-166.9435242,40.64336277
2205,-162.8670332,41.50353976
2206,-173.5706269,43.98683333
2207,-156.3932664,41.09215076
2208,-165.417645,33.42161595
2209,-172.0036088,34.79415924
2210,-177.3367061,29.3600846
2211,-151.5145669,32.76152361
2212,-155.3741437,27.35736818
2213,-149.3117658,29.29089645
2214,-154.3082722,28.20258557
2215,-153.9268024,29.39561365
2216,-180.8540821,27.06939588
2217,-158.5455788,30.53254324
2218,-143.772974,26.85996148
2219,-165.2811386,31.03742973
2220,-168.1870409,34.32106189
2221,-173.9090878,33.9732512
2222,-175.6144822,31.22816463
2223,-173.7370524,32.51843011
2224,-173.9689262,36.42288567
2225,-168.931281,34.51179679
2226,-188.1207077,27.37232778
2227,-179.2160059,26.81134278
2228,-187.6420005,26.29523659
2229,-185.7720505,28.46811846
2230,-170.6591148,27.47704497
2231,-177.2488185,29.04032316
2232,-170.4048016,18.08989609
2233,-163.1194765,27.55184297
2234,-161.6534357,23.25843782
2235,-155.1123507,28.21006537
2236,-162.764186,34.81098879
2237,-156.7840859,32.15939972
2238,-158.3548439,31.83028852
2239,-159.6488493,38.09462095
2240,-156.4549747,37.19704496
2241,-175.2217927,42.2683493
2242,-167.9065484,38.46487104
2243,-169.2491725,38.48731044
2244,-163.586964,35.86564058
2245,-163.923555,35.04286258
2246,-167.4315811,31.24686413
2247,-172.4617466,29.09268176
2248,-165.0642244,28.31852246
2249,-168.1720813,23.04526353
2250,-172.7048401,22.68997303
2251,-174.9001613,28.37462096
2252,-176.9982452,23.47909192
2253,-179.9415465,30.40164674
2254,-173.9951055,27.28257018
2255,-161.4776604,24.82919581
2256,-183.4009539,21.91207384
2257,-199.6994379,24.87781451
2258,-214.8235934,33.21779141
2259,-176.482139,29.50407075
2260,-173.1311886,30.47270484
2261,-193.1957519,25.0722893
2262,-185.2185453,21.41092725
2263,-197.1675257,27.31622928
2264,-210.6536049,21.95321274
2265,-216.0801997,20.58066946
2266,-239.8435241,18.46388608
2267,-248.1610616,16.38450171
2268,-225.7665406,7.932327806
2269,-220.6279181,-8.605509798
2270,-226.5930585,2.374836472
2271,-209.9243244,16.27978451
2272,-193.939992,26.60564828
2273,-183.7562444,39.45594453
2274,-170.1504884,44.70676407
2275,-155.9500883,55.19718345
2276,-167.8504499,51.13939199
2277,-155.4414619,54.07147356
2278,-151.9109963,41.49419001
2279,-159.1028239,48.12877253
2280,-164.1591687,49.46765671
2281,-156.2081413,48.08015383
2282,-153.9567216,51.44980369
2283,-159.0130663,50.354013
2284,-158.4932202,49.86034621
2285,-159.0766446,51.0533743
2286,-162.4799536,36.79313576
2287,-147.0491264,33.24771061
2288,-160.0864176,36.38922657
2289,-155.5648786,30.88783373
2290,-153.7098882,33.6852789
2291,-160.1200767,30.92523273
2292,-165.3147977,30.22213154
2293,-176.6242552,27.12175448
2294,-184.6725199,28.80470946
2295,-182.9820851,34.1452866
2296,-179.5002383,30.62978064
2297,-187.8289955,23.43421312
2298,-194.0933279,25.82774909
2299,-188.4161598,30.61482104
2300,-215.9044244,25.2966833
2301,-200.4698573,17.1250019
2302,-223.9601689,15.12415542
2303,-245.3748361,10.78213157
2304,-250.4910192,7.165648315
2305,-217.7781143,14.68658713
2306,-202.8297342,16.43686031
2307,-185.5065176,19.66439397
2308,-178.015498,31.66947282
2309,-174.2494187,20.15058096
2310,-185.8505884,25.1059484
2311,-173.0152518,26.11572139
2312,-172.9890725,20.73026545
2313,-168.5647708,23.83064252
2314,-173.7407923,32.38753362
2315,-185.1250478,24.45146591
2316,-178.3707885,24.81049631
2317,-178.6213618,26.63556748
2318,-173.7557519,34.40333969
2319,-178.2473718,37.03996916
2320,-181.8414156,29.44049245
2321,-168.6769678,33.7338976
2322,-174.7767446,36.71833776
2323,-179.4553595,38.71544434
2324,-169.6830009,35.00172369
2325,-154.1998151,36.49768367
2326,-153.2237012,33.457145
2327,-152.8684107,37.97868405
2328,-138.3314196,39.44846473
2329,-145.4783684,35.03538278
2330,-172.3869486,33.4160061
2331,-143.3129663,40.13286642
2332,-134.9767293,24.76935741
2333,-156.8027854,23.07892263
2334,-144.2928201,35.59262788
2335,-158.762493,36.15735277
2336,-171.6651479,33.8872335
2337,-158.0743514,32.40997302
2338,-150.5908116,29.81074255
2339,-173.0040321,31.92378602
2340,-175.4686261,29.37317425
2341,-173.6959135,32.59322811
2342,-182.8212694,27.68647937
2343,-182.7576911,23.10510193
2344,-192.4702113,28.57283566
2345,-200.7279104,28.46063866
2346,-187.024917,19.55967677
2347,-206.5434549,19.16324737
2348,-204.6660251,19.25674487
2349,-218.2680412,16.9080877
2350,-225.0372601,13.77405154
2351,-229.9440089,15.98433241
2352,-202.9194918,26.42239319
2353,-197.5938743,26.13442089
2354,-180.4127739,33.7638168
2355,-153.3471179,38.06096185
2356,-146.5442399,40.77986912
2357,-154.2446939,38.70422464
2358,-154.5364061,43.03128889
2359,-147.0491264,37.72811075
2360,-140.5230009,31.52361673
2361,-150.7703268,42.5638014
2362,-147.6512503,45.42482486
2363,-151.4435088,38.53592914
2364,-145.9458559,40.56295492
2365,-147.6886493,39.68033853
2366,-157.7751594,38.06470175
2367,-164.3835627,32.12574062
2368,-162.0349055,35.02042319
2369,-156.6382298,37.30924196
2370,-175.7752979,35.21489798
2371,-165.4718735,41.29223541
2372,-183.17282,29.95659865
2373,-188.0571294,25.0797691
2374,-168.4189147,25.81652939
2375,-179.9527662,22.43191993
2376,-202.6277796,21.16035395
2377,-207.2166368,17.2371989
2378,-207.9346976,20.89108115
2379,-203.9367446,14.24153903
2380,-208.9257711,11.86296266
2381,-221.5928123,13.90868794
2382,-213.4996688,16.5004386
2383,-226.7052555,15.16529432
2384,-201.2514964,24.9563524
2385,-184.8856942,34.69879179
2386,-170.2664253,38.31901495
2387,-156.6718889,45.13311267
2388,-152.1166908,39.29886873
2389,-150.7815465,48.25966903
2390,-151.6305038,48.21479023
2391,-161.1373295,50.9336975
2392,-145.79252,48.36064633
2393,-154.2970525,40.91076562
2394,-148.1561367,54.22480946
2395,-161.5935973,40.71629082
2396,-179.7321121,35.51782988
2397,-180.9438397,39.19041164
2398,-155.1647093,34.87456709
2399,-180.1659405,35.91799917
2400,-197.3358212,29.96781834
2401,-217.1834702,35.13262018
2402,-191.060269,26.83752208
2403,-187.3091494,23.25095802
2404,-207.6355056,16.14140821
2405,-228.1974756,14.37243553
2406,-223.4627623,11.87792226
2407,-205.2382298,15.53554442
2408,-192.9339589,31.19450553
2409,-194.1606461,37.63087335
2410,-159.5665715,38.71918424
2411,-153.193782,35.53278948
2412,-170.2178066,34.39585989
2413,-174.5448708,37.55981525
2414,-166.9827931,35.49539048
2415,-166.6013233,37.71315115
2416,-170.8311502,40.08050783
2417,-166.1039166,43.06494799
2418,-164.1367293,40.37595992
2419,-172.3233703,37.72437085
2420,-169.8138974,38.38633315
2421,-174.2307192,36.43036547
2422,-186.9613387,34.0592689
2423,-183.023224,31.28800303
2424,-178.1912733,34.44073869
2425,-186.2058789,26.06336279
2426,-204.2695957,22.03923044
2427,-204.2396765,24.00641782
2428,-209.1501651,17.2259792
2429,-214.95075,25.7379915
2430,-196.6850786,27.89217387
2431,-182.05085,28.25868407
2432,-179.6124353,24.85911501
2433,-182.3837011,25.04611
2434,-169.1519351,32.97843781
2435,-163.6206231,35.67116578
2436,-173.3630624,33.4683647
2437,-168.6358289,32.54460941
2438,-166.6162829,33.8984532
2439,-172.6824007,30.95141203
2440,-180.8428624,28.87576756
2441,-167.7382529,33.27762981
2442,-160.1350363,26.94597918
2443,-170.3599228,25.3191227
2444,-161.7955519,25.74547129
2445,-161.1223699,30.25579064
2446,-160.8119582,30.90279333
2447,-168.8677027,25.76791069
2448,-161.1373295,26.34759519
2449,-174.0848631,22.83956903
2450,-165.864563,29.80700265
2451,-167.697114,22.61891493
2452,-167.9140282,28.43819926
2453,-156.6344899,25.5883955
2454,-158.2052479,25.3116429
2455,-150.7703268,22.42818003
2456,-162.9437012,26.88988068
2457,-169.4698266,29.29837625
2458,-140.1639705,34.22382449
2459,-150.3439782,36.63605997
2460,-142.4976681,41.52410921
2461,-133.5630471,44.29911498
2462,-135.8705654,47.42193144
2463,-133.3124738,46.16532505
2464,-128.1663715,49.45643701
2465,-123.3942591,43.33422079
2466,-132.0072487,41.8083416
2467,-134.6064792,45.36498646
2468,-123.2184838,45.52580216
2469,-133.8697189,32.38753362
2470,-141.5103345,34.29862249
2471,-139.3075334,36.23963057
2472,-146.6788763,39.04455554
2473,-140.3098266,36.22467097
2474,-143.5635396,28.90194686
2475,-161.4701806,35.81702188
2476,-165.2624391,29.85188145
2477,-149.8091725,27.76875717
2478,-147.8494649,33.9321123
2479,-164.4508809,26.46727199
2480,-168.2917581,25.89506729
2481,-172.3046708,29.78830315
2482,-159.9517812,25.2630242
2483,-173.864209,26.86370138
2484,-201.5619081,29.03284336
2485,-187.7878566,26.49719119
2486,-187.0398766,17.1511812
2487,-188.8125892,18.80421698
2488,-188.333882,16.20872641
2489,-204.4865099,5.486433235
2490,-214.3299266,10.06033088
2491,-245.6740281,-2.718907268
2492,-264.0481566,-16.20872641
2493,-256.8301497,1.533358982
2494,-213.7352825,12.10605616
2495,-192.1597996,15.71505961
2496,-179.5189378,24.06251631
2497,-173.1573679,26.54954979
2498,-178.0940359,26.11946129
2499,-182.4024006,28.48681796
2500,-191.9129662,31.38898033
2501,-195.4658712,23.71470562
2502,-185.9440859,25.1732666
2503,-191.2771832,29.88180065
2504,-168.3403768,37.39525966
2505,-177.5442706,28.92438626
2506,-184.4743052,33.09437471
2507,-173.7819312,26.83752208
2508,-181.0485569,40.51059632
2509,-164.9183683,27.36858788
2510,-176.7925507,29.10764136
2511,-177.4844322,28.59153516
2512,-171.8259636,30.87287413
2513,-165.0717042,33.26267021
2514,-146.1814696,38.34145435
2515,-148.6198843,38.12828005
2516,-149.715675,37.70941125
2517,-145.5606462,46.89834544
2518,-132.7514888,44.12707958
2519,-139.2476951,42.72835699
2520,-146.8247324,54.72595605
2521,-147.6362907,44.77782217
2522,-138.5670333,36.66597917
2523,-149.453882,34.66139279
2524,-160.258453,42.5600615
2525,-151.1817158,35.37197378
2526,-151.1667562,42.1337129
2527,-160.9615542,36.33686797
2528,-151.4397689,37.25314346
2529,-161.2009078,33.15421311
2530,-182.4397996,45.88483256
2531,-163.1119967,34.76984989
2532,-159.024286,30.77189684
2533,-164.2863253,26.05588299
2534,-173.5201382,20.69286645
2535,-172.5515042,20.13188146
2536,-185.753351,18.72567908
2537,-185.5364368,25.1620469
2538,-190.0766753,21.14913425
2539,-198.9514579,18.83039628
2540,-212.1121659,8.291358202
2541,-230.2731201,14.00592533
2542,-249.7467791,2.49077337
2543,-269.9609384,-1.245386685
2544,-229.3269254,14.44723353
2545,-189.1977989,28.58405536
2546,-173.6323352,30.10993454
2547,-168.2992379,38.24421695
2548,-163.2017543,24.36544821
2549,-184.9230932,23.24721812
2550,-189.1117812,22.76851093
2551,-176.7962906,34.41081949
2552,-174.9824391,30.19221234
2553,-194.0933279,23.67356672
2554,-182.6978527,30.67091954
2555,-182.2976834,34.79976909
2556,-186.3330355,27.16289338
2557,-182.8324891,30.66717964
2558,-179.0925892,31.54605613
2559,-179.2160059,29.17495955
2560,-176.6878335,26.33263559
2561,-172.0877566,24.32804921
2562,-174.2269793,28.29982296
2563,-181.0148978,22.20752594
2564,-176.5606769,33.9994305
2565,-181.7292186,24.50756441
2566,-189.1043014,24.69081951
2567,-173.2059866,25.4163601
2568,-177.3535357,30.88783373
2569,-193.3565676,31.26930353
2570,-187.0473564,24.58984221
2571,-171.8184838,27.61542127
2572,-175.7416388,28.67007306
2573,-183.6515272,26.21295879
2574,-182.5332971,24.39162751
2575,-175.7752979,31.87142742
2576,-183.8310424,23.46413232
2577,-176.1717273,35.06156208
2578,-169.1107962,34.130327
2579,-176.3101036,28.84210846
2580,-178.8569755,31.20946513
2581,-184.2835703,31.01125043
2582,-180.5025315,29.56764905
2583,-177.2413387,33.5955213
2584,-180.3978143,22.54411693
2585,-180.2482183,26.87492108
2586,-185.0913887,25.681893
2587,-183.322416,28.37088106
2588,-192.7544437,27.25639088
2589,-164.4060021,31.34784143
2590,-159.9555211,28.00811077
2591,-164.6341359,25.3901808
2592,-166.7284799,27.78745667
2593,-187.0772756,29.12260095
2594,-202.0817542,29.66114655
2595,-171.2200998,28.52421696
2596,-161.7805923,26.94597918
2597,-162.2929586,35.58514808
2598,-165.5840705,29.30959595
2599,-186.1460405,28.59153516
2600,-167.2034472,30.09497494
2601,-160.4043091,40.60783372
2602,-147.5988917,40.58165442
2603,-149.1621698,45.24530966
2604,-147.7073487,45.00595607
2605,-141.7422083,43.04624849
2606,-141.2335819,40.15904572
2607,-144.5920121,41.15759901
2608,-138.0397074,46.22142355
2609,-138.8998844,36.38548667
2610,-141.3457789,40.65645242
2611,-142.7856404,38.10584065
2612,-133.1404384,34.32106189
2613,-141.9684723,44.71611382
2614,-152.3092956,31.31231238
2615,-145.8804076,36.95582141
2616,-149.6203076,25.61270485
2617,-153.2180913,31.21133508
2618,-149.2163984,32.98030776
2619,-155.0730817,31.31605228
2620,-169.3707192,25.10033855
2621,-163.9628239,35.66929583
2622,-171.3566061,29.270327
2623,-175.0553672,26.86557133
2624,-169.3931586,25.54164675
2625,-184.2517812,26.45418234
2626,-183.6197381,21.1397845
2627,-191.77272,21.4614159
2628,-192.9171294,16.94361675
2629,-204.3051247,14.95398997
2630,-215.921254,7.403131962
2631,-232.8480412,0.981723738
2632,-275.4903805,-13.43185069
2633,-250.7920812,0.581554443
2634,-212.2299727,14.33690648
2635,-194.7048015,26.81321273
2636,-169.3221005,26.91045013
2637,-157.2010848,36.00962672
2638,-167.9719967,32.43802227
2639,-189.4240628,31.80223927
2640,-192.8759905,21.4165371
2641,-175.7809078,28.63828391
2642,-184.9623622,31.52548668
2643,-175.5265946,32.01541357
