, EXG Channel 1, EXG Channel 3
12200,1107.490964,-93.40213144
12201,1215.611472,-103.7074258
12202,1137.16707,-12.9755829
12203,1380.124061,-256.5702266
12204,1425.75832,-199.0318658
12205,1537.465392,-289.9039549
12206,1453.269024,-284.8756594
12207,1524.300944,-368.8457632
12208,1766.30239,-147.5633626
12209,1728.652818,-193.8371448
12210,1628.098128,-83.12862627
12211,1722.560521,-100.7903038
12212,1642.089093,-10.79522122
12213,1403.311441,-247.5159288
12214,1444.81685,-193.1864022
12215,1534.724045,-295.2931508
12216,1426.13605,-291.8580526
12217,1502.534726,-376.4265404
12218,1730.287154,-149.4146131
12219,1710.99675,-193.6987685
12220,1600.905315,-88.7683954
12221,1699.290863,-102.5854558
12222,1644.710763,-7.481669861
12223,1888.213779,-243.3870793
12224,1907.163852,-205.4757134
12225,2023.010993,-293.0080719
12226,1914.142506,-292.9201842
12227,1999.445884,-386.0941818
12228,2237.610193,-150.1850325
12229,2221.491224,-201.7507731
12230,2095.557573,-103.1819698
12231,2212.193833,-112.1782992
12232,2145.73581,-13.54030779
12233,2370.718842,-257.4678026
12234,2410.358042,-201.7956519
12235,2536.160796,-300.2634778
12236,2406.947253,-299.7866405
12237,2502.049169,-377.713066
12238,2258.65461,-145.1361675
12239,2216.636834,-191.9335357
12240,2108.942675,-92.94960355
12241,2202.103583,-105.4838783
12242,2148.091947,-3.016229314
12243,2385.547545,-244.5801074
12244,2406.378788,-198.0781913
12245,2512.356333,-287.2561057
12246,2408.136541,-295.5212846
12247,2482.074363,-392.6558362
12248,2725.740065,-161.7282337
12249,2698.143343,-196.7000382
12250,2591.803028,-100.9099806
12251,2726.645121,-84.409542
12252,2690.0315,20.31700651
12253,2884.81484,256.0821697
12254,2946.339934,303.9977679
12255,3042.526421,203.2074641
12256,2937.308075,205.3822159
12257,2992.707213,110.0203769
12258,2766.777987,350.5146435
12259,2741.859034,298.0700265
12260,2584.23347,390.0640856
12261,2713.491893,387.8033161
12262,2666.511269,481.6280562
12263,-1047.280445,-247.5963367
12264,-1018.640291,-195.0208231
12265,-876.1538424,-288.8848322
12266,-1003.112226,-291.9440703
12267,-956.879583,-384.2765904
12268,-1182.913526,-626.567879
12269,-1196.22383,-672.9014995
12270,-1342.543676,-582.3585216
12271,-1213.689163,-591.1828155
12272,-1290.016781,-494.7625848
12273,-1069.854481,-258.8852247
12274,-1017.110672,-201.5562983
12275,-917.7639693,-307.1860326
12276,-1026.688556,-295.8634855
12277,-943.270087,-383.3677947
12278,-712.3574441,-155.4582914
12279,-698.6189216,-185.4074103
12280,-865.7587905,-103.0585531
12281,-722.3261474,-101.4765754
12282,-789.3227152,-5.164801839
12283,-1028.680052,-245.6665483
12284,-1036.59929,-211.9363906
12285,-882.3770359,-288.0433547
12286,-1011.785054,-293.3315732
12287,-957.5116261,-387.6125812
12288,-1197.813288,-154.4522583
12289,-1208.976889,-196.2493802
12290,-1341.803176,-107.4155366
