, EXG Channel 1, EXG Channel 3
12200,-522.2882485,-114.4745977
12201,-520.0069095,-117.9489648
12202,-518.6680254,-117.829288
12203,-518.6044471,-118.9774373
12204,-513.5368826,-102.1329279
12205,-513.7799761,-108.3860406
12206,-518.9185987,-123.4690571
12207,-510.9077329,-116.4941437
12208,-512.0820615,-114.0220698
12209,-518.7390835,-110.6636397
12210,-517.0299492,-109.9156597
12211,-513.7949357,-92.16609451
12212,-516.7606764,-120.5407155
12213,-523.4363978,-114.4184992
12214,-519.1392527,-109.7099652
12215,-531.1480715,-107.6904192
12216,-530.0896798,-106.4861714
12217,-516.2183909,-96.01071166
12218,-516.9476714,-117.5712349
12219,-515.8556206,-117.1897651
12220,-515.2198376,-114.8149286
12221,-514.4681177,-119.2392303
12222,-518.5221693,-117.7657097
12223,-519.2626694,-112.6981453
12224,-512.848741,-106.5647093
12225,-511.1134274,-136.8803384
12226,-515.9752974,-118.7754827
12227,-516.6559592,-120.3088417
12228,-513.1628926,-114.2838628
12229,-515.8481408,-119.1083338
12230,-517.6283332,-104.7171988
12231,-519.801215,-125.3016081
12232,-521.0316421,-120.3873796
12233,-519.9545509,-113.868734
12234,-513.5294028,-119.0559752
12235,-513.1067941,-110.5963215
12236,-526.4544971,-95.55070397
12237,-523.4363978,-113.7340976
12238,-523.2905417,-119.5085031
12239,-533.6874636,-116.1949517
12240,-525.6990373,-116.8008155
12241,-527.3632928,-115.7686031
12242,-529.6820307,-113.5284031
12243,-530.1158591,-102.0244708
12244,-531.2714882,-120.7239706
12245,-524.3975521,-123.8355673
12246,-527.2922347,-116.4679644
12247,-537.6480176,-118.8054019
12248,-532.4794759,-115.1552595
12249,-523.6607918,-98.43790673
12250,-524.4798299,-120.6117736
12251,-515.8705802,-120.8062484
12252,-519.7301569,-120.0021699
12253,-522.3106879,-111.5686955
12254,-520.2986217,-111.5612157
12255,-517.4525579,-98.34440923
12256,-522.1648318,-100.3153365
12257,-523.4064786,-122.2535897
12258,-526.1627849,-114.575575
12259,-523.3728195,-111.2994227
12260,-521.6113266,-112.0324431
12261,-523.5934736,-118.1733588
12262,-524.2965748,-98.87921493
12263,-530.6188757,-127.0444015
12264,-518.7708726,-121.8048017
12265,-527.4437006,-117.4889571
12266,-536.1838468,-117.5338359
12267,-523.9356744,-114.0557289
12268,-519.1897414,-101.269011
12269,-517.1701954,-123.8767062
12270,-514.3278715,-123.8617466
12271,-525.3867556,-113.6293804
12272,-522.1143432,-116.7409771
12273,-516.5680715,-119.1457328
12274,-517.7311804,-102.9482261
12275,-514.1520962,-103.55035
12276,-523.6327425,-121.1241399
12277,-517.4918268,-115.3385146
12278,-519.8479638,-116.4717043
12279,-524.5153589,-115.211358
12280,-520.6146433,-112.0324431
12281,-518.3707033,-98.77075783
12282,-528.4721731,-121.3784531
12283,-521.8712497,-109.2910964
12284,-519.8853628,-111.4228394
12285,-525.7196067,-108.0419698
12286,-525.4316344,-109.1751595
12287,-521.9871866,-100.9772988
12288,-524.7808918,-117.9115658
12289,-515.9210688,-124.445171
12290,-523.6477021,-120.1929048
12291,-513.4302955,-118.3005154
12292,-522.4733736,-116.0939744
12293,-521.4673405,-111.2919429
12294,-513.0862247,-98.42668703
12295,-517.8284178,-125.60454
12296,-524.7584524,-115.5329894
12297,-521.9161285,-108.8497882
12298,-521.4710804,-111.5425162
12299,-511.8333582,-115.8695804
12300,-509.8549511,-97.68244694
12301,-513.0114267,-121.9768371
12302,-509.596898,-112.1969987
12303,-515.1955282,-109.1115812
12304,-515.203008,-107.436106
12305,-516.99816,-112.3503346
12306,-516.6877483,-103.1539206
12307,-517.3758899,-108.4010002
12308,-519.2757591,-127.6876643
12309,-532.0101184,-116.4156058
12310,-521.6992143,-118.6371064
12311,-518.0789911,-115.0430625
12312,-520.2855321,-115.1515196
12313,-511.4631081,-95.40110797
12314,-519.3580369,-122.8108347
12315,-520.7455398,-116.8382145
12316,-519.9302416,-115.8658405
12317,-521.4187218,-112.4961907
12318,-518.568918,-112.2755366
12319,-512.6411766,-101.4522661
12320,-524.997806,-119.3327278
12321,-521.8562901,-117.0289494
12322,-516.2464401,-115.3272949
12323,-526.1048164,-111.7145516
12324,-523.019399,-111.7669102
12325,-524.0142123,-100.1208617
12326,-532.1522346,-94.31653698
12327,-532.9862323,-115.1066408
12328,-527.5259784,-111.7968294
12329,-528.7975444,-100.0498036
12330,-527.578337,-104.447926
12331,-517.8732966,-103.9505193
12332,-518.5240392,-93.97620609
12333,-512.4093028,-103.1688802
12334,-510.7824463,-101.8935743
12335,-518.5913574,-114.8111887
12336,-522.9296414,-126.0832472
12337,-519.0251858,-113.2441707
12338,-519.877883,-103.1688802
12339,-524.1039699,-119.7328971
12340,-523.6925809,-119.5683415
12341,-531.7857244,-113.120754
12342,-524.5415382,-113.2965293
12343,-525.8991219,-111.5238167
12344,-521.7403532,-102.6041553
12345,-526.0674174,-87.15836847
12346,-524.3283639,-125.3651864
12347,-520.5847241,-112.559769
12348,-523.7598991,-108.1878259
12349,-528.9920192,-110.3382684
12350,-525.035205,-109.1041014
12351,-522.308818,-101.0408771
12352,-522.0806841,-117.8068486
12353,-518.8568903,-120.3985993
12354,-524.0852704,-120.6117736
12355,-525.6822077,-118.951258
12356,-517.4132889,-119.2654096
12357,-511.0105802,-114.2950825
12358,-511.5827849,-114.6354134
12359,-515.0197529,-130.2532357
12360,-514.0361593,-124.6433857
12361,-519.1598222,-120.671612
12362,-519.2869788,-120.6790918
12363,-523.6439622,-115.6264869
12364,-532.5337044,-94.14450158
12365,-529.4894259,-125.2716889
12366,-529.9382139,-115.0281029
12367,-538.9551127,-109.0741822
12368,-539.8900877,-105.4689187
12369,-526.867756,-112.0137436
12370,-528.4235544,-96.58291636
12371,-527.6007764,-106.3590148
12372,-527.3726425,-108.6852326
12373,-527.5858168,-109.8633011
12374,-529.5904032,-109.6613465
12375,-523.9169749,-110.3868871
12376,-520.7455398,-102.5817159
12377,-518.6324963,-103.0230241
12378,-519.4889334,-125.0285954
12379,-517.8770365,-115.3310348
12380,-517.5030465,-117.9003461
12381,-519.4814536,-120.709011
12382,-514.832758,-117.1074873
12383,-512.8805302,-96.96438615
12384,-513.3704571,-126.0383684
12385,-515.9734274,-112.4363523
12386,-520.476267,-114.9832241
12387,-525.59619,-109.5865485
12388,-529.298691,-105.2781838
12389,-521.6094567,-91.18624072
12390,-523.9955128,-102.241385
12391,-523.7374597,-109.2162984
12392,-527.2155667,-106.1495804
12393,-526.231973,-105.4651788
12394,-526.4601069,-112.4064331
12395,-520.0798376,-110.166233
12396,-522.3985756,-94.03978439
12397,-513.5537122,-125.903732
12398,-513.7668865,-120.7912888
12399,-514.6644625,-112.5373296
12400,-513.7818461,-121.1465793
12401,-512.3906033,-115.9555981
12402,-516.6914882,-106.1794996
12403,-514.9262554,-118.4613311
12404,-521.3775829,-109.3359752
12405,-514.533566,-107.7876566
12406,-511.6800223,-105.8242091
12407,-513.9763209,-107.361308
12408,-511.3583909,-97.64130804
12409,-518.3669634,-98.49026533
12410,-518.9092489,-119.6020006
12411,-513.2582601,-108.9582453
12412,-518.0116729,-107.28651
12413,-521.9123886,-108.5281568
12414,-519.4216152,-103.4979914
12415,-515.6218768,-89.36864934
12416,-514.5672251,-117.0401691
12417,-515.1095105,-109.3883338
12418,-507.801746,-105.5212772
12419,-515.3339045,-106.2505577
12420,-509.6268172,-105.9663253
12421,-511.5453859,-90.75241232
12422,-510.8048857,-113.4648248
12423,-508.02614,-119.362647
12424,-508.8900569,-111.3779606
12425,-516.5942508,-110.65242
12426,-515.9996067,-115.3796535
12427,-511.9044163,-111.0862484
12428,-516.2427002,-102.7537513
12429,-516.7288872,-125.5447016
12430,-518.0565517,-111.1423469
12431,-519.2159207,-108.333682
12432,-514.1782755,-104.709719
12433,-523.4756667,-100.1620006
12434,-514.2904725,-87.58097716
12435,-518.456721,-105.3193227
12436,-520.9400146,-96.06681016
12437,-524.0478714,-106.0448632
12438,-519.7806456,-100.5546901
12439,-517.5928041,-107.4286262
12440,-522.1741816,-91.90430151
12441,-513.1086641,-106.0112041
12442,-515.464801,-118.0798613
12443,-509.970888,-106.6544669
12444,-511.1564363,-108.5131972
12445,-512.0353128,-105.9064869
12446,-501.8740046,-104.7284185
12447,-507.0014074,-91.36949582
12448,-506.3955437,-116.7596766
12449,-500.2359284,-108.5094573
12450,-499.8881177,-101.1044554
12451,-500.9203301,-107.5221237
12452,-500.0713728,-104.9079337
12453,-502.8650781,-81.86267013
12454,-508.5796452,-104.0776759
12455,-510.7861862,-98.99889173
12456,-512.6561362,-97.37203525
12457,-512.8767903,-94.66808758
12458,-529.0855167,-111.1610464
12459,-520.4351281,-92.16235461
