, EXG Channel 1, EXG Channel 3
72200,-284.5409384,-185.7122121
72201,-421.1370444,-7.526548661
72202,-553.3125886,-196.6158904
72203,-540.3201761,-258.0231777
72204,-546.9360592,-336.3591222
72205,-577.8650318,-238.5289492
72206,-421.8326658,-404.0363518
72207,-328.0584143,-214.9320505
72208,-318.6432161,-152.8104422
72209,-308.1153977,-85.03971514
72210,-309.2766367,-183.7674641
72211,-414.120992,-3.984863403
72212,-554.7487102,-197.8911963
72213,-544.213412,-260.5812693
72214,-546.9622385,-331.3102573
72215,-566.5256551,-235.3388146
72216,-423.8596915,-405.9137816
72217,-312.9903573,-215.9455633
72218,-313.5513423,-159.3777066
72219,-310.8997533,-75.77972285
72220,-289.563624,-177.342316
72221,-409.1020463,-2.077514425
72222,-540.7540045,-200.9653941
72223,-526.1085563,-259.6051554
72224,-536.9954051,-327.8583296
72225,-564.9922962,-231.5428161
72226,-427.3078793,-407.3686027
72227,-320.630973,-217.2732278
72228,-320.4495878,-146.8827008
72229,-321.788472,-74.28376287
72230,-315.8270715,-187.1184145
72231,-438.2190374,-6.939384368
72232,-582.1154281,-196.6495495
72233,-562.9297413,-258.1054555
72234,-558.9093489,-338.1056555
72235,-586.5659091,-233.9587915
72236,-435.7581832,-408.8047243
72237,-324.593397,-216.8393994
72238,-330.4463404,-154.2129047
72239,-325.9846397,-72.82520189
72240,-315.172589,-184.4406461
72241,-430.3540278,-5.275128888
72242,-561.4936197,-199.8209847
72243,-577.0160745,-256.519738
72244,-568.4404839,-325.5732507
72245,-586.2611072,-233.7119581
72246,-447.0732506,-403.5726042
72247,-341.2527813,-225.4224698
72248,-329.4403073,-159.886333
72249,-339.4034008,-82.99398987
72250,-317.7157209,-181.3851479
72251,-439.6065403,-3.786648705
72252,-582.8596682,-196.5597919
72253,-568.3488564,-251.5643705
72254,-538.2763208,-325.861223
72255,-580.7279252,-236.1054941
72256,-449.038568,-404.4253014
72257,-328.3632161,-219.8799381
72258,-332.3088106,-155.9669178
72259,-334.0179448,-84.52360895
72260,-321.3920426,-185.7720505
72261,-441.1211998,-8.005255855
72262,-564.2312265,-208.407795
72263,-552.3757437,-255.5511039
72264,-553.5014535,-328.1724812
72265,-574.6356282,-245.9339511
72266,-434.6249936,-408.8570829
72267,-337.226779,-223.4889416
72268,-321.1620387,-156.8083953
72269,-329.6478717,-79.9497113
72270,-311.6327737,-187.2044322
72271,-421.9186835,-3.835267405
72272,-553.2564901,-197.8687569
72273,-554.1334966,-261.452666
72274,-528.1860707,-325.5321118
72275,-550.6927887,-234.2953825
72276,-441.7046242,-391.806879
72277,-333.486879,-211.2370293
72278,-305.936906,-148.221585
72279,-334.5882796,-84.68816455
72280,-335.1361749,-186.2357981
72281,-400.0271791,-3.248103112
72282,-543.8001531,-204.7688723
72283,-562.9839699,-265.2262251
72284,-531.4491335,-327.5666174
72285,-552.7216844,-236.666479
72286,-456.7595914,-401.9681871
72287,-318.948018,-219.0908192
72288,-307.7601073,-150.4094265
72289,-316.515213,-80.99314339
72290,-303.9603689,-186.1796996
72291,-417.5523503,-3.128426313
72292,-564.0404916,-204.2078873
72293,-557.5255859,-263.0832624
72294,-547.4802146,-330.124709
72295,-557.9182754,-234.3776603
72296,-420.8584218,-403.9428543
72297,-313.8673639,-222.9616157
72298,-327.09539,-158.3716735
72299,-330.8764289,-83.68213146
72300,-326.7662788,-186.2731971
72301,-405.2892183,-5.686517883
72302,-554.0848779,-208.7892648
72303,-568.0290949,-267.4402458
72304,-523.8159976,-331.0035855
72305,-553.7688564,-233.9438319
72306,-437.2747127,-414.8633622
72307,-325.8892723,-223.7208153
72308,-317.9027159,-161.6627854
72309,-326.8934354,-78.24431692
72310,-309.5889183,-180.857822
72311,-425.2902033,-0.271142747
72312,-582.3622615,-204.1555287
72313,-547.3306186,-259.6275948
72314,-537.2179291,-331.2803381
72315,-575.2377521,-237.4181989
72316,-461.0773059,-404.889049
72317,-314.2974524,-206.9511039
72318,-339.6801534,-160.4248785
72319,-351.2663634,-83.47269706
72320,-314.4881873,-180.8316427
72321,-421.9392529,0.645132742
72322,-547.0052473,-203.2055941
72323,-537.6442777,-255.1546745
72324,-527.4343509,-332.0769368
72325,-524.9192681,-232.8256018
72326,-443.7335199,-407.3985219
72327,-337.0715732,-212.3963983
72328,-315.1389299,-150.3757674
72329,-355.5971676,-76.80445544
72330,-328.9242011,-181.4636858
72331,-429.52377,-3.932504803
72332,-568.9397606,-203.3402305
72333,-576.9898952,-267.7132585
72334,-526.3179907,-317.2594531
72335,-591.6951818,-236.8684336
72336,-449.1301955,-407.0432314
72337,-310.4210461,-214.7226161
72338,-340.4113038,-151.1274873
72339,-328.2080103,-90.20451698
72340,-293.7336125,-188.03469
72341,-441.5269789,-3.39021931
72342,-578.1679637,-209.2567523
72343,-551.9662246,-262.8177295
72344,-516.5194528,-330.6034162
72345,-556.4915036,-240.9150054
72346,-469.5650089,-410.981346
72347,-346.0323735,-213.4099112
72348,-303.0814924,-151.9053865
72349,-300.740315,-88.07277401
72350,-308.4201996,-188.1020082
72351,-434.4660478,1.969057327
72352,-538.8167364,-206.5415849
72353,-554.1073173,-259.8594686
72354,-568.5620307,-325.4236547
72355,-541.0195374,-233.827895
72356,-459.467279,-411.5759901
72357,-288.5837702,-222.1425776
72358,-320.6459326,-155.4844707
72359,-325.6873177,-85.76525573
