, EXG Channel 1, EXG Channel 3
72200,-706.4951509,-230.463855
72201,-703.1030616,-232.8125121
72202,-698.2972902,-220.9420697
72203,-694.3741351,-219.1132586
72204,-702.04093,-230.3628777
72205,-706.4614918,-230.987441
72206,-701.442546,-226.9894879
72207,-697.8746815,-229.379284
72208,-693.9029077,-219.4535895
72209,-697.2164591,-214.8684722
72210,-698.0317573,-229.5176603
72211,-693.5812763,-225.6244244
72212,-691.8459628,-228.3358519
72213,-696.7527115,-230.3441782
72214,-697.8485022,-239.024486
72215,-685.6639081,-221.4394764
72216,-703.8772209,-230.3217388
72217,-705.5489562,-228.0815387
72218,-710.3622074,-216.8954979
72219,-721.1966976,-223.4926815
72220,-722.8385137,-216.4504498
72221,-752.4398218,-215.0143283
72222,-709.6478865,-213.9334972
72223,-695.2604914,-233.0930046
72224,-701.0984752,-220.4895418
72225,-696.3675018,-221.8620851
72226,-704.2923498,-226.649157
72227,-702.1045083,-223.8928507
72228,-697.220199,-223.0438935
72229,-689.4673864,-230.7780066
72230,-685.9743198,-232.1019312
72231,-688.2369593,-233.5679719
72232,-683.2105338,-232.7190146
72233,-684.6354356,-234.7049015
72234,-683.7004606,-235.8380912
72235,-685.8434233,-233.5717118
72236,-694.4451932,-236.2083413
72237,-697.6951663,-230.6171909
72238,-700.0812225,-220.0145745
72239,-699.7857704,-223.4590224
72240,-702.8375287,-230.4900343
72241,-699.3856011,-225.9086568
72242,-697.6091486,-224.6333509
72243,-704.172673,-239.8697034
72244,-706.3455549,-230.8677642
72245,-702.6131347,-227.4794148
72246,-700.0961821,-226.4023236
72247,-695.2230924,-224.3939973
72248,-693.6336349,-225.7216618
72249,-695.0398373,-231.1669562
72250,-698.3945276,-235.6922351
72251,-694.7630847,-232.2777064
72252,-695.1034156,-234.9517349
72253,-693.854289,-233.3959365
72254,-686.0191986,-230.9724814
72255,-690.4435003,-239.136683
72256,-695.8102567,-239.8659635
72257,-699.6847931,-233.564232
72258,-705.1637465,-230.6358904
72259,-702.265324,-228.8968369
72260,-702.0521497,-222.0976988
72261,-702.6056549,-223.8554517
72262,-701.7641774,-221.5404537
72263,-703.8024229,-222.4679489
72264,-702.2765437,-219.1543975
72265,-706.2333579,-224.8577449
72266,-704.4232463,-219.7976603
72267,-706.9925576,-227.9244629
72268,-699.0415303,-229.5326199
72269,-699.725932,-234.4431085
72270,-696.3338427,-233.1977218
72271,-696.1206684,-237.9062559
72272,-687.7358127,-235.4790608
72273,-681.4677404,-241.7845321
72274,-679.5678712,-251.1268022
72275,-683.0197989,-243.2318734
72276,-683.3376904,-238.8038319
72277,-684.8224306,-237.6818619
72278,-688.5660705,-236.2382605
72279,-691.1840005,-236.4402151
72280,-690.4135811,-233.040646
72281,-692.4967053,-234.1588761
72282,-693.5251778,-230.6284106
72283,-695.4699258,-234.4767676
72284,-692.545324,-230.4189762
72285,-689.1644545,-234.7871793
72286,-695.8813148,-230.6807692
72287,-694.0487638,-236.3392378
72288,-696.1318881,-239.6415695
72289,-690.7576519,-239.0057865
72290,-685.4357742,-245.3000381
72291,-692.8258165,-244.8475102
72292,-685.5517111,-241.937868
72293,-687.7358127,-247.3719427
72294,-686.9130347,-245.3299573
72295,-685.1926807,-232.9396687
72296,-696.3675018,-230.0113271
72297,-699.5538966,-226.611758
72298,-693.7196526,-220.8448323
72299,-694.3068169,-228.0927584
72300,-693.2446853,-226.1592301
72301,-693.7533117,-216.8992378
72302,-697.1977596,-221.7872871
72303,-702.7066322,-224.1658634
72304,-690.5220382,-218.8103267
72305,-697.6951663,-218.799107
72306,-702.2428846,-223.3767446
72307,-697.7849239,-226.91095
72308,-693.9777057,-222.7073025
72309,-695.2081328,-233.5417926
72310,-690.8698489,-237.7641397
72311,-682.193281,-226.9894879
72312,-684.5381982,-227.7898265
72313,-692.7472786,-233.0256864
72314,-673.1913418,-229.8804306
72315,-676.6806684,-232.7601535
72316,-679.5903106,-229.5400997
72317,-682.6271094,-222.0416003
72318,-681.4527808,-218.4774756
72319,-682.2942583,-218.9823621
72320,-677.0247392,-220.1342513
72321,-676.9013225,-222.2921736
72322,-672.7687331,-223.7507345
72323,-670.7978058,-215.175144
72324,-671.9459551,-215.769788
72325,-676.1458627,-216.6972832
72326,-672.5667785,-215.4257172
72327,-675.8130116,-218.4961751
72328,-670.7865861,-209.9542436
72329,-670.0498258,-208.4470639
72330,-664.4923345,-207.1642782
72331,-663.0262937,-206.8314271
72332,-665.894797,-211.0762136
72333,-665.4946277,-210.1524583
72334,-663.7929732,-208.2039704
72335,-662.9664553,-203.2934818
72336,-664.0098874,-208.069334
72337,-665.595605,-205.6458789
72338,-657.1658705,-197.00671
72339,-658.938583,-199.7929354
72340,-660.1503106,-193.154613
72341,-657.6483176,-193.6370601
72342,-659.1031386,-200.3427007
72343,-646.8063476,-194.0222698
72344,-638.0362822,-189.2725969
72345,-644.9513572,-198.1099805
72346,-640.0670479,-193.6333202
72347,-643.6386523,-193.6931586
72348,-634.3076019,-187.959892
72349,-624.9092333,-187.7990763
72350,-628.5219767,-191.6848323
72351,-633.0135966,-198.0464022
72352,-622.1043084,-187.9524122
72353,-632.3516343,-193.3864868
72354,-627.8338351,-193.5061636
72355,-631.4054396,-190.9331124
72356,-620.8963207,-183.1017619
72357,-629.595328,-192.406633
72358,-628.4583984,-183.5954287
72359,-629.2325577,-182.3986607
72360,-629.0156435,-187.885094
72361,-628.0844084,-190.4693648
72362,-620.9075404,-174.1895803
72363,-618.4803453,-179.8218697
72364,-607.1634081,-175.4200074
72365,-607.1073096,-171.1827008
72366,-605.4804531,-173.3331432
72367,-606.194774,-177.9257404
72368,-599.1749818,-176.3213233
72369,-606.8978752,-184.0928354
72370,-612.0776366,-190.1477334
72371,-616.0045316,-189.5530894
72372,-613.3679021,-195.2751363
72373,-623.9368594,-199.3553671
72374,-623.989218,-195.9557981
72375,-635.8708801,-199.4675641
72376,-638.6683253,-200.7840089
72377,-650.9464168,-196.7935357
72378,-654.4207839,-198.0314426
72379,-661.556513,-196.4980836
72380,-662.379291,-197.1824853
72381,-676.0935041,-202.837214
72382,-677.6380828,-206.5322352
72383,-678.1803683,-213.3500728
72384,-682.118483,-217.3667253
72385,-682.2867785,-223.3804845
72386,-685.7461859,-219.8500189
72387,-695.2492717,-236.3467176
72388,-686.7447392,-241.1412693
72389,-682.2531194,-238.5158596
72390,-687.5301182,-244.667995
72391,-691.5654703,-246.7585991
72392,-694.0973825,-238.4148823
72393,-697.5156511,-240.6363828
72394,-696.9471863,-232.2627468
72395,-697.3959743,-229.0090339
72396,-697.6128885,-226.3985837
72397,-703.0170439,-221.8770447
72398,-698.1663937,-211.7793148
72399,-695.5970824,-209.9542436
72400,-686.8232771,-211.1884106
72401,-684.2390062,-201.9545976
72402,-684.2053471,-206.2928816
72403,-679.0704645,-211.4315041
72404,-672.4396219,-209.8495264
72405,-673.6476096,-213.5894264
72406,-671.3700105,-206.8875256
72407,-660.2662475,-212.8040474
72408,-659.4808685,-214.1354518
72409,-658.0410071,-214.6178989
72410,-664.7129886,-220.6017388
72411,-644.6446854,-211.435244
72412,-651.5111417,-217.976329
72413,-645.1196527,-208.6901574
72414,-645.9573903,-197.2348439
72415,-651.1371517,-192.1597996
