, EXG Channel 1, EXG Channel 3
72200,-361.6558055,-14.18918043
72201,-358.0168829,-7.965986906
72202,-353.0689952,-8.242739502
72203,-348.3978602,-9.884555583
72204,-356.3264481,-10.77839167
72205,-359.9765904,-8.238999602
72206,-358.8060017,-3.777298955
72207,-363.5893338,-1.776452479
72208,-361.7941818,-25.74921119
72209,-363.0133892,-8.594290098
72210,-363.207864,-11.26083877
72211,-365.526602,-18.64714118
72212,-356.8724735,-9.630242386
72213,-352.964278,-4.278445549
72214,-355.1895185,-9.099176592
72215,-356.7340972,-6.664501721
72216,-361.4688105,-4.22608695
72217,-364.8010614,-15.96937281
72218,-358.3048552,-16.12270871
72219,-352.4930506,-11.02148517
72220,-354.7556901,-12.59224315
72221,-361.973697,-16.30970371
72222,-353.6711191,-9.925694482
72223,-351.2514038,-9.566664087
72224,-355.0997609,-11.99011926
72225,-349.2318579,-0.912535589
72226,-353.9441318,-14.99699882
72227,-354.5163365,-12.19207386
72228,-348.1098879,-10.80457097
72229,-347.9154131,-6.974913417
72230,-348.5399764,-13.60201614
72231,-347.4254862,-18.65836088
72232,-343.4798917,-11.44783376
72233,-348.0350899,-6.174574827
72234,-345.9407459,-7.105809916
72235,-340.854482,-14.52951133
72236,-341.5089645,-16.6126356
72237,-349.0186836,-9.435767588
72238,-355.3091953,-12.43516735
72239,-359.9055323,-3.676321656
72240,-360.7582295,-1.312704884
72241,-342.9637855,-15.70757981
72242,-348.0089106,-14.05828393
72243,-354.4864173,-12.71939975
72244,-345.5069175,-8.037045005
72245,-346.8645012,-5.486433235
72246,-348.7868098,-3.859576754
72247,-349.4861711,-12.20329356
72248,-349.8152823,-10.44180068
72249,-347.4217463,-10.35204308
72250,-350.8138355,-15.78985761
72251,-342.8478486,-5.95018083
72252,-340.7609845,-9.514305487
72253,-342.6870329,-9.828457084
72254,-349.7853631,-10.94668717
72255,-341.3369291,-13.84510964
72256,-342.6159748,-10.32212388
72257,-340.1027621,-10.18000768
72258,-345.2226851,-4.794551743
72259,-345.78741,-9.869595983
72260,-346.1389606,-8.4072951
72261,-344.7065789,-5.718307032
72262,-349.4188529,-14.92968062
72263,-356.2441703,-15.29245092
72264,-348.1697263,-3.878276254
72265,-351.1766058,-4.659915345
72266,-357.0071099,-8.751365896
