, EXG Channel 1, EXG Channel 3
2000,-1401.47515,-1628.797489
2001,-1481.673564,-1817.269747
2002,-1542.267424,-1759.190971
2003,-1787.348677,-1777.050863
2004,-1736.141967,-1667.871964
2005,-1780.272787,-1685.673887
2006,-1720.572764,-1499.180036
2007,-1684.000282,-1573.235665
2008,-1859.693302,-1502.482368
2009,-2014.876711,-1674.229793
2010,-1906.726284,-1628.74887
2011,-1966.923714,-1823.320905
2012,-1061.318159,-291.9665097
2013,-835.3309645,-323.768749
2014,-723.6762513,-194.9142359
2015,-802.4909029,-217.9669793
2016,-754.0591985,-38.96788759
2017,-657.1546508,-92.13243541
2018,-894.4625227,-55.95825309
2019,-1029.334535,-222.1145283
2020,-891.7062164,-142.9371064
2021,-997.1788749,-349.9704881
2022,-1051.355066,-284.5428083
2023,-821.9346428,-315.8962596
2024,-712.13492,-177.6059789
2025,-821.9907413,-226.9165599
2026,-731.9040312,-28.60462481
2027,-679.1303029,-98.43790673
2028,-920.3014914,-68.37098104
2029,-980.8990904,-192.3972833
2030,-919.1421225,-156.5615619
2031,-996.4533343,-352.5846782
2032,-1025.422599,-284.5016694
2033,-829.6986751,-312.3096955
2034,-746.0258934,-190.3964368
2035,-808.5233616,-227.5934818
2036,-727.6293255,-28.11843782
2037,-721.4472709,-124.6620852
2038,-902.450949,-62.06176981
2039,-995.8100716,-206.4368677
2040,-956.4812836,-173.0657404
2041,-971.3847849,-343.6126582
2042,-1032.988417,-281.8052016
2043,-861.1811529,-341.1779833
2044,-741.5417534,-184.6893495
2045,-787.5986213,-225.4654787
2046,-760.0168591,-54.37253551
2047,-699.05275,-114.4820775
2048,-861.4915646,-60.30775674
2049,-1031.507417,-227.2681105
2050,-923.6374822,-162.8109347
2051,-928.8583825,-331.9142511
2052,-1053.651364,-303.2198687
2053,-830.375597,-337.4306036
2054,-693.8131501,-184.1732433
2055,-811.5601603,-235.1144206
2056,-750.4053163,-54.4473335
2057,-675.5586984,-107.3313888
2058,-881.9936962,-64.88913418
2059,-999.8454236,-216.7215926
2060,-902.5294869,-165.2343899
2061,-973.2809142,-351.9750745
2062,-1042.940291,-299.767941
2063,-819.1745966,-323.5780141
2064,-719.9924498,-173.5743668
2065,-798.0815609,-238.5626083
2066,-755.3569438,-64.04391679
2067,-654.2076096,-110.1998921
2068,-413.1317885,-83.86164666
2069,-453.0664402,-193.8782837
2070,-458.5210843,-173.9670563
2071,-454.0668635,-344.9365828
2072,-532.6496413,-300.0372138
2073,-292.5368445,-321.300415
2074,-217.2376988,-184.2480413
2075,-276.0214463,-216.4859789
2076,-271.0922581,-47.77909188
2077,-187.9281028,-98.10879554
2078,-333.8477794,-30.95328198
2079,-553.6903185,-227.0923352
2080,-448.3448165,-168.3085877
2081,-433.6283102,-319.6062404
2082,-551.5136967,-298.2458018
2083,-339.43145,-329.4907959
2084,-242.1603921,-184.5547131
2085,-271.5859249,-212.8358365
2086,-290.8838087,-55.29255089
2087,-193.2911194,-100.3489956
2088,-355.5092799,-36.02832622
2089,-557.5536351,-231.3932201
2090,-446.0335584,-162.9792302
2091,-470.2531505,-330.2799148
2092,-557.0487487,-296.1626775
2093,-363.8716962,-329.9208844
2094,-253.8326198,-178.8251863
2095,-271.2493339,-196.9824006
2096,-329.2028236,-66.12704107
2097,-244.1350593,-105.4988379
2098,-347.7938663,-28.15957672
2099,-567.9729964,-232.7134048
2100,-472.4970905,-159.2954288
2101,-495.3740585,-327.1832777
2102,-542.7959899,-273.8579142
2103,-417.4532429,-354.8211383
2104,-245.6908576,-173.3013541
2105,-265.78908,-203.7142205
2106,-334.1320118,-70.02027692
2107,-210.4983991,-104.8181761
2108,-364.7991914,-28.42510961
2109,-541.3935274,-221.0262174
2110,-513.748187,-196.3129585
2111,-462.4928581,-331.8469329
2112,-543.9403993,-283.656452
2113,-410.0781602,-349.5890183
2114,-230.3086491,-164.9090186
2115,-261.1740435,-199.6040705
2116,-338.795667,-71.5012773
2117,-212.480546,-98.48278553
2118,-327.7592223,-21.66337049
2119,-82.70040772,-232.6423467
2120,-3.163955363,-183.0063945
2121,59.83465939,-317.3884797
2122,-76.64176979,-302.460669
2123,74.66710262,-357.3829698
2124,273.3530277,-170.3169139
2125,197.7846092,-225.8880874
2126,170.7077335,-64.17107339
2127,280.3578603,-97.27853775
2128,105.3380222,-43.10047704
2129,-62.88641775,-222.3651016
2130,9.091696792,-179.359992
2131,38.99219694,-328.21923
2132,-48.03153513,-279.0638549
2133,128.446864,-331.6487182
2134,274.3777602,-163.4280182
