, EXG Channel 1, EXG Channel 3
2000,-491.7856245,-112.2026085
2001,-492.2082332,-116.6643092
2002,-497.1374213,-121.0474719
2003,-500.2190989,-104.9434627
2004,-481.8487103,-118.9269486
2005,-496.7260323,-126.7956981
2006,-493.9996452,-110.1568832
2007,-496.1613074,-117.4272488
2008,-509.075182,-116.0808848
2009,-499.8525887,-108.9152365
2010,-510.8254551,-118.1714888
2011,-512.2690565,-98.33879938
2012,-502.6032851,-107.1911426
2013,-514.3764902,-112.4045631
2014,-493.3245933,-102.0188609
2015,-501.5261939,-112.7299344
2016,-507.689549,-109.0610926
2017,-494.0389142,-115.6395766
2018,-502.9922347,-126.7134203
2019,-494.8429927,-115.7293342
2020,-497.7713344,-121.9226085
2021,-499.016721,-133.2919044
2022,-496.7204225,-112.670096
2023,-506.3057861,-128.0373449
2024,-496.1220385,-128.3178374
2025,-492.0418076,-121.3092649
2026,-502.9997145,-130.8834088
2027,-497.2477484,-121.529919
2028,-504.065586,-127.397822
2029,-514.9823539,-134.6794073
2030,-510.5842316,-108.447749
2031,-519.8143047,-116.148203
2032,-512.626217,-120.5538051
2033,-513.6322501,-109.1807694
2034,-510.8161054,-115.2618467
2035,-504.7499877,-111.2676335
2036,-511.6014844,-117.0308194
2037,-505.8794375,-130.2251864
2038,-502.3527118,-114.2558136
2039,-494.7457553,-120.3406308
2040,-501.4214767,-128.4562137
2041,-501.0138276,-121.043732
2042,-505.7373213,-124.8472103
2043,-496.9560362,-111.7500806
2044,-497.2963671,-124.6041168
2045,-499.4355898,-128.1046631
2046,-493.3058938,-112.408303
2047,-503.8524117,-124.5629779
2048,-511.9305956,-119.5290725
2049,-501.67205,-106.7872334
2050,-498.6464709,-116.0547055
2051,-504.5592528,-105.9719352
2052,-500.1424309,-110.6318505
2053,-513.4751743,-121.8515504
2054,-508.0224001,-97.1308117
2055,-504.28998,-111.136737
2056,-505.0155206,-116.4436551
2057,-503.4859015,-111.2638936
2058,-502.8575983,-118.7287339
2059,-502.9548357,-108.7432011
2060,-499.1550973,-115.3366447
2061,-490.5645471,-133.4377605
2062,-490.7216229,-114.5886647
2063,-488.2009304,-127.4240013
2064,-496.5596068,-118.6314965
2065,-496.0472405,-106.8844708
2066,-493.261015,-116.0247863
2067,-494.9514498,-104.4722353
2068,-499.7684409,-119.2261406
2069,-496.5409073,-124.8397305
2070,-492.5616537,-102.763101
2071,-492.1427849,-118.13035
2072,-495.1571443,-111.9632549
2073,-486.7348896,-110.6019313
2074,-483.3988988,-119.1850017
2075,-486.3908188,-104.6667101
2076,-491.129272,-109.7342745
2077,-494.233389,-116.8887032
2078,-492.3933582,-89.74824919
2079,-489.3976984,-106.3683646
2080,-493.2497953,-110.0372064
2081,-483.9262247,-101.6860098
2082,-487.1051397,-111.4770679
2083,-490.4074713,-101.4017774
2084,-495.6283717,-108.8479183
2085,-494.1548511,-121.529919
2086,-502.4462093,-109.0199537
2087,-494.7831543,-117.7600999
2088,-505.2660939,-114.9663946
2089,-511.2087949,-115.026233
2090,-495.1272251,-122.1918813
2091,-512.476621,-108.1635166
2092,-510.9844009,-115.2169679
2093,-505.8532582,-116.5857713
2094,-504.0356668,-100.4929818
2095,-501.709449,-114.8654173
2096,-508.5385063,-106.0392534
2097,-500.849272,-108.4814081
2098,-505.7223617,-118.5679182
2099,-503.055813,-110.4336358
2100,-503.3213459,-116.8064254
2101,-498.1715036,-129.6268024
2102,-502.3265325,-108.9301961
2103,-499.8581985,-119.0279259
2104,-520.2967518,-112.4270025
2105,-511.5902647,-106.5665793
2106,-508.9386756,-122.2143207
2107,-504.9556822,-106.9181299
2108,-506.6236775,-113.4479952
2109,-503.91599,-116.3688571
2110,-498.9643624,-104.5993919
2111,-500.0152743,-110.6243707
2112,-495.2955206,-113.904263
2113,-495.654551,-109.1845093
2114,-491.3424463,-118.4445015
2115,-492.4980754,-105.9756751
2116,-498.68013,-115.1571295
2117,-496.3875714,-122.5546516
2118,-501.5299338,-98.81376668
2119,-505.1838161,-111.8173988
2120,-503.093212,-110.9048632
2121,-512.0315729,-96.6595843
2122,-497.2664479,-116.2529202
2123,-501.3803378,-111.323732
2124,-498.5641931,-111.6902422
2125,-509.858691,-121.6121968
2126,-507.6222308,-100.4929818
2127,-506.9864478,-111.3760906
2128,-491.2938276,-120.4266485
2129,-488.4739431,-134.1520814
2130,-506.9714882,-108.9675951
2131,-489.5285949,-104.109465
2132,-489.0498877,-113.9977605
2133,-495.4525964,-124.4433011
2134,-507.9027233,-108.7319814
2135,-506.6161977,-115.6021776
2136,-501.8814844,-117.0158598
2137,-512.7271943,-112.1203307
2138,-502.3676714,-120.3817697
2139,-514.4438084,-106.4356828
2140,-499.1588372,-119.9404615
2141,-500.8679715,-129.9484338
2142,-502.8725579,-109.6220776
2143,-512.5925579,-125.4007155
2144,-504.7163286,-125.3371372
2145,-503.3699646,-115.288026
2146,-505.9243163,-122.090904
2147,-506.1711497,-112.258707
2148,-510.7861862,-116.8700037
2149,-508.5198068,-125.0529048
2150,-499.8806379,-103.6382376
2151,-506.3132659,-113.8519044
2152,-499.3308726,-118.3098651
2153,-499.5178676,-108.5524662
2154,-501.971242,-122.3938359
2155,-502.120838,-112.6027778
2156,-502.5584063,-114.5437859
2157,-495.2768211,-124.8472103
2158,-496.8961978,-103.8962907
2159,-496.2417153,-114.2445939
2160,-494.270788,-117.6703423
2161,-500.9128503,-98.45473628
2162,-497.2814075,-112.0492726
2163,-503.0296337,-101.3120198
2164,-497.8910112,-103.2455481
2165,-513.9127426,-120.4902268
2166,-506.1786295,-98.03960739
2167,-499.3645317,-119.5178528
2168,-492.1652243,-120.6473026
2169,-491.8211535,-117.3150518
2170,-494.121192,-134.3764754
2171,-495.3366595,-113.0740052
