, EXG Channel 1, EXG Channel 3
2000,-807.2125266,-3608.034823
2001,-761.1107799,-3624.352007
2002,-676.4170055,-3658.370137
2003,-526.0879869,-3795.658124
2004,-455.4936353,-3899.36555
2005,-457.3037469,-3971.276346
2006,-384.6187912,-4003.28241
2007,-356.6106805,-3894.054892
2008,-370.4333507,-3779.35964
2009,-508.2224848,-3563.167243
2010,-621.7639775,-432.7980524
2011,-706.9850778,-301.5387837
2012,-761.4866398,-204.6716349
2013,-804.2037771,-427.5528427
2014,-839.1681018,-551.2593835
2015,-901.2691406,-780.6554971
2016,-815.0532269,-677.6511725
2017,-739.3165129,-645.0953434
2018,-678.6179366,-696.4628692
2019,-637.3032618,-753.9002528
2020,-600.6859013,-766.5747737
2021,-554.6402531,-764.7347429
2022,-545.1296875,-760.433858
2023,-525.857983,-815.4178671
2024,-561.4019922,-803.7531192
2025,-542.6837929,-848.4748428
2026,-602.9298413,-882.1563818
2027,-677.6380828,-954.1157969
2028,-735.2475017,-1055.68026
2029,-683.3638697,-1287.045431
2030,-604.9045085,-1433.873903
2031,-573.410811,-1535.591702
2032,-490.6655244,-1675.542498
2033,-481.7159438,-1753.571771
2034,-468.1064479,-1863.319135
2035,-523.8982754,-1953.274949
2036,-534.7252858,-2058.530693
2037,-556.1736121,-2136.952655
2038,-524.7995913,-2198.608646
2039,-459.6729735,-2201.83618
2040,-405.4893029,-2189.180358
2041,-366.3250706,-2163.464806
2042,-340.5608998,-2101.397427
2043,-318.013043,-2024.692078
2044,-319.0714347,-1938.741698
2045,-295.3305498,-1869.430132
2046,-253.5296879,-1829.439382
2047,-114.8728971,-1817.606338
2048,-40.35913037,-1712.818081
2049,-106.3197459,-1591.286292
2050,-194.9740743,-1514.35655
2051,-204.2378065,-1446.155735
2052,-215.5023852,-1388.77071
2053,-260.7215156,-1339.074919
2054,-319.4379449,-1312.88066
2055,-399.7560363,-1277.74804
2056,-464.2057323,-1251.976389
2057,-509.7315344,-1239.309348
2058,-590.5993912,-1215.235612
2059,-623.0654627,-1236.781175
2060,-659.3088331,-1270.63849
2061,-660.3410455,-1291.638028
2062,-638.1110802,-1325.558921
2063,-600.3829694,-1364.599736
2064,-563.8591065,-1369.70844
2065,-521.6954744,-1378.351348
2066,-476.2631697,-1382.801829
2067,-416.3050936,-1372.648001
2068,-393.5590221,-1396.643199
2069,-422.2029158,-1420.885231
2070,-439.5897107,-1331.295927
2071,-458.607102,-1299.734911
2072,-472.1904187,-1269.12009
2073,-525.8280638,-1258.783007
2074,-550.4814843,-1255.585392
2075,-590.3974366,-1245.753195
2076,-636.0092564,-1244.702284
2077,-654.7872941,-1270.114904
2078,-660.0642929,-1319.552641
2079,-679.537952,-1362.049124
2080,-746.1119111,-1370.116089
2081,-792.7372439,-1460.180359
2082,-799.0352354,-1482.126092
2083,-811.3432461,-1467.959351
2084,-831.3030922,-1497.90847
2085,-832.2904258,-1537.562629
2086,-839.6131499,-1562.343206
2087,-828.9731345,-1585.37351
2088,-862.1946658,-1606.283291
2089,-855.5376439,-1606.963953
2090,-842.6088098,-1627.540882
2091,-876.507263,-1588.578605
2092,-812.6148121,-1585.422129
2093,-801.0660011,-1556.370586
2094,-815.049487,-1580.096512
2095,-769.3217302,-1581.843045
2096,-770.376382,-1558.554688
2097,-737.3194063,-1529.832256
2098,-701.7192986,-1444.798151
2099,-678.7824922,-1409.631872
2100,-731.1971901,-1337.717335
2101,-742.9068168,-1330.387131
2102,-776.4238003,-1324.938097
2103,-745.5434463,-1334.231749
2104,-763.9250546,-1276.831764
2105,-729.0991062,-1269.329525
2106,-718.0065629,-1244.133819
2107,-723.7173902,-1231.923045
2108,-747.8247853,-1277.886416
2109,-735.1166052,-1317.809848
2110,-766.6103028,-1332.272041
2111,-766.6252624,-1299.604015
2112,-762.376736,-1306.956658
2113,-782.9985444,-1272.242907
2114,-785.5042773,-1302.637074
2115,-783.6605067,-1331.535281
2116,-838.6968744,-1316.500883
2117,-818.9913415,-1443.313411
2118,-768.9140811,-1611.57525
2119,-742.6562436,-1783.924799
2120,-716.0842544,-1983.388623
2121,-695.425047,-2140.258727
2122,-643.3581598,-2184.849554
2123,-633.3539274,-2222.147576
2124,-596.3962361,-2075.887569
2125,-576.8402992,-2058.242721
2126,-561.3533735,-2039.872332
2127,-627.725378,-1863.341575
2128,-675.3530039,-1639.097173
2129,-726.0884867,-1487.590086
2130,-779.3820611,-1442.715027
2131,-805.1088329,-1425.504007
2132,-843.3979287,-1329.878505
2133,-876.2267705,-1295.340529
2134,-936.0726496,-1225.576435
2135,-953.6426996,-1165.842753
2136,-937.4863317,-1218.313549
2137,-930.7769512,-1207.594996
2138,-887.8279401,-1145.860468
2139,-817.5813993,-1142.554396
2140,-824.1037848,-1097.398844
2141,-795.0036232,-1183.850371
2142,-732.0087484,-1079.23789
2143,-747.3647776,-1105.099298
2144,-848.8133038,-1053.211926
2145,-886.2684018,-1032.275966
2146,-951.7016915,-948.2778131
2147,-1012.138475,-820.2984366
2148,-1038.426232,-636.1887716
2149,-1030.546262,-768.4652931
2150,-1075.948648,-829.7547736
2151,-1088.118282,-943.6048081
2152,-1058.647871,-1019.80527
2153,-1089.150495,-1094.977259
2154,-1099.487578,-1138.001068
2155,-1071.73752,-1170.80747
2156,-1045.543261,-1281.493549
2157,-1048.95405,-1281.646885
2158,-1019.562176,-1411.144661
2159,-1003.809718,-1392.404022
2160,-1002.23148,-1373.027601
2161,-999.5611912,-1300.795173
2162,-953.8670935,-1329.756958
2163,-946.6490866,-1435.457751
2164,-914.7402602,-1402.875742
2165,-897.1926496,-1350.318928
2166,-912.3654237,-1358.924438
2167,-971.7812143,-1365.794634
2168,-1017.879221,-1353.830694
2169,-999.0413451,-1377.111572
2170,-1018.694519,-1394.244053
2171,-1033.841114,-1392.430202
2172,-1003.125316,-1369.844946
2173,-954.671172,-1379.598605
2174,-952.4085326,-1398.630956
2175,-930.6385749,-1341.156173
2176,-955.4341116,-1217.055073
2177,-985.4954275,-1071.097998
2178,-1014.165501,-976.8487788
