, EXG Channel 1, EXG Channel 3
2000,-364.8422003,7.56581761
2001,-339.1079487,8.755105796
2002,-349.7666636,-0.964894189
2003,-387.0385065,5.93896113
2004,-366.6373523,-3.272412461
2005,-367.3516731,1.267826085
2006,-375.358799,7.393782212
2007,-388.1155977,7.820130807
2008,-384.4617154,5.501392835
2009,-375.8973445,4.671135045
2010,-399.1296031,5.89595228
2011,-402.0579447,8.884132345
2012,-387.1918424,4.284055399
2013,-372.0976062,4.437391297
2014,-388.6578832,6.026848779
2015,-388.9084565,6.804747969
2016,-387.4760748,11.68531741
2017,-391.9751745,6.572874172
2018,-383.4033238,0.85082724
2019,-373.3542126,6.483116573
2020,-377.2848474,11.66661791
2021,-379.0052014,2.275729123
2022,-388.7850398,1.123839937
2023,-394.1143972,8.326887251
2024,-379.5175677,4.654305495
2025,-383.2986066,3.790388605
2026,-374.386425,1.942878027
2027,-379.0351206,6.77856867
2028,-394.9895338,-2.675898418
2029,-382.161677,8.240869552
2030,-378.0440471,4.422431698
2031,-383.769834,6.464417073
2032,-370.3435931,4.923578292
2033,-375.9796223,12.5118353
2034,-380.4263634,5.761315882
2035,-372.9615231,4.605686795
2036,-375.4111576,8.674697947
2037,-383.994228,1.65116583
2038,-375.5981525,10.32773373
2039,-374.4874023,6.430757974
2040,-369.0271483,0.155205848
2041,-362.8750129,7.178737965
2042,-372.0602072,1.067741437
2043,-379.768141,7.174998065
2044,-373.9151976,-2.960130815
2045,-369.9135046,3.094767213
2046,-358.2973754,7.171258165
2047,-371.4730429,11.74515581
2048,-387.8126658,3.35282031
2049,-380.8975908,-3.188264712
2050,-364.5392684,7.216136965
2051,-366.0427082,9.31048094
2052,-363.7838086,10.36513273
2053,-357.7550899,0.716190842
2054,-364.0717809,4.975936891
2055,-377.1015923,2.836714116
2056,-367.2245165,4.134459401
2057,-356.5097032,-1.531489032
2058,-359.1126735,2.907772216
2059,-379.655944,6.060507878
2060,-374.6781372,10.13699883
2061,-361.5959671,1.849380528
2062,-374.797814,4.003562903
2063,-367.5648474,-3.670711807
2064,-373.1073792,-2.874113116
2065,-370.0144819,1.924178527
2066,-367.3741125,5.480823385
2067,-352.3808536,6.438237774
2068,-354.3143819,-6.131565977
2069,-368.0248551,2.993789915
2070,-377.9131506,-0.86952674
2071,-363.058268,11.46466331
2072,-361.8876793,4.134459401
2073,-359.2136508,3.655752207
2074,-359.1612922,1.071481337
2075,-367.2880948,4.661785295
2076,-363.3312807,-0.00934975
2077,-377.2474484,6.150265477
2078,-366.1661249,7.040361667
2079,-364.8309806,1.69978453
2080,-372.4267174,5.90717198
