, EXG Channel 1, EXG Channel 3
2000,-189.8261021,-13.42998074
2001,-195.585548,-9.577883787
2002,-195.3424545,-5.86790303
2003,-202.5679412,-3.908195454
2004,-220.6989762,85.69606758
2005,-190.087895,-6.653282021
2006,-185.6561136,-16.5041785
2007,-197.2011848,-4.641215845
2008,-203.6113733,-12.61094265
2009,-198.0987608,-10.22488648
2010,-204.1050401,48.74211612
2011,-200.0996072,58.35739891
2012,-171.3958751,-31.73118117
2013,-189.0295034,-5.981969979
2014,-197.6911117,-5.07317429
2015,-206.464917,-0.888226239
2016,-195.211558,-5.08813389
2017,-213.379992,106.3982838
2018,-176.1941667,-7.238576364
2019,-186.4788916,-12.04808771
2020,-201.7788223,-2.455244321
2021,-199.284309,4.631866095
2022,-197.1974449,-6.236283176
2023,-221.2936203,50.78223155
2024,-192.5412694,50.21376676
2025,-178.1912733,-24.94700265
2026,-193.8090955,-9.957483632
2027,-194.1344668,3.925025003
2028,-202.2837088,-17.04085415
2029,-203.8395072,3.41639861
2030,-217.3816849,110.1755827
2031,-166.5938435,-20.53018081
2032,-184.9417927,-11.06075412
2033,-190.8022159,-9.082347042
2034,-193.3677873,-5.858553281
2035,-198.9813771,-6.703770671
2036,-217.7332355,57.24477867
2037,-177.6489878,37.24753361
2038,-181.0410771,-29.5769988
2039,-196.0455557,-9.680731035
2040,-192.9264791,-8.992589443
2041,-199.4002459,-4.112020001
2042,-208.4470639,12.3435398
2043,-212.9835626,98.99328188
2044,-172.7497189,-33.70958825
2045,-191.5389762,-13.91429779
2046,-204.1798381,-13.36079259
2047,-191.509057,-4.792681793
2048,-194.3401613,-0.461877645
2049,-223.1112117,72.35023459
2050,-171.2163599,20.20480951
2051,-171.1079028,-19.60642552
2052,-187.4550055,-14.11999228
2053,-192.7694033,-2.331827622
2054,-179.3020236,-10.02854173
2055,-192.9788377,26.19238934
2056,-208.8696726,78.92497871
2057,-150.7852864,-33.35055785
2058,-182.0059712,-14.13121198
2059,-183.359815,-10.01358213
2060,-185.6748131,-7.975336656
2061,-186.4564522,-5.196590988
2062,-213.4136511,81.80844158
2063,-158.9981067,7.474190061
2064,-161.8329509,-19.33715272
2065,-195.6528662,-15.43269717
2066,-196.2362906,-2.51882262
2067,-190.9779912,0.83960754
2068,-209.6812309,34.45756824
2069,-215.358399,76.67355894
2070,-169.6904807,-27.52005382
2071,-200.1519658,-10.36513273
2072,-200.0360289,1.228557135
2073,-206.4574372,0.589034243
2074,-196.7224776,3.289242011
2075,-225.6057249,97.2467486
2076,-171.9269409,-3.794128505
2077,-179.2272256,-12.19768371
2078,-201.752643,-8.887872245
2079,-195.5331894,-2.107433625
2080,-199.1421928,0.080407849
2081,-209.2436626,56.46687948
2082,-196.6028008,55.44962669
2083,-172.1625546,-31.85833777
2084,-187.1670332,-5.357406687
2085,-198.8916195,-5.88473258
2086,-203.136406,-7.504109261
2087,-197.00671,1.479130432
2088,-221.1963829,109.494921
2089,-185.7346515,-19.20999612
2090,-183.0830624,-11.50580221
2091,-199.6882182,-5.671558283
2092,-204.3219543,-7.044101567
2093,-205.2382298,-0.749849941
2094,-216.0390608,66.89746046
2095,-192.8666407,53.43008072
2096,-173.0563906,-28.08477872
2097,-188.296483,-3.494936509
2098,-202.3772063,-3.102247013
2099,-204.7894418,-3.468757209
2100,-198.1922583,8.846733345
2101,-224.5996918,106.8470718
2102,-177.1889801,-22.97607538
2103,-193.2892494,-8.929011144
2104,-198.1025007,-3.326641011
2105,-203.8282875,-8.584940348
2106,-206.8015079,-3.614613307
2107,-217.5125814,72.1370603
2108,-179.6573141,26.49532124
2109,-182.6791532,-25.53790685
2110,-192.0588223,-14.34438628
2111,-195.8024622,-7.313374363
2112,-200.0659481,-6.165225077
2113,-207.1829777,16.20311656
2114,-209.0604075,100.9305501
2115,-169.604463,-31.96305497
2116,-188.7153518,-10.61944592
2117,-197.9379451,-11.77133511
2118,-199.5909808,-8.46900345
2119,-197.2610232,3.614613307
2120,-224.1509038,82.09641388
2121,-183.7824237,24.46081566
2122,-187.1034549,-17.47842244
2123,-188.2179451,3.831527505
2124,-194.4149593,-3.816567905
2125,-193.8427546,9.157145042
2126,-207.2016772,44.64879562
2127,-209.5241551,88.371966
2128,-165.4980528,-31.23751438
2129,-191.2659635,-11.52076181
2130,-186.3031163,-11.23278952
2131,-198.5849477,-11.16921122
2132,-196.1951517,-6.632712571
2133,-209.4643167,92.92342425
2134,-171.1116427,-5.664078483
2135,-178.3296496,-20.59749901
2136,-192.0476026,-10.64188532
2137,-195.9707577,-6.75986917
2138,-200.9149054,-3.524855708
2139,-218.4138973,41.55963826
2140,-202.3398073,73.08325498
2141,-175.7565984,-30.10432469
2142,-198.611127,-18.24510193
2143,-201.7414233,-4.029742202
2144,-197.1413464,-0.532935744
2145,-205.4775834,-6.483116573
2146,-216.1512578,95.50395522
2147,-163.0895573,-13.13639859
2148,-184.0591763,-15.21578297
2149,-200.0547284,-10.64936512
2150,-201.1430393,-6.655151971
2151,-199.957491,-1.460430933
2152,-217.6696572,55.89841469
2153,-199.0337357,62.71251241
2154,-173.714613,-14.92033087
2155,-211.2557288,-7.253535964
2156,-201.2552363,3.132166213
2157,-206.7940281,-3.40143901
2158,-210.8667792,3.087287413
2159,-229.3568446,101.5064946
2160,-170.1205692,-6.423278174
2161,-196.0231163,-12.8072874
2162,-202.0742744,-10.33895343
2163,-204.520169,-4.882439392
2164,-201.9209385,-5.544401684
2165,-220.3362059,69.73230462
2166,-185.8580682,40.11977677
2167,-168.1758212,-24.91708345
2168,-192.1261405,-7.522808761
2169,-200.6119735,-11.05701422
2170,-201.2327969,-2.040115426
2171,-206.3714195,18.44705653
2172,-221.2824006,103.3278259
2173,-175.0572371,-18.57421313
2174,-187.7392379,-9.134705642
2175,-208.8285337,-2.193451324
2176,-207.7589223,1.916698727
2177,-209.3708192,2.698337818
2178,-231.1557365,79.9684108
2179,-190.9705114,37.39712961
2180,-180.334236,-10.15569833
2181,-194.5159366,-8.682177747
2182,-202.8035549,-8.319407451
2183,-196.034336,-5.009595991
2184,-194.4822775,28.12591762
2185,-217.9202305,88.09521341
2186,-157.9733741,-40.44888797
2187,-183.733805,-14.99138897
2188,-199.1272332,-18.38347823
2189,-191.7222313,-5.607979984
2190,-200.3651401,-11.84613311
2191,-215.7847476,84.63206605
2192,-186.2470178,15.09610617
2193,-187.885094,-11.12059252
2194,-195.2639166,-3.139646013
2195,-211.8877719,-6.236283176
2196,-206.4162983,3.812828005
2197,-220.2913271,42.32631775
2198,-221.6339512,77.36544043
2199,-176.968326,-30.51571369
2200,-209.0978065,58.91277405
2201,-188.9734049,43.22763364
2202,-191.4155595,72.56340889
2203,-166.9379143,27.87534432
