, EXG Channel 1, EXG Channel 3
60200,-49.58920346,246.0031393
60201,-68.42707954,156.1071641
60202,-71.07866861,248.9183913
60203,50.77101185,101.7776374
60204,179.8873179,283.1964443
60205,145.1735665,318.0280026
60206,175.8407462,418.0179678
60207,152.6552364,324.032412
60208,61.39419767,477.9760439
60209,-79.71222766,295.0276179
60210,-30.50262404,253.2398457
60211,-64.46465554,156.0323661
60212,-54.33513651,241.0346822
60213,56.07045009,96.72877245
60214,166.6854711,277.115367
60215,192.1934587,316.1505728
60216,149.2855865,413.5113884
60217,216.7533817,322.2223004
60218,41.62882641,466.5356899
60219,-37.96372445,290.8688491
60220,-53.74049241,238.3625237
60221,-81.76730268,141.753428
60222,-26.45605229,246.8577064
60223,42.71339739,100.5472103
60224,146.7162753,279.321908
60225,221.078576,318.1177602
60226,178.4848554,422.3637315
60227,216.5532971,321.9081488
60228,80.110527,470.6607996
60229,-27.51631392,290.648195
60230,-19.12023852,252.480646
60231,-43.48568673,155.9538282
60232,-40.32734122,247.2952747
60233,57.80763362,104.4516659
60234,205.642139,274.5984143
60235,170.3823622,309.751604
60236,199.7368369,421.7578678
60237,196.4550747,322.9216617
60238,85.91859163,473.8883332
60239,-49.31619077,286.8073178
60240,-6.053028078,255.6333817
60241,-61.43346662,157.7564599
60242,-74.79238926,247.1793378
60243,66.48233156,99.80297022
60244,183.1036319,278.1737587
60245,143.54671,308.1509268
60246,185.6953825,422.7227619
60247,193.8820236,322.4803535
60248,60.72288563,473.5704417
60249,-62.02437082,289.0587375
60250,-47.79405148,251.3324967
60251,-39.61863018,149.2070486
60252,-86.07566743,242.7774756
60253,80.75378979,109.4032934
60254,165.5709809,279.2209307
60255,170.7713118,319.733397
60256,161.530019,418.6537508
60257,178.9916119,316.3917964
60258,55.69833004,469.2022386
60259,-70.31385907,297.4286336
60260,-17.95899959,254.1449015
60261,-84.5105193,155.1834088
60262,-60.21799914,244.0752209
60263,58.35178906,109.15646
60264,182.8530586,282.1604921
60265,151.6548132,313.6261403
60266,179.7564214,419.8953976
60267,213.6174756,326.9981526
60268,29.7752135,469.972658
60269,-44.21870713,300.0428237
60270,-36.51077332,255.2818311
60271,-51.61622924,150.1420236
60272,-62.27120421,244.1537588
60273,57.37567517,110.2148517
60274,196.4550747,274.7779295
60275,141.3962676,306.8419618
60276,190.0935049,424.5702725
60277,221.2917503,322.8580834
60278,57.66364747,457.93392
60279,-27.76688722,301.6734201
60280,-42.4366448,258.946933
60281,-62.47502876,157.3001921
60282,-55.28881099,247.0559211
60283,84.75174285,108.7562907
60284,187.8308654,272.3956133
60285,172.6880105,313.151173
60286,180.2052094,419.7383218
60287,223.4982913,327.4955593
60288,51.25719884,474.3520808
60289,-45.29205841,302.7505113
60290,-15.38781837,265.753551
60291,-63.93919959,165.6252094
60292,-51.0122354,254.7750746
60293,77.67398218,118.2144977
60294,186.8828008,274.0673486
60295,165.004386,314.2656632
60296,191.1201074,423.1042317
60297,215.8184067,316.7358671
60298,59.85709879,469.6884256
60299,-27.59672177,300.2260788
60300,-43.50812613,260.0950823
60301,-39.34561748,148.0738589
60302,-1071.256943,-250.0366214
60303,-883.9664934,-379.9364365
60304,-807.2424458,-216.1213386
60305,-822.7592908,-173.3911117
60306,-798.6818148,-65.73061167
60307,-797.0661781,-163.7253403
60308,-931.0929728,-22.26175449
60309,-1029.250387,-200.8045784
60310,-1012.978082,-236.1597226
60311,-1047.059791,-340.1925197
60312,-1048.58567,-245.301908
60313,-878.0424919,-377.3222464
60314,-805.5669707,-219.2927738
60315,-817.6318879,-178.4175372
60316,-795.3794832,-68.06056934
60317,-771.1449315,-173.4191609
60318,-935.4611759,-26.65613693
60319,-1020.659837,-198.4222621
60320,-992.5993674,-225.8824775
60321,-1065.957505,-338.1841934
60322,-1036.451564,-239.0899342
60323,-900.5884788,-373.4103111
60324,-818.1610838,-212.4936357
60325,-824.8854239,-169.5764137
60326,-784.135474,-62.47689871
60327,-786.4186829,-161.9526277
60328,-936.1904564,-16.09839936
60329,-1034.074858,-191.0172602
60330,-989.9141193,-224.3341589
60331,-1031.183915,-340.7946436
60332,-1064.016497,-238.5214694
60333,-872.7767128,-378.3581987
60334,-807.2162665,-217.340546
60335,-828.5523958,-172.7553287
60336,-771.425424,-61.46338582
60337,-777.8449622,-164.5032395
60338,-929.2697715,-22.48240858
60339,-1032.565808,-198.2876257
