, EXG Channel 1, EXG Channel 3
60200,-690.9558666,-248.8866022
60201,-694.3591755,-249.9936125
60202,-696.5245776,-239.4396149
60203,-689.8787754,-247.360723
60204,-690.2602452,-249.787918
60205,-693.3568823,-253.2211462
60206,-696.1318881,-256.3851016
60207,-695.2043929,-256.3402228
60208,-695.3016303,-252.1178757
60209,-682.2605992,-257.5519503
60210,-682.829064,-263.5694494
60211,-686.3707492,-266.7184451
60212,-694.1572209,-268.6818926
60213,-683.8949354,-259.545317
60214,-690.3275634,-262.163247
60215,-690.379922,-259.3508422
60216,-687.4291409,-264.9232932
60217,-688.9886792,-269.7963828
60218,-691.3934349,-261.5087645
60219,-689.5534041,-260.1923197
60220,-695.8850547,-256.1943667
60221,-688.7268862,-254.5076718
60222,-695.1295949,-251.059484
60223,-688.9811994,-262.462439
60224,-693.7533117,-262.7504113
60225,-694.7406453,-252.7573986
60226,-687.3244237,-250.5658172
60227,-685.4769131,-256.2542051
60228,-680.4804068,-247.1587684
60229,-689.5459243,-259.6762135
60230,-689.818937,-263.17302
60231,-693.9702259,-261.9313732
60232,-686.7222998,-259.5789761
60233,-687.1374287,-256.8039704
60234,-688.4463937,-255.173374
60235,-684.7401528,-254.1149823
60236,-680.8693564,-256.8226699
60237,-690.2004068,-256.4337203
60238,-688.9138812,-252.3834086
60239,-692.8968746,-255.0424775
60240,-696.5208377,-249.6345821
60241,-693.4915187,-243.0186991
60242,-701.3153894,-250.9772062
60243,-693.1474479,-261.9949515
60244,-697.3361359,-256.0672101
60245,-695.9261936,-257.7165059
60246,-701.218152,-261.5499034
60247,-686.5801836,-256.0559904
60248,-694.4040543,-261.0674563
60249,-697.2501182,-261.0524967
60250,-689.4187677,-258.3522889
60251,-693.9253471,-262.5035779
60252,-682.4625538,-261.7107191
60253,-690.6978135,-254.1860404
60254,-690.791311,-255.6483413
60255,-693.4765591,-255.8951747
60256,-685.6751278,-255.2631316
60257,-687.4814995,-257.4621927
60258,-690.1817073,-249.2830315
60259,-696.7302721,-253.4717195
60260,-699.2621844,-250.3189838
60261,-702.6841928,-250.8799688
60262,-701.3228692,-254.5263713
60263,-700.9264398,-254.1299419
60264,-707.1010147,-256.2841243
60265,-697.5306107,-255.3940281
60266,-693.6336349,-253.2697649
60267,-692.6874402,-261.9874717
60268,-691.6963668,-264.5867022
60269,-689.5683637,-266.6586067
60270,-685.5367515,-267.1223543
60271,-685.9967592,-266.6960057
60272,-682.5149124,-261.1272947
60273,-690.9147277,-254.7769446
60274,-692.5415841,-260.1736202
60275,-692.7023998,-261.4564059
60276,-699.6548739,-259.919307
60277,-700.3804145,-260.8954209
60278,-704.2250316,-251.283878
60279,-694.7481251,-241.227287
60280,-693.3980212,-249.7056402
60281,-700.5150509,-256.5010385
60282,-695.2156126,-251.8635625
60283,-705.2422844,-252.6788607
60284,-701.7230385,-248.5724506
60285,-704.1277942,-250.9547668
60286,-698.6376211,-252.6526814
60287,-694.5910493,-253.4791993
60288,-693.5513571,-255.8802151
60289,-696.360022,-259.1451477
60290,-695.9037542,-259.2610846
60291,-693.0913494,-260.0614232
60292,-689.3963283,-256.5870562
60293,-688.0013456,-262.5260173
60294,-692.2760512,-259.4817387
60295,-702.9160666,-260.106302
60296,-705.6835926,-259.5939357
60297,-699.4379597,-259.844509
60298,-698.2561513,-254.4478334
60299,-700.7618842,-258.6440011
60300,-700.7843236,-250.3750823
60301,-708.1033079,-245.4010154
60302,-713.9824306,-246.1863944
60303,-718.0813609,-244.3875025
60304,-708.1182675,-250.2067868
60305,-713.7131578,-253.5427776
60306,-705.6237542,-258.1578141
60307,-696.397421,-257.5220311
60308,-691.3223768,-258.6514809
60309,-694.7668246,-261.5424236
60310,-694.5910493,-258.8571754
60311,-690.2004068,-251.1941204
60312,-694.5162513,-251.6429084
60313,-700.8553817,-249.7056402
60314,-694.3629154,-246.3060712
60315,-694.6995064,-251.5643705
60316,-698.005578,-258.4682258
60317,-694.2133194,-249.7804382
60318,-695.8850547,-253.0603305
60319,-703.3835541,-250.3264636
60320,-702.3962205,-247.9366676
60321,-698.2411917,-251.4222543
60322,-702.7963898,-247.5888569
60323,-704.6364206,-248.6023698
60324,-694.2357588,-248.4789531
60325,-703.7725037,-252.3572293
60326,-706.8242621,-255.6520812
60327,-703.7276249,-249.7205998
60328,-700.7207453,-248.0787838
60329,-692.7136195,-254.9751593
60330,-688.7755049,-246.0480181
60331,-701.2218919,-253.8868484
60332,-692.9866322,-252.1328353
60333,-695.2642313,-252.630242
60334,-688.2182598,-250.4349207
60335,-693.7907107,-251.4820927
60336,-695.2230924,-254.0027853
60337,-686.6811609,-249.3540896
60338,-686.4605068,-261.5723428
60339,-691.1914803,-264.481985
60340,-689.7254395,-260.7981835
60341,-694.9612994,-259.358322
60342,-698.6189216,-256.1943667
60343,-693.6710339,-252.8097572
60344,-701.7679173,-257.3163367
60345,-701.5136041,-252.2076333
60346,-698.117775,-248.4378142
60347,-701.1994525,-246.0667176
60348,-698.1963129,-247.4093417
60349,-699.5800759,-246.0442782
60350,-702.1269477,-241.2011077
60351,-693.9889254,-245.4683336
60352,-699.9278866,-249.5784836
60353,-694.8528423,-250.2479257
