, EXG Channel 1, EXG Channel 3
60200,-601.0019229,5.151712189
60201,-589.4231926,16.48734895
60202,-580.2566978,5.04325509
60203,-581.2627309,8.353066551
60204,-602.2286101,11.44222391
60205,-587.1568132,11.52824161
60206,-584.8231157,10.60822622
60207,-586.3789141,12.897045
60208,-590.5489025,10.28659483
60209,-574.0746432,2.851673716
60210,-581.4497259,10.69424392
60211,-581.6292411,12.7885879
60212,-571.8082638,9.676991135
60213,-574.9348202,9.994882632
60214,-591.0986678,4.429911498
60215,-569.893435,9.24690264
60216,-572.69836,6.617752972
60217,-594.5655551,8.943970744
60218,-591.3417613,12.9045248
60219,-585.5673558,10.41001153
60220,-596.0802145,8.016475555
60221,-590.0963746,14.92781067
60222,-590.7957359,7.017922267
60223,-589.7597836,4.583247396
60224,-602.1238929,8.884132345
60225,-586.5098106,10.88871872
60226,-573.9287871,4.052181602
60227,-598.2605762,8.738276246
60228,-577.3694951,10.82888032
60229,-578.2184523,7.822000757
60230,-587.3699875,7.074020766
60231,-595.9455781,12.7025702
60232,-571.5838698,7.638745659
60233,-583.4917113,9.463816838
60234,-590.6910187,14.59869948
60235,-584.1985524,9.130965742
60236,-581.8124962,6.322300875
60237,-579.5311572,9.119746042
60238,-583.465532,7.081500566
60239,-563.4047086,7.990296255
60240,-591.2968825,8.199730653
60241,-590.6237005,15.38407847
60242,-578.5700029,8.910311644
60243,-590.5376828,12.7960677
60244,-595.6426462,7.548988061
60245,-583.5964285,13.55526739
60246,-578.8916343,7.507849161
60247,-579.3479021,3.233143512
60248,-594.6179137,8.199730653
60249,-580.0771826,7.863139657
60250,-581.7227386,8.603639848
60251,-594.6627925,12.9456637
60252,-583.0728425,6.097906878
60253,-584.8829541,7.863139657
60254,-591.1772057,10.57082722
60255,-581.146794,9.800407834
60256,-577.6013689,6.920684868
60257,-589.7261245,15.79172756
60258,-592.2393373,9.598453236
60259,-573.0873096,10.77278182
60260,-588.6340737,9.048687943
60261,-593.2939891,8.846733345
60262,-577.7509649,10.05472103
60263,-588.7874096,8.618599448
60264,-592.9499183,13.0765602
60265,-592.8676405,15.43643707
60266,-582.3099029,4.407472098
60267,-588.1927655,13.89559829
60268,-587.8225154,8.846733345
60269,-572.174774,8.857953045
60270,-591.2744431,6.72247017
60271,-590.2497105,12.8746056
60272,-576.8758283,4.037222002
60273,-581.6741199,7.388172362
60274,-598.3503338,6.621492872
60275,-582.5978752,5.09935359
60276,-580.3501953,2.870373216
60277,-587.2203915,14.33690648
60278,-588.697652,11.12059252
60279,-576.1951665,12.07426701
60280,-593.9596913,7.268495564
60281,-589.6513265,13.45055019
60282,-581.0121576,4.1793382
60283,-573.745532,8.498922649
60284,-591.9214458,14.50146208
60285,-586.2367979,13.11769909
60286,-581.3076097,6.72994997
60287,-587.1343738,11.04953442
60288,-588.3722807,10.75408232
60289,-571.8456628,5.809934581
60290,-590.0963746,9.983662932
60291,-582.5492565,16.98101575
60292,-564.7061938,8.41290495
60293,-573.595936,9.239422841
60294,-578.6597605,13.51412849
60295,-578.566263,9.24316274
60296,-577.3283562,3.536075408
60297,-586.8838005,5.379846086
60298,-585.7506109,13.65250479
60299,-570.2524654,9.456337038
60300,-586.2255782,5.677168133
60301,-593.4996836,12.40150825
60302,-574.9198606,11.19352057
60303,-589.0753819,11.85922276
60304,-594.5169364,3.982993453
60305,-587.3587678,7.778991908
60306,-587.3961668,11.70214696
60307,-585.4514189,12.51370525
60308,-579.8602684,16.35458251
60309,-563.127956,6.615883022
60310,-588.0020306,12.91387455
60311,-588.7649702,12.62216235
60312,-573.4725193,9.708780285
60313,-583.9367594,10.63627547
60314,-586.3901338,11.99759906
60315,-577.8706417,5.576190834
60316,-568.3675559,9.929434382
60317,-592.9162592,8.680307797
60318,-604.7231233,10.64001537
60319,-591.2333042,7.173128115
60320,-599.3451472,8.713966897
60321,-598.7467632,11.65726816
60322,-581.6554204,6.268072326
60323,-582.4333196,9.177714491
60324,-592.0860014,17.1923201
60325,-585.8553281,8.044524805
60326,-576.3410226,7.513459011
60327,-597.5238159,9.749919184
60328,-586.046063,12.19207386
60329,-582.0780291,4.573897646
60330,-588.6527732,11.23091957
60331,-581.1991526,12.02003846
60332,-566.5985832,6.589703722
60333,-587.3213688,9.877075783
60334,-594.0344893,15.73375911
60335,-583.1439006,10.01545208
60336,-581.4385062,11.71710656
60337,-600.5157359,6.548564822
60338,-587.7851164,14.10316273
60339,-574.5496105,5.389195836
60340,-585.9114266,5.400415536
60341,-609.0389679,11.82556366
60342,-580.9037005,10.24358598
60343,-594.9545047,8.699007297
60344,-595.6576058,8.695267397
60345,-587.9421922,7.655575209
60346,-578.1249549,8.497052699
60347,-591.0724885,6.477506723
60348,-586.6968055,13.92364754
60349,-577.5639699,6.350350125
60350,-581.5507032,8.867302795
60351,-578.2782907,15.27375142
60352,-565.3569364,11.86670256
60353,-586.8090025,10.78587147
60354,-596.2298105,14.64170833
60355,-585.8366286,7.311504413
60356,-583.0429233,7.472320111
60357,-594.3523808,9.054297793
60358,-597.2059244,13.09712964
60359,-589.3296951,5.722046932
60360,-601.4768902,11.96020006
60361,-587.5981214,10.32586378
60362,-572.3692488,8.336237001
60363,-584.0003377,11.80312426
60364,-581.819976,12.57354365
60365,-577.410634,9.877075783
60366,-561.7778521,10.68115427
60367,-586.3377752,7.812651007
60368,-576.5728964,9.682600985
60369,-559.541392,4.734713344
60370,-571.4305339,9.215113491
60371,-579.2843238,7.648095409
60372,-560.0088795,13.26916504
60373,-581.7937967,6.78043862
60374,-581.4347663,9.877075783
60375,-574.9198606,11.52263176
60376,-567.8290103,6.290511725
60377,-594.1840853,11.90410156
60378,-580.8326424,14.24901883
60379,-577.2647779,3.37712966
60380,-589.6812457,9.196413991
60381,-587.1343738,7.348903413
60382,-575.1180753,8.126802604
60383,-583.7909033,8.612989598
60384,-579.6059552,12.10231626
60385,-562.7689256,5.015205841
60386,-574.3139968,9.402108489
60387,-605.0896335,9.820977284
60388,-582.9905647,13.35144284
60389,-562.7614458,8.699007297
60390,-575.9932119,14.03584453
60391,-589.0267632,9.177714491
60392,-566.4041084,5.793105031
60393,-570.1701876,6.556044622
60394,-573.3117036,12.99615235
60395,-573.5136582,5.194721038
60396,-571.9728194,8.081923804
60397,-595.0741814,7.360123113
60398,-573.6520345,10.97660637
60399,-567.0436313,13.32900344
60400,-584.7483177,11.81434396
60401,-602.7484562,15.27749132
60402,-580.0547432,7.087110416
60403,-566.5125655,12.53614465
60404,-579.7929502,13.92364754
60405,-572.0214381,7.685494409
60406,-566.1123962,9.933174282
60407,-584.0526963,11.87792226
60408,-570.6264554,13.87128894
60409,-566.7631388,4.992766441
60410,-570.2487255,7.62939591
60411,-578.9888717,13.29160444
60412,-558.9542277,5.475213535
60413,-563.6328425,8.755105796
60414,-572.0289179,10.88310887
60415,-570.7685716,5.92026163
60416,-573.7268325,8.953320494
60417,-585.3616613,13.11208924
60418,-578.0613766,11.41791456
60419,-562.9858398,8.612989598
60420,-579.0599298,7.053451316
60421,-584.2172519,13.08590994
60422,-571.8942815,10.15382838
60423,-577.3246163,5.288218537
60424,-575.2115728,8.4222547
60425,-584.4229464,11.61612926
60426,-584.0863554,6.959953818
60427,-585.7580907,10.38196228
60428,-573.8352896,11.54881106
60429,-565.2484793,6.944994218
60430,-586.8688409,7.023532117
60431,-592.5422692,13.14200844
60432,-565.9777598,7.775252008
60433,-570.6264554,6.79165832
60434,-574.6767671,10.65123507
60435,-589.4718113,6.948734118
60436,-582.1490872,10.99530587
60437,-591.0126501,10.38570218
60438,-583.4917113,12.80541745
60439,-566.269472,4.962847241
60440,-587.2316112,9.398368589
60441,-604.2818151,14.04332433
60442,-566.5050857,10.20244708
60443,-572.6422615,11.48897266
60444,-601.334774,13.13826854
60445,-582.6277944,7.771512108
60446,-570.6152357,10.46050018
60447,-596.5177828,7.928587906
60448,-583.3757744,15.24757212
60449,-575.9707725,7.61069641
60450,-604.0836004,9.114136192
60451,-593.0770749,8.313797601
60452,-581.4011072,8.010865705
60453,-593.8661938,9.087956892
60454,-602.1799914,12.20329356
60455,-587.9272326,7.726633308
60456,-569.9532734,6.384009224
60457,-587.4186062,8.706487097
60458,-586.5883485,14.26397843
60459,-568.1132427,4.061531352
60460,-588.061869,10.48293958
60461,-594.2738429,10.04911118
60462,-568.8051242,12.17337436
60463,-585.9114266,4.158768751
60464,-592.0523423,10.79709117
60465,-584.9091334,10.72977297
60466,-571.3445162,7.034751817
60467,-594.6777521,14.18918043
60468,-582.5829156,12.59598305
60469,-569.5194451,5.291958437
60470,-587.8412149,11.47027316
60471,-594.5057167,8.4409542
60472,-576.3036236,7.999646005
60473,-594.5992142,4.626256245
60474,-593.2491103,15.17651402
60475,-577.1712804,8.313797601
60476,-570.4618998,7.984686405
60477,-582.4819383,6.593443622
60478,-587.8150356,11.94150056
60479,-579.7592911,7.333943813
60480,-592.2954358,10.51659868
60481,-592.6133273,12.61094265
60482,-579.5722961,8.571850698
60483,-590.4741045,7.442400912
60484,-607.5504877,9.948133882
60485,-590.0103569,10.33708348
60486,-588.9257859,6.840277019
60487,-585.8403685,8.586810298
60488,-589.0641622,9.693820685
60489,-569.2913112,5.849203531
60490,-592.2056782,8.201600603
60491,-585.4140199,14.51081183
60492,-578.3830079,6.455067324
60493,-581.782577,7.63687571
60494,-603.3842392,13.37762214
60495,-585.6608533,13.36266254
60496,-578.8916343,8.770065396
60497,-582.8634081,6.559784522
60498,-594.7263708,17.2895575
60499,-574.5795297,6.395228924
60500,-595.2574365,6.698160821
60501,-592.7236543,15.73562906
60502,-592.8882099,4.560807996
60503,-579.6863631,7.59760676
60504,-599.4180752,8.45778375
60505,-582.2444547,13.10647939
60506,-578.6616305,8.300707952
60507,-596.0933042,9.542354737
60508,-591.238914,8.970150044
