, EXG Channel 1, EXG Channel 3
60200,-348.7363211,-14.67349748
60201,-342.9731353,-11.21409002
60202,-349.5740587,-13.65250479
60203,-349.3197455,-0.704971142
60204,-348.3548513,-11.08693342
60205,-350.0228467,-17.57939974
60206,-345.2095955,-16.01986146
60207,-340.777814,-1.535228932
60208,-344.2634008,-6.378399374
60209,-341.5407536,-12.6950904
60210,-350.1462634,-17.50460174
60211,-354.0394993,-14.41918428
60212,-353.8973831,-16.10587916
60213,-340.0111345,-2.791835317
60214,-348.0332199,-2.791835317
60215,-351.1148975,-15.39155827
60216,-348.2987528,-9.26186224
60217,-347.7564673,-10.03602153
60218,-350.3407382,-10.09585993
60219,-347.9098032,-13.88437859
60220,-339.4651091,-12.9868026
60221,-344.3381988,2.582400919
60222,-349.263647,-3.782908805
60223,-346.7915731,-6.034328579
60224,-344.8804843,-16.15449786
60225,-349.2561672,-14.90537127
60226,-341.5108344,-17.07825315
60227,-347.5283334,-3.767949205
60228,-360.7900187,-3.543555208
60229,-342.0269406,-11.22530972
60230,-339.5511268,-12.4183378
60231,-349.5441395,-17.47468254
60232,-343.2311884,-21.3716583
60233,-345.6322042,-10.37635243
60234,-340.0859325,-13.42811079
60235,-339.4351899,-20.41050401
60236,-333.1671176,-12.5492343
60237,-332.9502034,-12.15280491
60238,-350.27342,-17.37744514
60239,-339.3416924,-16.34149286
60240,-338.7283488,-9.998622532
60241,-339.4202303,-9.415198138
60242,-338.7545281,-6.670111571
60243,-347.206702,-19.74106192
60244,-343.2985066,-9.187064241
60245,-345.1086182,3.225663712
60246,-338.4104573,-10.50350903
60247,-337.5951592,-5.200330888
60248,-342.3747513,-5.114313189
60249,-333.1222388,-12.5641939
60250,-335.9047244,-10.84010002
60251,-341.2116424,-16.02734126
60252,-343.5303804,-13.75722199
60253,-332.0376678,-6.273682176
60254,-342.4345897,-16.56962675
60255,-346.9037701,-20.13001151
60256,-343.6911961,-14.06015388
60257,-345.9800149,-17.70655634
60258,-350.123824,-17.42606384
60259,-342.6141049,-4.751542894
60260,-346.7728736,-3.41639861
60261,-343.2311884,-10.35391303
60262,-346.0398533,-10.37261253
60263,-343.8333123,-10.18561753
60264,-345.938876,-19.28105422
60265,-345.78928,-13.21493649
60266,-342.8871176,-11.42726431
60267,-344.9478025,-9.430157738
60268,-348.6428236,-6.827187369
60269,-345.901477,-6.434497874
60270,-345.340492,-22.73672178
60271,-349.5777986,-21.0275875
60272,-340.5945589,-4.747802994
60273,-347.9210229,-15.24944207
60274,-342.4196301,-13.42063099
60275,-340.5870791,-10.89245862
60276,-338.9415231,-18.12542514
60277,-342.7001226,-22.02988069
60278,-345.0151207,-18.02070794
60279,-337.6175985,-9.478776438
60280,-343.4294031,-14.39300498
60281,-339.356652,-16.29661406
60282,-344.3718579,-12.3921585
60283,-343.956729,-8.618599448
60284,-341.5818925,-16.24799536
60285,-328.8774524,-3.158345513
60286,-333.2082565,-10.02480183
60287,-326.5549745,-10.50350903
60288,-333.5074485,-11.70401691
60289,-332.7519887,-14.61365908
60290,-330.571627,-10.53342823
60291,-331.7235162,-10.38383223
60292,-325.6349591,-5.604240084
60293,-328.1967906,-9.826587134
60294,-332.2620618,-16.49482875
60295,-335.3063404,-15.32050017
60296,-335.8000072,-17.78135434
60297,-335.4596763,-14.13495188
60298,-331.2186297,-13.71234319
60299,-331.4430237,-1.486610232
60300,-332.0563673,-14.23592918
60301,-327.9686567,-8.966410144
60302,-333.4102111,-10.72229317
60303,-337.4006844,-16.44060021
60304,-331.9516501,-9.993012682
60305,-335.6541511,-6.971173517
60306,-332.852966,-24.61602151
60307,-336.6377448,-20.23285876
60308,-337.2735278,-12.85403615
60309,-335.9608229,-11.38051557
60310,-341.4809152,-10.95790687
60311,-329.004609,-9.521785287
60312,-332.6098725,-6.518645623
60313,-339.0873792,-8.983239694
60314,-342.7786605,-13.19810694
60315,-343.7622542,-22.76477103
60316,-343.1863096,-11.12246247
60317,-340.7553746,-8.762585596
60318,-341.3051399,-13.31030394
60319,-340.5758594,-17.90664099
60320,-344.7645474,-13.07469025
60321,-344.3344589,-16.41442091
60322,-342.0680795,-11.01400537
60323,-342.6702034,-13.41876104
60324,-337.7709344,-13.96104653
60325,-346.1894492,-11.61238936
60326,-339.3641318,-12.67826085
60327,-340.9685489,-14.77634472
60328,-345.1123581,-19.91122736
60329,-345.6845628,-11.62734896
60330,-346.5821387,-6.088557128
60331,-352.4724812,-8.044524805
60332,-333.1745974,-12.71565985
60333,-325.9453708,-13.59453634
60334,-345.1946359,-4.573897646
60335,-349.6638163,-18.20583298
60336,-349.1776293,-20.32635626
60337,-333.0624004,-1.780192379
60338,-324.2511961,-13.95730663
60339,-332.9165443,-3.511766058
60340,-332.0601072,-5.722046932
60341,-335.4895955,-13.76657174
60342,-337.7372753,-12.16963446
60343,-330.4482103,-13.90120814
60344,-342.8160595,-15.00447862
60345,-333.9711961,-15.35228932
60346,-328.6418387,-14.64918813
60347,-340.5309806,-12.68200075
60348,-342.348572,-12.61094265
60349,-337.1688106,-13.47859944
60350,-329.8012076,-9.854636383
60351,-334.5807998,-11.77694496
60352,-335.9608229,-11.42539436
60353,-329.9695031,-18.09737589
60354,-343.732335,-11.86296266
60355,-343.657537,-21.38848785
60356,-335.0669868,-13.39632164
60357,-344.5812923,-16.6612543
60358,-335.4895955,-12.16215466
60359,-331.7945743,-14.36121583
60360,-340.1943896,-15.59164292
60361,-337.0977525,-15.29619082
60362,-343.8295724,-16.8519892
60363,-341.6604304,-7.928587906
60364,-343.9829083,-12.57354365
60365,-344.2222619,-10.25106578
60366,-345.0263404,-10.39318198
60367,-339.5399071,-8.713966897
60368,-347.543293,-9.809757584
60369,-350.2584604,-6.249372826
60370,-339.7493415,-10.21740668
60371,-354.9221156,-15.39716812
60372,-350.0789452,-9.185194291
60373,-344.5962519,-9.349749889
60374,-348.9607151,-11.48149286
60375,-345.4938279,-13.45242014
60376,-341.5931122,-5.725786832
60377,-340.8039933,-8.336237001
60378,-346.8551514,-9.31983069
60379,-345.0076409,-7.289065014
60380,-346.9262095,-17.45785299
60381,-342.311173,-10.55773757
60382,-335.8561057,-12.26687185
60383,-339.581046,-10.43058098
60384,-343.4967213,-9.211373591
60385,-348.0332199,-11.95646016
60386,-346.8962903,-10.15008848
60387,-341.6716501,-14.76138513
60388,-345.0076409,-11.09254327
60389,-339.3903111,-9.854636383
60390,-339.4763288,-13.16070794
60391,-345.714482,-10.86066947
